Date,Open,High,Low,Close,Adj Close,Volume
2018-02-01,5.000000,5.280000,3.750000,5.000000,5.000000,1436800
2018-03-01,4.800000,5.300000,4.400000,4.480000,4.480000,928500
2018-04-01,4.480000,4.600000,3.950000,4.360000,4.360000,158100
2018-05-01,4.260000,7.850000,4.250000,5.470000,5.470000,2647900
2018-06-01,5.520000,7.500000,5.350000,7.190000,7.190000,1839100
2018-07-01,7.230000,10.660000,6.700000,6.750000,6.750000,2854200
2018-08-01,6.700000,7.020000,4.653000,6.400000,6.400000,1274500
2018-09-01,6.400000,7.400000,4.890000,5.100000,5.100000,1043600
2018-10-01,5.080000,5.340000,3.790000,3.990000,3.990000,1350500
2018-11-01,3.950000,4.400000,3.030000,3.420000,3.420000,1144500
2018-12-01,3.430000,3.490000,2.340000,3.110000,3.110000,1895100
2019-01-01,3.100000,4.609000,3.040000,4.100000,4.100000,1206300
2019-02-01,4.190000,4.900000,4.070000,4.280000,4.280000,880100
2019-03-01,4.370000,4.480000,3.550000,3.900000,3.900000,976400
2019-04-01,4.086000,4.300000,3.200000,3.970000,3.970000,1467400
2019-05-01,3.950000,4.990000,3.250000,3.390000,3.390000,1069600
2019-06-01,3.320000,4.600000,3.000000,3.030000,3.030000,5565300
2019-07-01,3.080000,3.400000,2.670000,2.700000,2.700000,3546800
2019-08-01,2.700000,2.900000,2.400000,2.600000,2.600000,1298100
2019-09-01,2.570000,2.988000,1.920000,1.980000,1.980000,1683100
2019-10-01,1.990000,2.031000,1.600000,1.730000,1.730000,1622000
2019-11-01,1.720000,1.970000,1.429000,1.878000,1.878000,1495800
2019-12-01,1.890000,2.620000,1.710000,2.290000,2.290000,2342000
2020-01-01,2.350000,2.850000,2.000000,2.040000,2.040000,1183500
2020-02-01,2.040000,2.230000,1.220000,1.410000,1.410000,907100
2020-03-01,1.440000,1.460000,0.460000,0.674000,0.674000,4636500
2020-04-01,0.660000,0.670000,0.620000,0.630000,0.630000,203800
