Date,Open,High,Low,Close,Adj Close,Volume
2015-06-01,16.379999,38.250000,4.560000,4.850000,4.850000,553600
2015-07-01,5.000000,5.000000,2.880000,3.200000,3.200000,415400
2015-08-01,3.100000,3.100000,1.630000,2.400000,2.400000,108200
2015-09-01,2.220000,2.500000,1.980000,2.370000,2.370000,33100
2015-10-01,2.350000,2.800000,2.170000,2.540000,2.540000,17000
2015-11-01,2.510000,2.550000,1.390000,1.660000,1.660000,41400
2015-12-01,1.750000,2.350000,1.080000,1.470000,1.470000,110500
2016-01-01,1.470000,1.470000,0.452500,0.452500,0.452500,76300
2016-02-01,1.050000,1.210000,0.701000,0.900000,0.900000,77500
2016-03-01,0.876000,1.010000,0.751000,0.810000,0.810000,51600
2016-04-01,0.810000,1.100000,0.701000,0.910000,0.910000,35800
2016-05-01,0.910000,1.040000,0.510000,0.522000,0.522000,38300
2016-06-01,0.522000,2.600000,0.430000,1.250000,1.250000,5106300
2016-07-01,1.200000,3.140000,0.650000,1.830000,1.830000,11005600
2016-08-01,1.710000,2.460000,1.410000,1.600000,1.600000,5156600
2016-09-01,1.620000,2.130000,1.480000,1.560000,1.560000,2500000
2016-10-01,1.550000,1.650000,0.940000,1.150000,1.150000,1844300
2016-11-01,1.210000,1.380000,0.910000,0.955000,0.955000,2570400
2016-12-01,0.950000,1.210000,0.660000,0.730000,0.730000,1592400
2017-01-01,0.890000,2.280000,0.701000,1.440000,1.440000,32416300
2017-02-01,1.430000,1.590000,1.140000,1.340000,1.340000,7195600
2017-03-01,1.340000,1.740000,1.310000,1.600000,1.600000,6854200
2017-04-01,1.590000,2.840000,1.470000,2.700000,2.700000,13314100
2017-05-01,2.750000,3.050000,1.864000,2.070000,2.070000,7030500
2017-06-01,2.060000,2.240000,1.650000,1.730000,1.730000,2110400
2017-07-01,1.730000,1.840000,0.990000,1.230000,1.230000,2008300
2017-08-01,1.230000,1.319000,0.910000,1.170000,1.170000,1904900
2017-09-01,1.160000,1.520000,1.004000,1.030000,1.030000,2125300
2017-10-01,1.087000,1.620000,0.990000,1.370000,1.370000,7550300
2017-11-01,1.360000,1.480000,0.930000,1.240000,1.240000,5977400
2017-12-01,1.010000,1.230000,0.940000,1.060000,1.060000,1921700
2018-01-01,1.090000,4.700000,1.080000,1.280000,1.280000,54751000
2018-02-01,1.240000,1.360000,1.030000,1.160000,1.160000,2368100
2018-03-01,1.190000,1.600000,1.100000,1.150000,1.150000,4421900
2018-04-01,1.130000,1.383000,1.030000,1.060000,1.060000,2485000
2018-05-01,1.061000,1.360000,1.040000,1.080000,1.080000,3522500
2018-06-01,1.080000,1.250000,1.020000,1.041000,1.041000,1690700
2018-07-01,1.040000,1.290000,1.010000,1.022000,1.022000,2583200
2018-08-01,1.020000,1.040000,0.675000,0.780000,0.780000,1281800
2018-09-01,0.784000,1.030000,0.770000,0.910000,0.910000,794500
2018-10-01,0.910000,1.220000,0.814000,1.000000,1.000000,2496800
2018-11-01,1.040000,1.270000,0.912000,0.980000,0.980000,1398000
2018-12-01,0.990000,1.130000,0.810000,0.866000,0.866000,669600
2019-01-01,0.910000,1.230000,0.817000,1.163000,1.163000,496400
2019-02-01,1.177000,1.360000,1.050000,1.172000,1.172000,593900
2019-03-01,1.250000,2.770000,1.160000,2.180000,2.180000,3823900
2019-04-01,2.270000,2.550000,1.650000,1.950000,1.950000,4016200
2019-05-01,1.930000,2.550000,0.750000,0.900000,0.900000,15697900
2019-06-01,0.855000,0.855000,0.500000,0.635000,0.635000,5369300
2019-07-01,0.650000,0.650000,0.420000,0.430000,0.430000,932100
2019-08-01,0.437000,0.530000,0.250000,0.296000,0.296000,15678200
2019-09-01,0.308000,0.400000,0.264000,0.317000,0.317000,3893100
2019-10-01,0.332000,0.650000,0.267000,0.483000,0.483000,8714900
2019-11-01,0.470000,1.130000,0.405000,0.604000,0.604000,9114300
2019-12-01,0.603000,0.740000,0.500000,0.645000,0.645000,2855100
2020-01-01,0.650000,0.690000,0.428000,0.480000,0.480000,3122200
2020-02-01,0.500000,0.570000,0.457000,0.480000,0.480000,1514600
2020-03-01,0.485000,0.485000,0.271000,0.369000,0.369000,1781000
2020-04-01,0.388000,0.440000,0.370000,0.400000,0.400000,106300
