Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,116.000000,130.000000,112.000000,115.000000,115.000000,68400
2015-05-01,116.000000,119.000000,60.000000,61.000000,61.000000,87000
2015-06-01,60.000000,72.000000,38.000000,39.000000,39.000000,194200
2015-07-01,37.000000,49.000000,12.000000,37.000000,37.000000,313300
2015-08-01,42.000000,63.000000,16.000000,20.000000,20.000000,749400
2015-09-01,19.000000,24.000000,15.000000,16.000000,16.000000,260000
2015-10-01,16.000000,19.000000,8.000000,11.000000,11.000000,304700
2015-11-01,11.000000,29.000000,5.000000,24.000000,24.000000,827600
2015-12-01,33.000000,43.000000,16.000000,19.000000,19.000000,2061100
2016-01-01,18.000000,25.000000,15.000000,23.000000,23.000000,344600
2016-02-01,22.000000,26.000000,19.000000,21.000000,21.000000,221300
2016-03-01,21.000000,45.000000,20.000000,31.000000,31.000000,987800
2016-04-01,33.000000,38.000000,21.000000,34.000000,34.000000,611200
2016-05-01,35.000000,46.000000,21.100000,23.100000,23.100000,913500
2016-06-01,23.700001,27.100000,17.100000,18.400000,18.400000,493500
2016-07-01,18.600000,25.500000,17.400000,21.600000,21.600000,1101900
2016-08-01,21.500000,23.900000,13.500000,14.400000,14.400000,625300
2016-09-01,14.100000,17.900000,10.300000,11.700000,11.700000,1828100
2016-10-01,11.700000,13.800000,10.300000,11.400000,11.400000,472000
2016-11-01,11.200000,11.700000,8.400000,9.200000,9.200000,335000
2016-12-01,9.200000,9.900000,7.000000,7.500000,7.500000,219500
2017-01-01,7.400000,11.300000,7.400000,8.800000,8.800000,554000
2017-02-01,8.700000,15.400000,8.000000,8.100000,8.100000,1377800
2017-03-01,8.100000,9.900000,8.000000,9.300000,9.300000,432000
2017-04-01,8.000000,9.100000,7.800000,8.100000,8.100000,174700
2017-05-01,8.100000,8.500000,7.200000,7.300000,7.300000,180400
2017-06-01,7.600000,8.100000,6.200000,6.500000,6.500000,134300
2017-07-01,6.700000,6.800000,4.200000,4.400000,4.400000,281200
2017-08-01,4.400000,4.700000,2.700000,2.800000,2.800000,349800
2017-09-01,3.000000,11.000000,2.600000,8.500000,8.500000,8111400
2017-10-01,8.800000,9.300000,4.040000,4.720000,4.720000,12303800
2017-11-01,4.800000,6.390000,3.470000,4.320000,4.320000,2857000
2017-12-01,4.310000,33.509998,3.670000,11.130000,11.130000,55851100
2018-01-01,14.100000,15.500000,7.000000,7.320000,7.320000,11530400
2018-02-01,7.250000,8.430000,5.540000,5.830000,5.830000,5702200
2018-03-01,5.770000,14.380000,5.220000,6.960000,6.960000,33498300
2018-04-01,6.950000,10.300000,6.000000,7.930000,7.930000,19607800
2018-05-01,8.140000,8.980000,6.670000,6.710000,6.710000,3502200
2018-06-01,6.700000,9.180000,6.340000,7.350000,7.350000,3829100
2018-07-01,7.350000,8.700000,7.020000,7.150000,7.150000,2401100
2018-08-01,7.090000,7.800000,5.600000,6.210000,6.210000,2425400
2018-09-01,6.200000,6.450000,5.260000,5.390000,5.390000,1185500
2018-10-01,5.380000,10.600000,3.750000,4.570000,4.570000,13062900
2018-11-01,4.550000,7.290000,4.550000,7.130000,7.130000,3833200
2018-12-01,7.220000,9.850000,5.550000,5.720000,5.720000,3010300
2019-01-01,5.680000,6.710000,5.650000,6.000000,6.000000,1492100
2019-02-01,5.980000,6.850000,5.820000,6.200000,6.200000,1901600
2019-03-01,6.250000,6.270000,5.530000,5.900000,5.900000,648500
2019-04-01,5.910000,6.480000,5.400000,5.650000,5.650000,1507000
2019-05-01,5.630000,5.720000,3.900000,3.940000,3.940000,786100
2019-06-01,3.980000,5.420000,3.770000,4.570000,4.570000,1423400
2019-07-01,4.730000,4.730000,3.610000,3.680000,3.680000,474400
2019-08-01,3.700000,6.300000,3.000000,4.790000,4.790000,25667000
2019-09-01,4.750000,6.400000,4.530000,4.570000,4.570000,3523400
2019-10-01,4.570000,4.970000,4.050000,4.130000,4.130000,657000
2019-11-01,4.140000,4.830000,3.510000,3.920000,3.920000,651700
2019-12-01,3.820000,3.910000,3.030000,3.210000,3.210000,733100
2020-01-01,3.200000,3.780000,3.060000,3.200000,3.200000,785100
2020-02-01,3.210000,3.830000,2.760000,3.030000,3.030000,918600
2020-03-01,3.100000,3.270000,1.500000,1.850000,1.850000,1089300
2020-04-01,1.870000,1.940000,1.470000,1.560000,1.560000,134400
