Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,13.940000,14.490000,12.630000,12.630000,12.630000,661800
2015-05-01,12.680000,13.730000,12.440000,13.100000,13.100000,621900
2015-06-01,13.050000,14.040000,12.250000,12.720000,12.720000,1442100
2015-07-01,12.750000,13.440000,12.610000,13.090000,13.090000,448600
2015-08-01,13.070000,13.540000,12.290000,12.380000,12.380000,303000
2015-09-01,12.360000,14.080000,12.250000,12.980000,12.980000,504700
2015-10-01,13.030000,13.800000,12.810000,13.280000,13.280000,659700
2015-11-01,13.280000,13.530000,12.500000,12.880000,12.880000,278000
2015-12-01,13.060000,13.060000,11.450000,11.650000,11.650000,323400
2016-01-01,11.630000,11.880000,9.920000,10.350000,10.350000,179500
2016-02-01,10.350000,10.950000,10.010000,10.540000,10.540000,453100
2016-03-01,10.460000,11.320000,10.100000,10.790000,10.790000,560300
2016-04-01,10.800000,11.030000,10.530000,10.620000,10.620000,130500
2016-05-01,10.540000,11.000000,10.340000,10.800000,10.800000,261500
2016-06-01,10.950000,10.980000,10.030000,10.280000,10.280000,115000
2016-07-01,10.330000,10.950000,10.300000,10.680000,10.680000,172500
2016-08-01,10.730000,10.920000,10.390000,10.620000,10.620000,154300
2016-09-01,10.640000,10.750000,10.010000,10.230000,10.230000,106700
2016-10-01,10.240000,10.240000,9.390000,9.620000,9.620000,227000
2016-11-01,9.600000,10.500000,8.560000,9.880000,9.880000,404500
2016-12-01,9.930000,12.500000,9.890000,11.890000,11.890000,1001300
2017-01-01,11.670000,12.500000,10.730000,11.000000,11.000000,596300
2017-02-01,10.900000,11.450000,10.710000,11.100000,11.100000,629400
2017-03-01,11.040000,11.240000,10.010000,10.630000,10.630000,673400
2017-04-01,10.720000,11.150000,9.780000,9.980000,9.980000,211900
2017-05-01,9.950000,10.060000,8.110000,8.410000,8.410000,306600
2017-06-01,8.500000,9.450000,7.650000,9.200000,9.200000,401500
2017-07-01,9.280000,9.460000,8.400000,8.570000,8.570000,145900
2017-08-01,8.850000,9.260000,8.600000,8.610000,8.610000,225800
2017-09-01,8.720000,8.900000,8.250000,8.670000,8.670000,92000
2017-10-01,8.670000,8.950000,8.630000,8.850000,8.850000,86100
2017-11-01,8.840000,9.240000,7.770000,8.380000,8.380000,165000
2017-12-01,7.870000,9.440000,7.590000,8.800000,8.800000,254400
2018-01-01,8.850000,9.380000,8.510000,9.150000,9.150000,247800
2018-02-01,9.250000,9.450000,8.790000,8.930000,8.930000,275200
2018-03-01,9.150000,9.490000,8.800000,9.070000,9.070000,160800
2018-04-01,9.250000,9.250000,8.360000,8.740000,8.740000,120300
2018-05-01,8.750000,9.100000,8.390000,8.700000,8.700000,67800
2018-06-01,8.720000,9.500000,8.500000,9.200000,9.200000,221900
2018-07-01,9.260000,10.700000,9.010000,9.200000,9.200000,348700
2018-08-01,9.290000,11.900000,9.120000,11.770000,11.770000,384100
2018-09-01,11.700000,12.500000,10.150000,11.810000,11.810000,281800
2018-10-01,11.750000,12.420000,10.950000,11.400000,11.400000,299400
2018-11-01,11.240000,12.110000,10.510000,10.530000,10.530000,120200
2018-12-01,10.800000,11.070000,9.070000,10.400000,10.400000,152700
2019-01-01,10.350000,10.950000,10.310000,10.500000,10.500000,41300
2019-02-01,10.920000,10.920000,9.760000,10.460000,10.460000,104400
2019-03-01,10.460000,10.480000,8.490000,9.000000,9.000000,103300
2019-04-01,9.000000,9.940000,8.810000,8.950000,8.950000,97600
2019-05-01,8.950000,9.750000,7.920000,9.060000,9.060000,84200
2019-06-01,9.250000,9.700000,8.500000,9.400000,9.400000,250100
2019-07-01,9.400000,9.400000,8.380000,8.380000,8.380000,96200
2019-08-01,8.660000,9.900000,8.070000,9.250000,9.250000,406600
2019-09-01,9.580000,9.580000,8.810000,9.010000,9.010000,63400
2019-10-01,8.900000,9.250000,8.370000,8.460000,8.460000,152800
2019-11-01,8.520000,9.600000,8.510000,8.930000,8.930000,99300
2019-12-01,9.000000,9.170000,8.240000,8.240000,8.240000,118800
2020-01-01,8.430000,9.020000,7.820000,8.500000,8.500000,120400
2020-02-01,8.500000,8.590000,7.770000,8.130000,8.130000,284700
2020-03-01,8.200000,9.100000,4.760000,5.840000,5.840000,247100
2020-04-01,5.360000,5.950000,5.290000,5.900000,5.900000,6300
