Date,Open,High,Low,Close,Adj Close,Volume
2019-02-01,3.740000,7.076000,3.500000,5.840000,5.840000,1706000
2019-03-01,5.970000,6.200000,4.600000,5.085000,5.085000,782000
2019-04-01,5.080000,8.500000,4.830000,7.420000,7.420000,2799000
2019-05-01,7.420000,14.300000,7.300000,9.600000,9.600000,3777000
2019-06-01,9.400000,13.700000,8.940000,11.800000,11.800000,1871500
2019-07-01,11.900000,12.750000,9.500000,9.600000,9.600000,1183000
2019-08-01,9.600000,10.600000,9.160000,9.600000,9.600000,346000
2019-09-01,9.480000,10.200000,8.800000,9.000000,9.000000,413500
2019-10-01,8.890000,9.740000,7.240000,8.000000,8.000000,740000
2019-11-01,8.060000,8.530000,7.080000,8.170000,8.170000,439500
2019-12-01,8.170000,8.500000,6.630000,7.940000,7.940000,1166500
2020-01-01,7.940000,8.500000,7.440000,7.590000,7.590000,524500
2020-02-01,7.500000,7.700000,6.440000,6.530000,6.530000,277000
2020-03-01,6.560000,6.970000,3.790000,6.800000,6.800000,561000
2020-04-01,6.700000,7.340000,6.600000,7.050000,7.050000,40500
