Date,Open,High,Low,Close,Adj Close,Volume
2016-09-01,1.280000,1.287700,1.249300,1.287700,1.287700,68899
2016-10-01,1.870000,2.062700,1.750000,2.020400,2.020400,273864
2016-11-01,null,null,null,null,null,null
2016-12-01,null,null,null,null,null,null
2017-01-01,null,null,null,null,null,null
2017-02-01,null,null,null,null,null,null
2017-03-01,null,null,null,null,null,null
2017-04-01,null,null,null,null,null,null
2017-05-01,null,null,null,null,null,null
2017-06-01,null,null,null,null,null,null
2017-07-01,null,null,null,null,null,null
2017-08-01,null,null,null,null,null,null
2017-09-01,null,null,null,null,null,null
2017-10-01,null,null,null,null,null,null
2017-11-01,null,null,null,null,null,null
2017-12-01,null,null,null,null,null,null
2018-01-01,null,null,null,null,null,null
2018-02-01,null,null,null,null,null,null
2018-03-01,null,null,null,null,null,null
2018-04-01,null,null,null,null,null,null
2018-05-01,null,null,null,null,null,null
2018-06-01,null,null,null,null,null,null
2018-07-01,null,null,null,null,null,null
2018-08-01,null,null,null,null,null,null
2018-09-01,null,null,null,null,null,null
2018-10-01,null,null,null,null,null,null
2018-11-01,null,null,null,null,null,null
2018-12-01,null,null,null,null,null,null
2019-01-01,6.260000,6.370000,6.200000,6.260000,6.260000,429458
2019-02-01,null,null,null,null,null,null
2019-03-01,null,null,null,null,null,null
2019-04-01,null,null,null,null,null,null
2019-05-01,8.370000,8.440000,7.150000,7.240000,7.240000,10308000
2019-06-01,7.300000,7.650000,6.020000,6.440000,6.440000,15880600
2019-07-01,6.560000,7.310000,5.400000,5.990000,5.990000,28789500
2019-08-01,6.000000,6.020000,3.970000,4.210000,4.210000,20619500
2019-09-01,4.190000,5.180000,3.410000,3.440000,3.440000,21786200
2019-10-01,3.450000,4.010000,2.710000,3.330000,3.330000,44560000
2019-11-01,3.360000,3.770000,2.000000,2.690000,2.690000,74695100
2019-12-01,2.700000,2.870000,2.200000,2.450000,2.450000,56379500
2020-01-01,2.500000,3.640000,1.890000,2.590000,2.590000,110497400
2020-02-01,2.610000,2.850000,2.000000,2.200000,2.200000,71175100
2020-03-01,2.230000,2.320000,1.410000,2.000000,2.000000,92466700
2020-04-01,1.930000,1.950000,1.770000,1.820000,1.820000,4171600
