Date,Open,High,Low,Close,Adj Close,Volume
2017-01-01,9.850000,9.900000,9.750000,9.880000,9.880000,144200
2017-02-01,9.880000,10.178000,9.880000,9.910000,9.910000,79200
2017-03-01,9.910000,9.950000,9.860000,9.880000,9.880000,867400
2017-04-01,9.880000,9.890000,9.800000,9.880000,9.880000,1578100
2017-05-01,9.880000,9.890000,9.800000,9.870000,9.870000,48500
2017-06-01,9.840000,9.880000,9.790000,9.850000,9.850000,107200
2017-07-01,9.840000,9.900000,9.780000,9.870000,9.870000,406700
2017-08-01,9.870000,10.050000,9.830000,9.980000,9.980000,2696900
2017-09-01,10.000000,10.010000,9.960000,10.000000,10.000000,311100
2017-10-01,10.000000,10.050000,9.980000,9.980000,9.980000,695500
2017-11-01,9.980000,10.020000,9.280000,9.970000,9.970000,431400
2017-12-01,9.830000,9.990000,9.450000,9.920000,9.920000,2575500
2018-01-01,9.890000,10.070000,9.890000,9.950000,9.950000,662700
2018-02-01,9.950000,10.050000,9.800000,9.890000,9.890000,3399000
2018-03-01,9.890000,10.050000,9.880000,10.000000,10.000000,338000
2018-04-01,10.000000,10.200000,9.800000,9.990000,9.990000,1026100
2018-05-01,9.990000,10.030000,9.950000,10.000000,10.000000,841800
2018-06-01,10.000000,10.080000,10.000000,10.030000,10.030000,3476400
2018-07-01,9.950000,10.100000,9.950000,10.100000,10.100000,639700
2018-08-01,10.100000,10.180000,10.063000,10.110000,10.110000,4318000
2018-09-01,10.110000,10.400000,10.050000,10.130000,10.130000,243700
2018-10-01,10.117000,10.870000,9.467000,10.150000,10.150000,222300
2018-11-01,10.150000,10.150000,10.150000,10.150000,10.150000,0
2018-12-01,10.150000,10.150000,10.150000,10.150000,10.150000,0
2019-01-01,10.150000,310.899994,10.150000,14.600000,14.600000,1540400
2019-02-01,14.300000,14.500000,7.030000,7.160000,7.160000,683000
2019-03-01,7.300000,14.300000,6.280000,7.500000,7.500000,5790000
2019-04-01,7.580000,9.140000,6.831000,6.980000,6.980000,955100
2019-05-01,7.320000,8.050000,6.630000,6.750000,6.750000,1018600
2019-06-01,6.700000,7.890000,6.380000,7.600000,7.600000,1863400
2019-07-01,7.670000,8.350000,4.750000,4.960000,4.960000,820100
2019-08-01,5.000000,6.000000,3.560000,4.120000,4.120000,1036600
2019-09-01,4.200000,6.950000,4.030000,6.570000,6.570000,4121400
2019-10-01,6.600000,7.780000,6.030000,7.010000,7.010000,753900
2019-11-01,7.050000,8.336000,4.610000,5.130000,5.130000,4510100
2019-12-01,5.110000,5.238000,4.650000,4.810000,4.810000,3411900
2020-01-01,4.850000,5.435000,4.240000,4.470000,4.470000,1564900
2020-02-01,4.620000,5.050000,3.800000,3.920000,3.920000,753700
2020-03-01,4.110000,4.860000,2.472000,3.230000,3.230000,3317900
2020-04-01,3.230000,3.246000,2.740000,2.970000,2.970000,109300
