Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,23.639999,24.400000,22.950001,23.190001,19.759481,853500
2015-05-01,23.209999,23.430000,22.650000,23.090000,19.674276,1395000
2015-06-01,23.230000,24.740000,22.950001,23.340000,20.018356,1461800
2015-07-01,23.530001,24.330000,20.790001,21.040001,18.045685,1858600
2015-08-01,21.070000,22.049999,20.920000,21.450001,18.526169,1795600
2015-09-01,21.639999,21.799999,20.629999,20.790001,17.956127,1363200
2015-10-01,20.850000,22.000000,18.120001,19.160000,16.548309,1527800
2015-11-01,19.040001,21.090000,19.010000,20.620001,17.809303,1683100
2015-12-01,20.680000,20.750000,18.280001,18.840000,16.392881,1457800
2016-01-01,18.530001,19.990000,16.340000,17.160000,14.931097,1572900
2016-02-01,17.680000,18.280001,16.900000,17.840000,15.522771,2308100
2016-03-01,17.879999,19.680000,17.879999,19.540001,17.147697,1192100
2016-04-01,19.450001,22.000000,18.430000,21.490000,18.858953,1043200
2016-05-01,21.379999,22.000000,20.110001,21.590000,18.946707,849500
2016-06-01,21.370001,22.200001,20.959999,21.790001,19.267088,1287600
2016-07-01,21.830000,22.680000,19.549999,22.450001,19.850670,1187500
2016-08-01,22.459999,23.920000,22.139999,23.770000,21.017839,973200
2016-09-01,23.790001,24.980000,23.330000,24.590000,21.898754,722000
2016-10-01,24.410000,25.000000,24.020000,24.770000,22.059057,556700
2016-11-01,24.870001,29.860001,24.160000,29.209999,26.013121,1148300
2016-12-01,29.170000,32.980000,27.700001,32.459999,29.107193,1240800
2017-01-01,32.650002,32.990002,30.330000,31.049999,27.842838,854200
2017-02-01,31.400000,33.299999,30.530001,32.520000,29.160997,878300
2017-03-01,33.169998,33.560001,29.809999,31.660000,28.575323,964200
2017-04-01,31.680000,35.430000,30.309999,33.480000,30.218000,893700
2017-05-01,33.790001,34.000000,29.709999,30.250000,27.302698,820500
2017-06-01,30.330000,34.000000,30.059999,32.130001,29.173910,886500
2017-07-01,32.349998,34.599998,30.290001,32.599998,29.600668,744400
2017-08-01,32.820000,32.820000,29.650000,31.059999,28.202353,669100
2017-09-01,31.059999,34.060001,29.549999,33.590000,30.705725,707000
2017-10-01,33.610001,34.480000,31.930000,33.119999,30.276081,921100
2017-11-01,33.419998,34.619999,30.840000,33.860001,30.952545,600500
2017-12-01,33.919998,34.320000,32.619999,32.619999,30.017506,724100
2018-01-01,32.799999,36.369999,32.709999,35.610001,32.768959,764700
2018-02-01,35.459999,36.400002,33.000000,34.490002,31.738323,865000
2018-03-01,34.540001,36.990002,34.119999,35.450001,32.859974,1090300
2018-04-01,35.419998,38.029999,34.290001,35.860001,33.240021,739000
2018-05-01,35.830002,37.910000,35.349998,37.529999,34.787998,1020300
2018-06-01,37.680000,39.580002,37.529999,37.779999,35.296650,1084600
2018-07-01,37.700001,39.549999,36.160000,36.220001,33.839199,820800
2018-08-01,36.240002,37.150002,35.049999,35.860001,33.502861,859500
2018-09-01,35.790001,36.919998,34.750000,35.029999,32.982815,860600
2018-10-01,35.119999,35.740002,32.279999,34.230000,32.229568,959400
2018-11-01,34.279999,35.150002,33.020000,34.900002,32.860416,632600
2018-12-01,35.000000,35.000000,28.350000,30.100000,28.592176,739800
2019-01-01,29.760000,33.020000,29.760000,32.000000,30.396999,802200
2019-02-01,31.959999,34.279999,31.129999,33.340000,31.669874,510400
2019-03-01,33.349998,33.349998,29.809999,30.969999,29.697004,1193400
2019-04-01,31.379999,33.099998,30.760000,32.680000,31.336716,660300
2019-05-01,32.759998,33.380001,30.700001,30.910000,29.639469,903800
2019-06-01,30.950001,32.700001,30.570000,32.259998,31.260406,832100
2019-07-01,32.349998,32.869999,30.809999,32.410000,31.405760,949500
2019-08-01,32.360001,32.750000,30.070000,30.709999,29.758436,1155700
2019-09-01,30.670000,33.500000,29.930000,31.809999,31.161663,843700
2019-10-01,31.940001,33.349998,30.430000,32.709999,32.043320,1048700
2019-11-01,32.689999,33.439999,32.200001,32.709999,32.043320,826600
2019-12-01,32.869999,34.939999,31.860001,34.660000,34.310211,1088000
2020-01-01,34.830002,39.279999,32.470001,32.540001,32.211605,1172000
2020-02-01,32.720001,33.740002,27.889999,28.549999,28.549999,1000500
2020-03-01,28.650000,29.830000,17.910000,22.150000,22.150000,2625500
2020-04-01,21.209999,23.250000,20.629999,21.250000,21.250000,231000
