Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,3.840000,3.930000,3.380000,3.400000,3.400000,595700
2015-05-01,3.410000,3.740000,3.320000,3.490000,3.490000,518300
2015-06-01,3.460000,4.010000,3.450000,3.810000,3.810000,945500
2015-07-01,3.850000,3.960000,3.580000,3.580000,3.580000,956600
2015-08-01,3.590000,4.000000,3.510000,3.950000,3.950000,438200
2015-09-01,3.980000,4.340000,3.890000,4.030000,4.030000,786400
2015-10-01,4.090000,4.370000,4.030000,4.250000,4.250000,466800
2015-11-01,4.140000,4.340000,3.830000,4.070000,4.070000,644400
2015-12-01,3.990000,3.990000,3.650000,3.720000,3.720000,279400
2016-01-01,3.720000,3.920000,3.520000,3.760000,3.760000,199500
2016-02-01,3.750000,3.880000,3.550000,3.770000,3.770000,162400
2016-03-01,3.820000,3.950000,3.420000,3.700000,3.700000,567800
2016-04-01,3.780000,3.970000,3.640000,3.860000,3.860000,571800
2016-05-01,3.830000,4.710000,3.620000,4.700000,4.700000,633200
2016-06-01,4.670000,5.640000,4.600000,5.090000,5.090000,1212500
2016-07-01,5.110000,5.250000,4.290000,4.520000,4.520000,223900
2016-08-01,4.520000,5.620000,4.460000,5.460000,5.460000,674300
2016-09-01,5.450000,5.610000,4.700000,5.010000,5.010000,278900
2016-10-01,4.740000,5.240000,4.060000,4.150000,4.150000,603000
2016-11-01,4.200000,4.350000,3.750000,4.000000,4.000000,474100
2016-12-01,4.000000,4.250000,3.250000,3.900000,3.900000,502400
2017-01-01,3.850000,4.000000,3.300000,3.300000,3.300000,209100
2017-02-01,3.450000,3.550000,2.850000,2.950000,2.950000,627500
2017-03-01,2.950000,3.350000,2.900000,3.150000,3.150000,667800
2017-04-01,3.100000,3.850000,2.950000,3.600000,3.600000,704700
2017-05-01,3.500000,3.800000,3.150000,3.400000,3.400000,917600
2017-06-01,3.550000,3.750000,3.400000,3.650000,3.650000,242800
2017-07-01,3.700000,3.700000,3.250000,3.400000,3.400000,278900
2017-08-01,3.700000,4.080000,3.250000,3.550000,3.550000,910700
2017-09-01,3.550000,4.300000,3.400000,3.600000,3.600000,434200
2017-10-01,3.850000,4.000000,3.550000,3.760000,3.760000,251100
2017-11-01,3.750000,4.050000,3.600000,3.950000,3.950000,333600
2017-12-01,3.950000,4.000000,3.400000,3.650000,3.650000,524900
2018-01-01,3.750000,4.260000,3.520000,3.600000,3.600000,361200
2018-02-01,3.650000,4.050000,3.290000,3.900000,3.900000,208400
2018-03-01,3.950000,4.250000,3.850000,4.150000,4.150000,173700
2018-04-01,4.200000,4.500000,4.200000,4.450000,4.450000,228200
2018-05-01,4.400000,5.150000,4.400000,4.900000,4.900000,334900
2018-06-01,4.900000,4.900000,4.100000,4.500000,4.500000,198000
2018-07-01,4.500000,4.700000,4.100000,4.550000,4.550000,202200
2018-08-01,4.650000,5.000000,4.400000,4.750000,4.750000,126500
2018-09-01,4.950000,4.950000,4.050000,4.200000,4.200000,115400
2018-10-01,4.350000,4.570000,3.400000,3.770000,3.770000,183200
2018-11-01,3.760000,3.820000,2.830000,3.000000,3.000000,154900
2018-12-01,3.000000,3.040000,1.900000,2.350000,2.350000,412800
2019-01-01,2.500000,3.940000,2.500000,3.600000,3.600000,201300
2019-02-01,3.620000,3.860000,2.850000,3.550000,3.550000,246500
2019-03-01,3.510000,3.810000,3.100000,3.510000,3.510000,177400
2019-04-01,3.400000,4.390000,3.400000,4.260000,4.260000,575500
2019-05-01,4.250000,4.460000,3.650000,4.150000,4.150000,359600
2019-06-01,3.950000,4.100000,3.710000,3.910000,3.910000,167800
2019-07-01,3.950000,3.960000,3.100000,3.730000,3.730000,158500
2019-08-01,3.810000,4.140000,3.600000,3.990000,3.990000,244400
2019-09-01,3.830000,4.770000,3.640000,4.540000,4.540000,312200
2019-10-01,4.590000,5.350000,4.300000,4.750000,4.750000,625100
2019-11-01,4.970000,7.450000,4.670000,7.100000,7.100000,2116400
2019-12-01,7.110000,9.980000,6.510000,9.100000,9.100000,1308400
2020-01-01,8.790000,9.500000,7.250000,7.400000,7.400000,1224700
2020-02-01,7.260000,8.300000,5.850000,6.500000,6.500000,784900
2020-03-01,6.490000,7.070000,3.820000,5.210000,5.210000,1052200
2020-04-01,5.080000,5.140000,4.760000,4.860000,4.860000,14200
