Date,Open,High,Low,Close,Adj Close,Volume
2015-05-01,3.587340,3.726830,3.267600,3.440700,3.440700,3054492
2015-06-01,3.459300,3.517960,3.042980,3.125960,3.125960,1559882
2015-07-01,3.125960,3.373460,2.898490,3.283330,3.283330,1289739
2015-08-01,3.289050,3.400650,2.772590,2.937110,2.937110,908732
2015-09-01,2.925670,3.973620,2.897060,3.207510,3.207510,3179450
2015-10-01,3.249000,3.708950,3.125960,3.594500,3.594500,2520131
2015-11-01,3.587340,3.662450,3.293350,3.549430,3.549430,1122591
2015-12-01,3.562310,3.662450,0.937073,2.646690,2.646690,4600312
2016-01-01,2.646690,2.646690,1.781150,2.284740,2.284740,1845257
2016-02-01,2.281880,2.310490,1.794030,1.859840,1.859840,691726
2016-03-01,1.859840,2.031520,1.602320,1.643810,1.643810,880083
2016-04-01,1.645240,1.878440,1.359110,1.659550,1.659550,1337340
2016-05-01,1.721070,1.785450,1.444950,1.638090,1.638090,867249
2016-06-01,1.695320,1.716770,1.287580,1.359110,1.359110,727146
2016-07-01,1.355540,1.380570,1.216050,1.219620,1.219620,860357
2016-08-01,1.221060,1.236080,1.108750,1.142370,1.142370,464493
2016-09-01,1.165980,1.229640,1.060820,1.090870,1.090870,525213
2016-10-01,1.087290,1.230360,0.972839,1.142370,1.142370,1230155
2016-11-01,1.144520,1.194590,1.035790,1.035790,1.035790,278194
2016-12-01,1.020050,1.430640,1.020050,1.258970,1.258970,2533887
2017-01-01,1.266120,1.530790,1.251810,1.409900,1.409900,2063355
2017-02-01,1.416340,1.499320,1.342660,1.430640,1.430640,595993
2017-03-01,1.464980,2.575160,1.432080,2.260420,2.260420,9493477
2017-04-01,2.280450,2.310490,2.031520,2.227510,2.227510,1315056
2017-05-01,2.227510,2.444970,2.091600,2.160270,2.160270,2979644
2017-06-01,2.160270,2.768000,1.932800,2.152000,2.152000,5499849
2017-07-01,2.162000,2.220000,1.980000,2.030000,2.030000,2138192
2017-08-01,2.024000,2.116000,1.910000,1.957000,1.957000,1255985
2017-09-01,1.969000,2.258000,1.943000,2.220000,2.220000,3159892
2017-10-01,2.280000,2.370000,2.120000,2.190000,2.190000,3514642
2017-11-01,2.202000,2.260000,1.801000,1.929000,1.929000,1511023
2017-12-01,1.935000,2.188000,1.860000,1.985000,1.985000,2054441
2018-01-01,1.985000,2.340000,1.918000,1.978000,1.978000,3504250
2018-02-01,2.225000,2.240000,1.956000,2.020000,2.020000,1160191
2018-03-01,2.015000,2.280000,1.990000,2.080000,2.080000,1359561
2018-04-01,2.080000,2.380000,2.040000,2.260000,2.260000,4878003
2018-05-01,2.260000,3.110000,2.255000,2.905000,2.905000,7494476
2018-06-01,3.050000,3.485000,2.850000,3.130000,3.130000,5200721
2018-07-01,3.070000,3.195000,2.610000,2.770000,2.770000,2251997
2018-08-01,2.760000,2.830000,2.320000,2.505000,2.505000,1814388
2018-09-01,2.510000,2.810000,2.510000,2.525000,2.525000,1431432
2018-10-01,2.640000,2.640000,2.015000,2.125000,2.125000,950727
2018-11-01,2.180000,2.425000,2.045000,2.140000,2.140000,568461
2018-12-01,2.150000,2.355000,2.090000,2.270000,2.270000,633451
2019-01-01,2.270000,2.620000,2.230000,2.285000,2.285000,1790353
2019-02-01,2.290000,2.440000,2.240000,2.340000,2.340000,1150380
2019-03-01,2.370000,2.455000,2.140000,2.220000,2.220000,1841870
2019-04-01,2.190000,2.245000,2.140000,2.200000,2.200000,615357
2019-05-01,2.200000,2.210000,1.530000,1.530000,1.530000,1158191
2019-06-01,1.558000,1.650000,1.432000,1.470000,1.470000,1075891
2019-07-01,1.522000,1.580000,1.362000,1.366000,1.366000,1212705
2019-08-01,1.408000,1.426000,1.162000,1.300000,1.300000,1623694
2019-09-01,1.300000,2.015000,1.292000,1.680000,1.680000,9094038
2019-10-01,1.682000,1.868000,1.560000,1.750000,1.750000,1488950
2019-11-01,1.754000,1.808000,1.598000,1.636000,1.636000,1035702
2019-12-01,1.654000,1.672000,1.584000,1.632000,1.632000,431047
2020-01-01,1.632000,1.740000,1.542000,1.552000,1.552000,2210023
2020-02-01,1.542000,1.602000,1.292000,1.360000,1.360000,1314188
2020-03-01,1.352000,1.430000,0.910000,0.946000,0.946000,1463311
2020-04-01,0.946000,0.970000,0.942000,0.942000,0.942000,10993
