Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,25.010000,26.270000,24.760000,25.650000,23.833408,3887800
2015-05-01,25.639999,26.750000,25.100000,25.180000,23.396692,3051700
2015-06-01,25.330000,25.420000,23.770000,23.879999,22.188763,2616300
2015-07-01,24.200001,24.639999,22.920000,24.490000,22.920204,4170700
2015-08-01,24.559999,24.740000,20.930000,22.990000,21.516354,5000600
2015-09-01,22.520000,23.750000,21.910000,22.459999,21.020321,2424500
2015-10-01,22.610001,23.510000,22.389999,23.219999,21.731609,1184500
2015-11-01,23.400000,23.850000,22.910000,23.780001,22.255714,1045200
2015-12-01,23.930000,24.280001,23.379999,23.700001,22.180840,1726400
2016-01-01,23.320000,23.330000,20.760000,22.190001,20.837412,2436300
2016-02-01,22.190001,22.410000,20.520000,21.840000,20.508743,1726900
2016-03-01,22.080000,23.260000,21.910000,23.059999,21.654375,1102400
2016-04-01,22.740000,23.600000,22.600000,23.090000,21.682552,1069600
2016-05-01,23.260000,23.770000,22.799999,23.540001,22.105124,2068400
2016-06-01,23.410000,24.170000,21.020000,22.709999,21.325716,1516500
2016-07-01,22.889999,23.490000,21.990000,23.430000,22.238550,956200
2016-08-01,23.320000,23.879999,23.070000,23.340000,22.153130,758500
2016-09-01,23.430000,24.040001,22.950001,23.680000,22.475840,884600
2016-10-01,23.680000,23.740000,22.120001,22.270000,21.195560,961000
2016-11-01,22.270000,22.280001,21.020000,21.389999,20.358015,1951800
2016-12-01,21.360001,21.610001,21.030001,21.450001,20.415123,1629400
2017-01-01,21.420000,22.510000,21.420000,22.400000,21.488403,1742000
2017-02-01,22.469999,22.850000,22.200001,22.570000,21.651482,1325600
2017-03-01,22.610001,23.420000,22.580000,23.320000,22.370960,1090000
2017-04-01,23.330000,24.580000,23.129999,24.500000,23.502939,1308900
2017-05-01,24.620001,25.670000,24.620001,25.590000,24.548578,2594700
2017-06-01,25.670000,25.990000,25.309999,25.680000,24.634918,785000
2017-07-01,25.770000,26.420000,25.290001,26.320000,25.443821,1311200
2017-08-01,26.400000,26.490000,25.840000,26.480000,25.598497,922400
2017-09-01,26.590000,27.490000,26.340000,27.059999,26.159185,626200
2017-10-01,26.980000,27.590000,26.790001,27.330000,26.460382,1009300
2017-11-01,27.410000,28.030001,26.940001,27.559999,26.683064,852100
2017-12-01,27.400000,27.809999,27.170000,27.629999,26.750835,485500
2018-01-01,27.650000,29.700001,27.650000,29.370001,28.565077,897400
2018-02-01,29.209999,29.410000,26.660000,28.040001,27.271526,873900
2018-03-01,27.820000,28.709999,27.350000,27.879999,27.115910,556700
2018-04-01,27.690001,28.480000,27.059999,27.290001,26.542082,821700
2018-05-01,27.360001,28.639999,27.110001,28.240000,27.466045,786500
2018-06-01,28.330000,29.090000,27.030001,27.490000,26.736599,1202300
2018-07-01,27.110001,28.570000,26.930000,28.080000,27.505600,614900
2018-08-01,28.330000,28.600000,27.040001,28.180000,27.603554,917900
2018-09-01,27.950001,28.010000,27.200001,27.450001,26.888491,648900
2018-10-01,27.570000,27.750000,23.580000,24.490000,23.989037,1298200
2018-11-01,24.750000,25.200001,23.540001,24.250000,23.753946,907100
2018-12-01,24.750000,24.760000,22.000000,22.969999,22.500128,1504600
2019-01-01,22.719999,26.400000,22.620001,24.510000,24.049700,895100
2019-02-01,24.520000,25.670000,24.350000,25.420000,24.942610,1114500
2019-03-01,25.629999,25.959999,25.219999,25.860001,25.374348,1466200
2019-04-01,25.980000,26.840000,25.980000,26.840000,26.368534,645700
2019-05-01,26.719999,26.950001,25.730000,25.870001,25.415575,940700
2019-06-01,25.809999,27.280001,25.809999,27.049999,26.574846,635200
2019-07-01,27.280001,27.670000,26.850000,27.040001,26.750668,355800
2019-08-01,27.209999,27.480000,25.930000,26.559999,26.275803,589500
2019-09-01,26.400000,27.190001,26.209999,26.379999,26.097729,331700
2019-10-01,26.370001,27.209999,25.580000,27.129999,26.937897,251000
2019-11-01,27.410000,28.170000,27.110001,28.010000,27.811668,266600
2019-12-01,27.870001,29.090000,27.719999,28.799999,28.596073,617100
2020-01-01,28.920000,30.030001,28.750000,28.870001,28.803886,752100
2020-02-01,29.040001,30.110001,26.129999,26.700001,26.638855,838700
2020-03-01,26.780001,28.059999,18.780001,22.650000,22.598129,2324300
2020-04-01,21.980000,22.370001,21.799999,22.170000,22.170000,58700
