Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,7.550000,10.690000,7.090000,8.950000,8.950000,2899600
2017-01-01,9.100000,9.100000,7.630000,8.300000,8.300000,802400
2017-02-01,8.300000,9.400000,7.800000,8.720000,8.720000,1135900
2017-03-01,8.830000,11.500000,7.500000,8.300000,8.300000,4773300
2017-04-01,8.260000,9.250000,4.350000,5.330000,5.330000,3147800
2017-05-01,5.400000,5.990000,4.610000,5.190000,5.190000,2814400
2017-06-01,5.170000,5.570000,4.500000,5.310000,5.310000,1374400
2017-07-01,5.360000,6.540000,5.100000,5.250000,5.250000,1553400
2017-08-01,5.360000,5.360000,4.120000,4.650000,4.650000,1392100
2017-09-01,4.630000,4.990000,4.350000,4.790000,4.790000,529600
2017-10-01,4.720000,6.350000,4.650000,5.270000,5.270000,1232300
2017-11-01,5.230000,5.500000,4.250000,5.000000,5.000000,1126600
2017-12-01,4.960000,5.980000,4.760000,5.010000,5.010000,761800
2018-01-01,5.030000,5.220000,4.280000,4.460000,4.460000,404800
2018-02-01,4.450000,4.650000,4.050000,4.170000,4.170000,214300
2018-03-01,4.250000,5.260000,4.010000,4.990000,4.990000,589400
2018-04-01,4.950000,6.400000,4.870000,5.950000,5.950000,480200
2018-05-01,5.810000,6.850000,5.810000,6.230000,6.230000,551800
2018-06-01,6.260000,6.800000,5.840000,6.110000,6.110000,385700
2018-07-01,6.020000,6.430000,5.920000,6.030000,6.030000,83300
2018-08-01,6.090000,6.650000,5.960000,6.200000,6.200000,385800
2018-09-01,6.200000,6.200000,5.070000,5.120000,5.120000,246300
2018-10-01,5.190000,5.970000,5.000000,5.690000,5.690000,330800
2018-11-01,5.790000,6.200000,5.310000,5.850000,5.850000,337900
2018-12-01,5.930000,6.000000,4.500000,4.830000,4.830000,343900
2019-01-01,4.810000,5.350000,4.790000,4.970000,4.970000,254700
2019-02-01,5.000000,5.090000,4.680000,4.850000,4.850000,193400
2019-03-01,4.920000,5.250000,4.510000,4.510000,4.510000,420200
2019-04-01,4.650000,5.000000,4.280000,4.360000,4.360000,218900
2019-05-01,4.340000,4.780000,4.000000,4.050000,4.050000,319700
2019-06-01,4.000000,4.390000,3.450000,4.160000,4.160000,401400
2019-07-01,4.230000,4.730000,3.930000,4.410000,4.410000,235100
2019-08-01,4.300000,5.000000,3.030000,3.540000,3.540000,830000
2019-09-01,3.430000,3.770000,3.060000,3.140000,3.140000,366400
2019-10-01,3.130000,3.350000,2.770000,2.930000,2.930000,398700
2019-11-01,2.920000,3.240000,2.050000,2.440000,2.440000,686500
2019-12-01,2.480000,2.550000,2.220000,2.380000,2.380000,726400
2020-01-01,2.420000,3.240000,2.400000,3.030000,3.030000,1473900
2020-02-01,2.980000,3.080000,2.470000,2.560000,2.560000,1315100
2020-03-01,2.510000,2.540000,0.950000,1.240000,1.240000,1828200
2020-04-01,1.240000,1.240000,1.110000,1.140000,1.140000,80200
