Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,54.439999,55.270000,52.400002,52.400002,48.885078,90400
2015-05-01,52.580002,57.310001,52.230000,55.980000,52.224930,65100
2015-06-01,55.810001,58.290001,55.799999,56.770000,52.961933,36400
2015-07-01,57.049999,60.320000,53.590000,55.849998,52.171337,63500
2015-08-01,55.680000,56.520000,43.610001,53.790001,50.247032,63200
2015-09-01,53.799999,56.830002,53.150002,54.410000,50.826191,120800
2015-10-01,55.880001,62.759998,54.200001,57.740002,53.991219,95700
2015-11-01,57.820000,59.990002,56.330002,58.430000,54.636425,113300
2015-12-01,59.840000,59.840000,53.900002,54.900002,51.335609,69800
2016-01-01,54.410000,55.119999,50.230000,53.430000,50.511074,608600
2016-02-01,52.889999,55.880001,50.250000,55.529999,52.496338,275500
2016-03-01,55.799999,59.720001,54.959999,59.720001,56.457439,463700
2016-04-01,59.310001,61.650002,57.490002,61.509998,58.195732,127600
2016-05-01,61.790001,63.220001,60.060001,62.580002,59.208084,537900
2016-06-01,62.770000,65.470001,60.520000,65.470001,61.942368,552200
2016-07-01,66.309998,68.610001,64.830002,68.419998,64.865219,288600
2016-08-01,69.150002,69.150002,65.730003,67.000000,63.519001,923400
2016-09-01,66.620003,68.510002,63.720001,65.559998,62.153820,1210500
2016-10-01,65.230003,67.330002,62.299999,62.959999,59.767139,135700
2016-11-01,62.750000,66.750000,60.509998,65.279999,61.969486,449300
2016-12-01,65.129997,70.809998,64.629997,69.050003,65.548309,237100
2017-01-01,70.440002,70.989998,65.339996,66.099998,63.447346,157000
2017-02-01,66.690002,69.589996,65.510002,66.930000,64.244034,228700
2017-03-01,67.449997,69.339996,66.010002,69.330002,66.547722,132500
2017-04-01,69.220001,72.000000,67.449997,71.250000,68.390663,61600
2017-05-01,71.250000,71.279999,67.300003,68.139999,65.405472,120700
2017-06-01,68.139999,70.589996,66.000000,66.620003,63.946476,123200
2017-07-01,66.550003,69.089996,64.110001,68.769997,66.052750,138500
2017-08-01,68.430000,68.739998,66.370003,68.120003,65.428444,52000
2017-09-01,67.889999,72.330002,67.889999,72.059998,69.212761,65500
2017-10-01,72.279999,73.540001,71.110001,72.440002,69.931290,64400
2017-11-01,73.320000,75.529999,68.639999,75.290001,72.682594,57800
2017-12-01,75.250000,76.620003,72.720001,74.790001,72.199905,54400
2018-01-01,74.800003,75.150002,72.180000,73.000000,70.984001,101100
2018-02-01,72.449997,72.730003,65.000000,68.199997,66.316559,76400
2018-03-01,68.089996,72.019997,67.169998,69.970001,68.037682,95700
2018-04-01,68.690002,72.690002,68.239998,71.129997,69.165649,62700
2018-05-01,69.639999,76.449997,67.709999,75.879997,73.784477,62500
2018-06-01,75.980003,82.040001,75.959999,80.019997,77.810127,83400
2018-07-01,79.779999,83.849998,79.639999,82.919998,80.630051,136700
2018-08-01,82.900002,87.160004,81.500000,85.339996,82.983208,567500
2018-09-01,84.919998,86.410004,82.779999,83.580002,81.271820,211000
2018-10-01,84.089996,84.089996,77.489998,81.589996,79.574867,376100
2018-11-01,81.580002,82.779999,78.230003,80.169998,78.189949,215700
2018-12-01,80.519997,80.629997,65.989998,69.150002,67.442131,528400
2019-01-01,68.540001,76.120003,68.540001,76.120003,74.675232,197400
2019-02-01,75.900002,79.400002,74.809998,78.389999,76.902138,56600
2019-03-01,78.919998,78.949997,74.489998,75.900002,74.459404,71800
2019-04-01,75.949997,78.269997,74.550003,77.709999,76.341362,123400
2019-05-01,77.660004,77.660004,70.879997,71.500000,70.240730,75200
2019-06-01,71.690002,74.870003,70.790001,73.129997,71.842026,78800
2019-07-01,73.669998,74.910004,71.250000,74.830002,73.896935,81600
2019-08-01,74.279999,74.730003,70.349998,71.720001,70.825714,71700
2019-09-01,71.199997,77.529999,71.199997,74.400002,73.472290,47700
2019-10-01,74.330002,74.449997,70.720001,72.610001,72.126732,38200
2019-11-01,73.040001,75.139999,72.970001,75.059998,74.560425,39400
2019-12-01,74.839996,80.820000,74.330002,79.690002,79.159607,91300
2020-01-01,80.099998,80.099998,72.449997,72.449997,72.395615,53400
2020-02-01,73.120003,74.910004,65.160004,66.019997,65.970444,116500
2020-03-01,66.730003,68.199997,55.250000,63.060001,63.012669,155400
2020-04-01,61.630001,61.759998,60.000000,60.389999,60.389999,3800
