Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,8.450000,8.690000,8.270000,8.350000,4.620757,39544600
2015-05-01,8.360000,8.370000,7.420000,7.900000,4.414998,62221700
2015-06-01,7.940000,7.950000,7.180000,7.370000,4.161819,79306700
2015-07-01,7.390000,7.610000,7.010000,7.130000,4.070166,51298300
2015-08-01,7.110000,7.730000,5.300000,7.600000,4.389637,63449600
2015-09-01,7.520000,8.090000,7.040000,7.820000,4.570591,79210000
2015-10-01,7.150000,7.650000,7.150000,7.330000,4.330098,43979100
2015-11-01,7.310000,7.570000,7.200000,7.500000,4.481478,38206000
2015-12-01,7.500000,7.510000,6.150000,6.980000,4.217626,107543000
2016-01-01,6.940000,7.180000,5.530000,6.070000,3.711333,82569000
2016-02-01,6.050000,7.270000,5.210000,7.200000,4.461681,93563600
2016-03-01,7.220000,7.570000,6.720000,7.270000,4.558651,58745000
2016-04-01,7.170000,7.750000,7.060000,7.480000,4.745186,40213300
2016-05-01,7.480000,7.600000,7.210000,7.510000,4.815928,36003600
2016-06-01,7.530000,7.930000,7.450000,7.820000,5.070165,41426000
2016-07-01,7.830000,8.440000,7.750000,8.380000,5.493001,36920300
2016-08-01,8.350000,8.680000,8.080000,8.610000,5.699884,39783500
2016-09-01,8.540000,8.580000,7.680000,8.100000,5.415263,46778200
2016-10-01,8.050000,8.180000,7.890000,7.890000,5.328408,31557800
2016-11-01,7.920000,8.200000,7.070000,8.050000,5.492465,46686100
2016-12-01,8.060000,8.580000,7.890000,8.350000,5.755412,42419200
2017-01-01,8.350000,8.780000,8.290000,8.420000,5.860889,46584000
2017-02-01,8.430000,9.580000,8.400000,9.370000,6.584614,57364400
2017-03-01,9.400000,9.490000,8.690000,9.040000,6.408525,55958200
2017-04-01,9.040000,9.450000,9.010000,9.300000,6.653528,32209000
2017-05-01,9.320000,9.370000,7.950000,7.980000,5.760071,74374700
2017-06-01,8.010000,8.260000,7.900000,8.120000,5.919545,40021700
2017-07-01,8.110000,8.370000,8.040000,8.170000,6.017200,31102900
2017-08-01,8.170000,8.230000,6.540000,6.550000,4.872564,90616300
2017-09-01,6.560000,6.890000,6.550000,6.720000,5.058667,49789400
2017-10-01,6.730000,6.820000,5.960000,5.990000,4.550069,66565400
2017-11-01,5.990000,7.040000,5.510000,6.650000,5.102011,178611700
2017-12-01,6.880000,7.370000,6.630000,6.740000,5.216823,61915100
2018-01-01,6.770000,7.050000,6.310000,6.450000,5.035213,43802700
2018-02-01,6.420000,6.970000,5.950000,6.640000,5.229614,46459500
2018-03-01,6.630000,6.870000,6.460000,6.550000,5.205206,34731700
2018-04-01,6.550000,6.700000,6.320000,6.340000,5.084827,26790600
2018-05-01,6.350000,6.870000,6.290000,6.760000,5.473232,33816900
2018-06-01,6.730000,6.950000,6.690000,6.710000,5.480685,27285100
2018-07-01,6.700000,7.000000,6.640000,7.000000,5.768605,24482200
2018-08-01,6.990000,7.600000,6.770000,7.500000,6.234237,42872200
2018-09-01,7.500000,7.500000,7.250000,7.330000,6.142870,32520300
2018-10-01,7.370000,7.390000,6.630000,6.790000,5.736840,44930000
2018-11-01,6.800000,7.120000,6.700000,6.860000,5.848674,37764600
2018-12-01,6.900000,6.900000,5.700000,6.310000,5.426402,70608900
2019-01-01,6.290000,6.860000,6.250000,6.800000,5.902355,43368400
2019-02-01,6.810000,6.980000,6.360000,6.850000,5.998841,45287600
2019-03-01,6.870000,6.870000,6.500000,6.520000,5.759858,30815700
2019-04-01,6.530000,6.780000,6.530000,6.750000,6.017751,23043000
2019-05-01,6.750000,6.870000,6.250000,6.250000,5.621890,35218900
2019-06-01,6.260000,6.650000,6.220000,6.530000,5.926826,34773500
2019-07-01,6.550000,6.740000,6.530000,6.620000,6.064756,24338000
2019-08-01,6.610000,6.710000,6.210000,6.370000,5.888456,39036000
2019-09-01,6.350000,6.760000,6.300000,6.590000,6.150401,31669400
2019-10-01,6.590000,6.620000,6.360000,6.440000,6.064799,27390500
2019-11-01,6.450000,6.590000,6.340000,6.520000,6.196903,32628400
2019-12-01,6.530000,6.750000,6.430000,6.440000,6.177196,39247200
2020-01-01,6.470000,6.650000,6.450000,6.510000,6.302157,28493400
2020-02-01,6.510000,6.600000,5.400000,5.510000,5.383245,50606300
2020-03-01,5.560000,6.010000,4.000000,4.250000,4.193207,142390100
2020-04-01,4.100000,4.140000,3.920000,4.080000,4.080000,6598600
