Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,2.700000,2.860000,2.390000,2.480000,2.480000,1438800
2015-05-01,2.520000,2.620000,2.200000,2.350000,2.350000,496200
2015-06-01,2.370000,2.840000,2.120000,2.670000,2.670000,870700
2015-07-01,2.680000,4.450000,2.520000,4.250000,4.250000,2410000
2015-08-01,4.180000,5.070000,3.800000,4.280000,4.280000,1196100
2015-09-01,4.270000,4.690000,3.880000,4.370000,4.370000,321900
2015-10-01,3.830000,4.960000,3.630000,4.530000,4.530000,364300
2015-11-01,4.820000,4.920000,4.440000,4.500000,4.500000,276800
2015-12-01,4.460000,4.760000,4.160000,4.370000,4.370000,302200
2016-01-01,4.500000,4.850000,4.000000,4.490000,4.490000,354500
2016-02-01,4.470000,4.700000,4.180000,4.470000,4.470000,79600
2016-03-01,4.630000,4.780000,4.070000,4.660000,4.660000,147600
2016-04-01,4.580000,5.410000,4.410000,5.140000,5.140000,155300
2016-05-01,5.480000,5.500000,4.870000,5.270000,5.270000,190000
2016-06-01,5.210000,5.450000,4.000000,4.520000,4.520000,148000
2016-07-01,4.530000,5.120000,4.090000,4.750000,4.750000,109500
2016-08-01,4.780000,4.990000,4.580000,4.690000,4.690000,118900
2016-09-01,4.710000,5.080000,4.340000,4.540000,4.540000,107700
2016-10-01,4.600000,4.750000,4.300000,4.580000,4.580000,73800
2016-11-01,4.580000,4.950000,4.110000,4.850000,4.850000,102800
2016-12-01,4.880000,5.130000,4.520000,4.690000,4.690000,140600
2017-01-01,5.100000,5.900000,4.960000,5.770000,5.770000,144600
2017-02-01,5.800000,6.340000,5.480000,6.180000,6.180000,89400
2017-03-01,6.410000,6.410000,5.200000,5.230000,5.230000,77900
2017-04-01,5.310000,5.500000,4.680000,4.730000,4.730000,41400
2017-05-01,4.670000,5.500000,4.630000,5.400000,5.400000,125000
2017-06-01,5.430000,5.800000,5.080000,5.170000,5.170000,105500
2017-07-01,5.190000,5.230000,4.750000,4.890000,4.890000,165700
2017-08-01,4.880000,5.130000,4.600000,4.900000,4.900000,52600
2017-09-01,4.780000,5.540000,4.780000,5.250000,5.250000,72000
2017-10-01,5.390000,5.390000,5.020000,5.160000,5.160000,71600
2017-11-01,5.160000,5.990000,4.990000,5.770000,5.770000,127700
2017-12-01,5.900000,6.250000,5.600000,6.150000,6.150000,149900
2018-01-01,6.250000,6.600000,5.600000,5.600000,5.600000,151600
2018-02-01,5.630000,5.670000,5.000000,5.160000,5.160000,80500
2018-03-01,5.160000,5.240000,4.590000,4.590000,4.590000,70400
2018-04-01,4.590000,4.730000,4.010000,4.100000,4.100000,82500
2018-05-01,4.060000,4.400000,3.700000,4.020000,4.020000,386600
2018-06-01,3.950000,4.080000,3.230000,3.830000,3.830000,134600
2018-07-01,3.750000,4.180000,3.350000,3.730000,3.730000,90700
2018-08-01,3.680000,4.610000,3.620000,4.310000,4.310000,124500
2018-09-01,4.420000,5.230000,4.420000,5.160000,5.160000,74200
2018-10-01,5.160000,5.240000,4.550000,4.870000,4.870000,116500
2018-11-01,5.060000,5.600000,4.700000,5.300000,5.300000,44800
2018-12-01,5.550000,5.550000,4.250000,4.720000,4.720000,67400
2019-01-01,4.620000,4.710000,4.150000,4.440000,4.440000,80100
2019-02-01,4.410000,4.890000,4.200000,4.260000,4.260000,29400
2019-03-01,4.380000,4.580000,3.630000,3.740000,3.740000,70300
2019-04-01,3.840000,4.830000,3.840000,4.640000,4.640000,81300
2019-05-01,4.500000,5.100000,4.140000,4.360000,4.360000,46700
2019-06-01,4.290000,4.440000,4.100000,4.200000,4.200000,28100
2019-07-01,4.340000,4.940000,3.680000,4.080000,4.080000,80800
2019-08-01,4.080000,4.500000,3.470000,4.390000,4.390000,110100
2019-09-01,4.310000,4.850000,3.950000,4.710000,4.710000,94100
2019-10-01,4.790000,4.850000,3.810000,4.450000,4.450000,108800
2019-11-01,4.500000,5.000000,4.020000,4.590000,4.590000,232000
2019-12-01,4.520000,4.710000,4.020000,4.360000,4.360000,100300
2020-01-01,4.250000,4.590000,3.710000,4.400000,4.400000,80600
2020-02-01,4.490000,5.150000,4.330000,4.560000,4.560000,205900
2020-03-01,4.770000,4.980000,2.900000,3.710000,3.710000,61500
2020-04-01,3.340000,3.450000,3.300000,3.450000,3.450000,1300
