Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,5.890000,6.060000,5.420000,5.430000,5.430000,1750400
2015-05-01,5.500000,5.980000,5.060000,5.930000,5.930000,2798400
2015-06-01,5.990000,6.660000,5.780000,6.450000,6.450000,1693600
2015-07-01,6.490000,6.820000,5.720000,5.820000,5.820000,2084800
2015-08-01,5.820000,6.220000,4.870000,5.500000,5.500000,9676400
2015-09-01,5.420000,6.460000,5.300000,5.550000,5.550000,5114100
2015-10-01,5.570000,6.300000,5.400000,5.550000,5.550000,3258000
2015-11-01,5.530000,5.790000,4.540000,4.890000,4.890000,3124100
2015-12-01,4.780000,4.960000,4.230000,4.290000,4.290000,2240700
2016-01-01,4.250000,4.350000,3.600000,3.810000,3.810000,2838400
2016-02-01,3.800000,3.880000,2.650000,2.970000,2.970000,3277800
2016-03-01,3.040000,3.630000,2.910000,3.420000,3.420000,2485600
2016-04-01,3.380000,3.820000,3.310000,3.520000,3.520000,1422600
2016-05-01,3.540000,3.740000,2.940000,3.700000,3.700000,2615200
2016-06-01,3.570000,3.840000,2.820000,3.550000,3.550000,2014300
2016-07-01,3.610000,4.060000,3.120000,3.630000,3.630000,1229000
2016-08-01,3.620000,3.740000,3.020000,3.060000,3.060000,1877200
2016-09-01,3.070000,3.500000,2.810000,3.020000,3.020000,1690100
2016-10-01,3.000000,3.240000,2.890000,2.900000,2.900000,1520800
2016-11-01,2.950000,3.380000,2.610000,3.190000,3.190000,2926300
2016-12-01,3.170000,4.320000,3.070000,3.760000,3.760000,4129400
2017-01-01,3.830000,4.230000,3.340000,3.500000,3.500000,1597300
2017-02-01,3.550000,3.600000,2.960000,3.230000,3.230000,1941400
2017-03-01,3.320000,3.960000,3.150000,3.900000,3.900000,2096100
2017-04-01,3.910000,4.630000,3.600000,4.480000,4.480000,1757600
2017-05-01,4.480000,4.570000,3.440000,3.890000,3.890000,1472200
2017-06-01,3.860000,4.570000,3.690000,4.170000,4.170000,1839700
2017-07-01,4.210000,4.210000,3.630000,3.890000,3.890000,1473600
2017-08-01,3.990000,5.670000,3.360000,4.190000,4.190000,3959300
2017-09-01,5.390000,8.000000,5.100000,7.350000,7.350000,4680600
2017-10-01,7.300000,9.380000,6.860000,8.900000,8.900000,4326000
2017-11-01,9.010000,10.970000,7.820000,10.690000,10.690000,9687300
2017-12-01,10.120000,10.470000,8.240000,8.380000,8.380000,9716900
2018-01-01,8.400000,9.720000,8.270000,9.330000,9.330000,7465800
2018-02-01,10.550000,13.870000,10.420000,13.130000,13.130000,18483300
2018-03-01,13.070000,14.650000,12.070000,12.770000,12.770000,15019300
2018-04-01,12.770000,12.870000,9.760000,11.240000,11.240000,21220200
2018-05-01,11.270000,13.910000,10.980000,13.710000,13.710000,13375900
2018-06-01,13.730000,14.120000,12.570000,12.700000,12.700000,12152700
2018-07-01,12.540000,15.050000,12.510000,13.260000,13.260000,10112900
2018-08-01,13.260000,16.420000,12.120000,15.170000,15.170000,18090400
2018-09-01,15.180000,15.290000,13.010000,13.570000,13.570000,9433300
2018-10-01,13.620000,16.709999,12.480000,15.900000,15.900000,19607300
2018-11-01,16.000000,17.750000,13.800000,16.139999,16.139999,20122800
2018-12-01,16.490000,16.740000,14.310000,16.230000,16.230000,15950900
2019-01-01,16.010000,19.260000,15.030000,19.040001,19.040001,15994100
2019-02-01,18.990000,20.020000,13.300000,13.390000,13.390000,28838600
2019-03-01,13.490000,13.900000,12.660000,13.390000,13.390000,12459200
2019-04-01,13.550000,14.730000,12.980000,14.270000,14.270000,10113100
2019-05-01,14.410000,16.379999,13.520000,15.330000,15.330000,15188200
2019-06-01,15.340000,16.809999,14.920000,15.850000,15.850000,10239600
2019-07-01,15.940000,17.129999,14.890000,16.290001,16.290001,8885600
2019-08-01,16.270000,16.740000,10.150000,11.450000,11.450000,20003000
2019-09-01,11.310000,13.060000,11.120000,12.590000,12.590000,15045400
2019-10-01,12.680000,13.390000,11.430000,12.830000,12.830000,9307700
2019-11-01,12.950000,16.520000,12.460000,15.740000,15.740000,13792800
2019-12-01,15.830000,16.219999,15.190000,15.310000,15.310000,7402600
2020-01-01,15.440000,15.520000,12.760000,12.960000,12.960000,8464300
2020-02-01,12.950000,15.320000,12.470000,12.880000,12.880000,12768900
2020-03-01,13.010000,13.010000,5.760000,8.050000,8.050000,15147000
2020-04-01,7.730000,7.850000,6.660000,7.030000,7.030000,724600
