Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,9.760000,10.720000,9.360000,9.680000,9.680000,180200
2015-05-01,9.600000,10.400000,8.400000,8.640000,8.640000,109700
2015-06-01,8.560000,9.840000,8.400000,8.640000,8.640000,3297200
2015-07-01,8.800000,8.960000,6.720000,6.720000,6.720000,252500
2015-08-01,6.720000,8.240000,0.700000,0.750000,0.750000,290600
2015-09-01,6.080000,6.720000,4.160000,4.480000,4.480000,1080800
2015-10-01,4.640000,6.720000,3.680000,6.240000,6.240000,359400
2015-11-01,6.560000,6.960000,5.680000,6.160000,6.160000,280400
2015-12-01,6.480000,7.280000,5.200000,5.520000,5.520000,501800
2016-01-01,5.520000,5.920000,3.600000,4.640000,4.640000,94900
2016-02-01,4.800000,5.200000,3.920000,3.920000,3.920000,102500
2016-03-01,4.400000,6.000000,3.360000,3.360000,3.360000,213800
2016-04-01,3.520000,3.840000,3.360000,3.440000,3.440000,448400
2016-05-01,3.600000,3.680000,2.960000,3.280000,3.280000,122100
2016-06-01,3.360000,3.600000,1.680000,2.320000,2.320000,282400
2016-07-01,2.400000,2.800000,2.080000,2.320000,2.320000,174300
2016-08-01,2.320000,2.910000,2.100000,2.100000,2.100000,410200
2016-09-01,2.150000,2.450000,1.900000,2.020000,2.020000,435100
2016-10-01,2.000000,2.340000,1.600000,1.710000,1.710000,511800
2016-11-01,1.690000,2.340000,1.610000,1.980000,1.980000,494200
2016-12-01,1.950000,2.480000,1.910000,2.450000,2.450000,634300
2017-01-01,2.480000,2.880000,2.200000,2.350000,2.350000,554500
2017-02-01,2.360000,2.480000,1.980000,2.130000,2.130000,349200
2017-03-01,2.140000,2.770000,1.990000,2.350000,2.350000,729300
2017-04-01,2.380000,2.970000,2.320000,2.780000,2.780000,559900
2017-05-01,2.820000,3.000000,2.530000,2.540000,2.540000,569400
2017-06-01,2.520000,2.840000,2.360000,2.420000,2.420000,607500
2017-07-01,2.460000,2.520000,1.590000,2.310000,2.310000,769900
2017-08-01,1.760000,1.870000,1.210000,1.380000,1.380000,2327700
2017-09-01,1.350000,1.510000,1.030000,1.160000,1.160000,698800
2017-10-01,1.190000,1.510000,1.080000,1.200000,1.200000,557000
2017-11-01,1.210000,2.910000,1.110000,2.000000,2.000000,10243600
2017-12-01,2.020000,2.340000,1.900000,2.300000,2.300000,875000
2018-01-01,2.340000,2.640000,2.300000,2.310000,2.310000,408100
2018-02-01,2.320000,2.440000,2.130000,2.140000,2.140000,291800
2018-03-01,2.120000,2.540000,2.120000,2.210000,2.210000,638300
2018-04-01,2.230000,2.300000,1.760000,1.880000,1.880000,467100
2018-05-01,1.900000,2.280000,1.840000,1.960000,1.960000,375300
2018-06-01,1.920000,2.050000,1.810000,1.940000,1.940000,427000
2018-07-01,1.910000,2.020000,1.750000,1.750000,1.750000,290900
2018-08-01,1.800000,2.340000,1.750000,2.150000,2.150000,622200
2018-09-01,2.220000,2.640000,2.220000,2.560000,2.560000,532200
2018-10-01,2.580000,3.100000,2.010000,2.280000,2.280000,1212600
2018-11-01,2.250000,2.450000,1.360000,1.400000,1.400000,699500
2018-12-01,1.390000,1.470000,1.260000,1.360000,1.360000,482300
2019-01-01,1.350000,1.670000,1.280000,1.530000,1.530000,188900
2019-02-01,1.530000,1.680000,1.470000,1.580000,1.580000,276200
2019-03-01,1.610000,1.930000,1.500000,1.650000,1.650000,330700
2019-04-01,1.700000,2.130000,1.550000,2.090000,2.090000,674500
2019-05-01,2.100000,3.100000,2.020000,2.570000,2.570000,694800
2019-06-01,2.550000,2.860000,2.110000,2.770000,2.770000,359700
2019-07-01,2.740000,2.810000,2.090000,2.410000,2.410000,310100
2019-08-01,2.420000,2.990000,2.130000,2.650000,2.650000,524300
2019-09-01,2.650000,2.660000,2.360000,2.500000,2.500000,318000
2019-10-01,2.500000,2.590000,2.100000,2.370000,2.370000,1505900
2019-11-01,2.350000,2.650000,1.850000,2.580000,2.580000,281300
2019-12-01,2.610000,2.610000,2.150000,2.180000,2.180000,299800
2020-01-01,2.150000,2.560000,2.150000,2.450000,2.450000,225100
2020-02-01,2.470000,2.480000,1.820000,2.190000,2.190000,187900
2020-03-01,2.040000,2.270000,1.100000,1.170000,1.170000,780200
2020-04-01,1.160000,1.200000,1.100000,1.120000,1.120000,24900
