Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,3.980000,4.070000,3.700000,3.930000,3.930000,100300
2015-05-01,3.900000,3.930000,3.700000,3.790000,3.790000,50400
2015-06-01,3.750000,3.970000,3.740000,3.940000,3.940000,51800
2015-07-01,3.910000,4.200000,3.750000,4.120000,4.120000,88400
2015-08-01,4.150000,4.150000,3.750000,3.960000,3.960000,67600
2015-09-01,3.800000,3.980000,3.700000,3.830000,3.830000,41200
2015-10-01,3.760000,3.800000,3.510000,3.700000,3.700000,36500
2015-11-01,3.680000,4.030000,3.680000,3.800000,3.800000,25600
2015-12-01,3.840000,3.890000,3.650000,3.770000,3.770000,34000
2016-01-01,3.660000,4.150000,3.520000,3.700000,3.700000,100600
2016-02-01,3.700000,5.250000,3.400000,4.490000,4.490000,160400
2016-03-01,4.320000,4.730000,3.930000,4.540000,4.540000,32800
2016-04-01,4.350000,4.590000,4.150000,4.300000,4.300000,26200
2016-05-01,4.290000,4.300000,3.800000,4.120000,4.120000,70100
2016-06-01,4.100000,4.170000,3.550000,3.770000,3.770000,69200
2016-07-01,3.680000,3.810000,3.180000,3.550000,3.550000,183000
2016-08-01,3.500000,3.790000,3.050000,3.600000,3.600000,470500
2016-09-01,3.510000,3.790000,3.340000,3.640000,3.640000,273900
2016-10-01,3.570000,3.710000,3.350000,3.350000,3.350000,13000
2016-11-01,3.350000,3.570000,3.060000,3.250000,3.250000,61700
2016-12-01,3.230000,3.600000,3.100000,3.160000,3.160000,426700
2017-01-01,3.200000,3.470000,3.100000,3.200000,3.200000,191700
2017-02-01,3.200000,3.310000,3.110000,3.150000,3.150000,253400
2017-03-01,3.180000,3.230000,2.830000,3.040000,3.040000,510700
2017-04-01,3.040000,3.260000,2.870000,2.900000,2.900000,199800
2017-05-01,2.910000,3.040000,2.860000,2.870000,2.870000,98200
2017-06-01,2.840000,2.900000,2.750000,2.790000,2.790000,211600
2017-07-01,2.800000,2.870000,2.750000,2.810000,2.810000,146500
2017-08-01,2.810000,2.950000,2.760000,2.880000,2.880000,178000
2017-09-01,2.900000,3.000000,2.840000,2.960000,2.960000,129000
2017-10-01,2.960000,3.060000,2.870000,3.040000,3.040000,188500
2017-11-01,3.020000,3.050000,2.870000,2.880000,2.880000,175000
2017-12-01,2.880000,3.500000,2.760000,3.020000,3.020000,498100
2018-01-01,2.910000,3.180000,2.700000,2.730000,2.730000,474800
2018-02-01,2.730000,2.830000,2.550000,2.630000,2.630000,116300
2018-03-01,2.610000,2.760000,2.540000,2.690000,2.690000,117700
2018-04-01,2.660000,2.720000,2.550000,2.550000,2.550000,32400
2018-05-01,2.550000,2.640000,2.400000,2.520000,2.520000,114400
2018-06-01,2.520000,2.750000,2.410000,2.690000,2.690000,121800
2018-07-01,2.700000,2.700000,2.500000,2.500000,2.500000,78100
2018-08-01,2.550000,2.590000,2.050000,2.500000,2.500000,221100
2018-09-01,2.420000,2.620000,2.400000,2.400000,2.400000,20700
2018-10-01,2.630000,2.630000,2.410000,2.580000,2.580000,39800
2018-11-01,2.580000,2.590000,2.400000,2.400000,2.400000,65700
2018-12-01,2.420000,2.580000,2.200000,2.500000,2.500000,41400
2019-01-01,2.480000,3.600000,2.150000,3.020000,3.020000,2365200
2019-02-01,3.080000,3.090000,2.910000,2.920000,2.920000,166100
2019-03-01,2.910000,3.050000,2.610000,2.840000,2.840000,136200
2019-04-01,3.080000,3.090000,2.830000,2.880000,2.880000,99900
2019-05-01,2.960000,3.160000,2.660000,2.730000,2.730000,124200
2019-06-01,2.710000,2.850000,2.500000,2.620000,2.620000,159800
2019-07-01,2.620000,2.830000,2.540000,2.680000,2.680000,39100
2019-08-01,2.620000,3.240000,2.490000,2.490000,2.490000,421700
2019-09-01,2.500000,2.720000,2.320000,2.500000,2.500000,97300
2019-10-01,2.500000,2.840000,2.140000,2.790000,2.790000,229800
2019-11-01,2.740000,2.850000,2.450000,2.740000,2.740000,211700
2019-12-01,2.740000,2.830000,2.560000,2.680000,2.680000,106300
2020-01-01,2.700000,2.840000,2.630000,2.690000,2.690000,46400
2020-02-01,2.770000,2.810000,2.620000,2.620000,2.620000,73000
2020-03-01,2.600000,4.120000,2.000000,2.240000,2.240000,2062500
2020-04-01,2.070000,2.430000,2.070000,2.240000,2.240000,262100
