Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,13.860000,15.930000,13.000000,13.980000,13.980000,1335500
2015-05-01,14.050000,14.740000,12.970000,13.030000,13.030000,885200
2015-06-01,13.060000,14.090000,10.720000,13.050000,13.050000,2404600
2015-07-01,13.100000,14.470000,11.510000,12.480000,12.480000,1615600
2015-08-01,12.470000,12.830000,9.000000,9.470000,9.470000,1468700
2015-09-01,9.410000,11.150000,8.100000,8.500000,8.500000,1099100
2015-10-01,8.560000,9.700000,7.940000,7.970000,7.970000,1129900
2015-11-01,8.030000,8.380000,5.400000,6.050000,6.050000,2393400
2015-12-01,6.120000,6.510000,5.500000,6.390000,6.390000,1296400
2016-01-01,7.660000,7.740000,4.800000,6.040000,6.040000,2506100
2016-02-01,5.940000,6.150000,4.500000,5.200000,5.200000,1414800
2016-03-01,5.280000,5.860000,4.750000,5.320000,5.320000,1159900
2016-04-01,5.260000,5.570000,4.880000,4.990000,4.990000,823600
2016-05-01,5.110000,5.200000,4.050000,4.130000,4.130000,1487100
2016-06-01,4.080000,4.950000,3.500000,4.000000,4.000000,1452100
2016-07-01,4.050000,4.320000,3.400000,3.550000,3.550000,748500
2016-08-01,3.490000,4.750000,3.400000,3.840000,3.840000,1212200
2016-09-01,3.900000,4.130000,3.010000,3.050000,3.050000,1398900
2016-10-01,3.060000,3.150000,2.700000,2.780000,2.780000,787900
2016-11-01,2.790000,2.870000,1.660000,2.140000,2.140000,1289500
2016-12-01,2.150000,2.500000,1.780000,1.880000,1.880000,1307100
2017-01-01,1.900000,3.010000,1.880000,2.740000,2.740000,2190400
2017-02-01,2.720000,2.830000,2.130000,2.250000,2.250000,1347500
2017-03-01,2.250000,2.290000,1.750000,2.220000,2.220000,972000
2017-04-01,2.200000,2.220000,1.900000,2.090000,2.090000,649200
2017-05-01,2.070000,2.180000,1.900000,2.140000,2.140000,622300
2017-06-01,2.130000,2.290000,1.830000,2.010000,2.010000,842600
2017-07-01,2.030000,2.050000,1.800000,1.970000,1.970000,519100
2017-08-01,1.990000,2.310000,1.420000,1.450000,1.450000,2668100
2017-09-01,1.440000,1.950000,1.270000,1.810000,1.810000,1601700
2017-10-01,1.800000,1.950000,1.490000,1.580000,1.580000,979800
2017-11-01,1.570000,1.870000,1.440000,1.640000,1.640000,1793900
2017-12-01,1.630000,1.720000,1.360000,1.460000,1.460000,1054400
2018-01-01,1.430000,2.330000,1.400000,1.600000,1.600000,2762100
2018-02-01,1.610000,1.730000,1.500000,1.520000,1.520000,618400
2018-03-01,1.550000,1.600000,1.200000,1.230000,1.230000,974100
2018-04-01,1.230000,1.390000,1.120000,1.370000,1.370000,430800
2018-05-01,1.360000,1.390000,1.160000,1.210000,1.210000,421400
2018-06-01,1.220000,1.550000,1.090000,1.380000,1.380000,1112700
2018-07-01,1.410000,1.600000,1.240000,1.490000,1.490000,760200
2018-08-01,1.490000,1.570000,1.200000,1.290000,1.290000,520300
2018-09-01,1.280000,1.500000,1.200000,1.430000,1.430000,576600
2018-10-01,1.420000,1.740000,1.140000,1.250000,1.250000,661900
2018-11-01,1.240000,1.450000,1.100000,1.320000,1.320000,609200
2018-12-01,1.280000,1.350000,0.640000,0.880000,0.880000,808400
2019-01-01,0.870000,1.190000,0.860000,1.020000,1.020000,270900
2019-02-01,1.030000,1.180000,0.980000,1.160000,1.160000,268400
2019-03-01,1.150000,2.050000,1.110000,1.540000,1.540000,842100
2019-04-01,1.580000,1.990000,1.050000,1.380000,1.380000,923300
2019-05-01,1.410000,3.600000,1.380000,2.300000,2.300000,3245200
2019-06-01,2.320000,3.230000,2.260000,3.080000,3.080000,2328400
2019-07-01,3.080000,3.210000,2.040000,2.510000,2.510000,1901200
2019-08-01,2.480000,2.950000,2.270000,2.450000,2.450000,828700
2019-09-01,2.460000,2.980000,2.280000,2.570000,2.570000,744500
2019-10-01,2.550000,2.850000,2.310000,2.600000,2.600000,462600
2019-11-01,2.590000,2.700000,1.440000,1.720000,1.720000,633900
2019-12-01,1.750000,1.900000,1.610000,1.650000,1.650000,310600
2020-01-01,1.650000,1.820000,1.500000,1.590000,1.590000,141800
2020-02-01,1.650000,1.690000,1.200000,1.250000,1.250000,296600
2020-03-01,1.200000,1.830000,0.690000,0.750000,0.750000,9361600
2020-04-01,0.750000,0.850000,0.660000,0.660000,0.660000,602100
