Date,Open,High,Low,Close,Adj Close,Volume
2016-04-01,51.169998,52.520000,50.580002,51.279999,46.852901,141400
2016-05-01,51.200001,51.880001,49.773998,51.730000,47.264042,94300
2016-06-01,51.590000,52.180000,46.040001,49.639999,45.354473,235400
2016-07-01,49.720001,51.840000,47.900002,51.779999,47.818035,185700
2016-08-01,51.405998,53.720001,50.429001,52.139999,48.150486,256100
2016-09-01,52.290001,53.869999,51.250999,52.844002,48.800621,131900
2016-10-01,54.299999,54.299999,50.610001,51.259998,47.481052,123100
2016-11-01,51.279999,52.279999,49.119999,51.080002,47.314316,419500
2016-12-01,51.160000,53.130001,50.799999,52.529999,48.657421,598400
2017-01-01,52.799999,54.580002,52.419998,53.770000,50.065681,418700
2017-02-01,54.071999,54.990002,53.620998,54.523998,50.767742,296300
2017-03-01,54.919998,57.889999,54.632000,56.490002,52.598305,506700
2017-04-01,56.349998,58.610001,55.700001,58.410000,54.432659,595700
2017-05-01,58.520000,60.610001,58.320000,60.369999,56.259190,1029700
2017-06-01,60.450001,61.330002,59.540001,60.139999,56.044846,1399000
2017-07-01,60.130001,62.250000,59.700001,62.090000,58.370010,1184700
2017-08-01,62.400002,62.650002,60.849998,61.880001,58.172600,1617800
2017-09-01,62.160000,63.930000,61.340000,63.060001,59.281898,1201600
2017-10-01,63.060001,64.278999,62.720001,64.220001,60.471306,1194300
2017-11-01,64.610001,64.669998,62.410000,63.790001,60.066414,988300
2017-12-01,63.709999,64.378998,62.810001,64.080002,60.339485,1045800
2018-01-01,64.349998,68.989998,64.309998,67.779999,64.194206,1400000
2018-02-01,67.730003,68.199997,61.220001,64.570000,61.154037,1210400
2018-03-01,64.120003,65.419998,62.619999,63.900002,60.519489,2349000
2018-04-01,63.430000,65.730003,62.500000,64.180000,60.871273,792600
2018-05-01,64.139999,65.959999,62.851002,63.880001,60.586731,747400
2018-06-01,64.170998,65.301003,60.299999,61.259998,58.101807,653500
2018-07-01,60.299999,63.230000,60.236000,62.889999,60.456539,749000
2018-08-01,62.709999,62.803001,59.212002,61.534000,59.153011,2129600
2018-09-01,60.599998,62.869999,59.389999,61.779999,59.389488,1963200
2018-10-01,62.040001,62.146999,53.820999,55.540001,53.526428,1508700
2018-11-01,55.919998,57.369999,53.450001,54.639999,52.659061,1802700
2018-12-01,55.750000,55.830002,49.349998,51.235001,49.377506,2400200
2019-01-01,50.799999,55.840000,50.540001,55.689999,53.918858,933700
2019-02-01,55.630001,57.111000,54.660000,56.570000,54.770870,991000
2019-03-01,56.959999,57.480000,55.240002,56.340000,54.548183,597400
2019-04-01,57.070000,58.549999,56.959999,58.070000,56.352108,458600
2019-05-01,58.119999,58.240002,54.049999,54.380001,52.771275,367700
2019-06-01,54.537998,56.910999,54.349998,56.730000,55.051750,521400
2019-07-01,57.379002,57.486000,55.400002,55.480000,54.742500,691200
2019-08-01,55.590000,56.009998,52.360001,54.250000,53.528854,1000800
2019-09-01,53.959999,57.000999,53.860001,55.686001,54.945766,593700
2019-10-01,55.660000,57.824001,53.805000,57.560001,56.986305,420000
2019-11-01,57.939999,58.790001,57.939999,58.292000,57.711006,299200
2019-12-01,58.240002,60.259998,57.490002,59.969002,59.371292,278800
2020-01-01,60.500000,60.554001,57.830002,58.029999,57.827400,546800
2020-02-01,58.299999,60.027000,52.169998,53.000000,52.814960,271300
2020-03-01,53.509998,55.341000,39.075001,45.470001,45.311253,1453000
2020-04-01,44.410000,44.731998,43.849998,44.731998,44.731998,49200
