Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,3.590000,5.200000,3.570000,4.260000,4.260000,22067100
2015-05-01,4.270000,4.810000,3.400000,3.490000,3.490000,19610000
2015-06-01,3.540000,3.780000,2.950000,3.210000,3.210000,14355800
2015-07-01,3.170000,3.390000,2.680000,2.980000,2.980000,8430500
2015-08-01,2.980000,3.350000,2.610000,2.870000,2.870000,11475800
2015-09-01,2.930000,3.380000,2.320000,2.470000,2.470000,10988200
2015-10-01,2.460000,3.190000,2.420000,2.540000,2.540000,11471900
2015-11-01,2.530000,3.360000,2.530000,3.280000,3.280000,6834700
2015-12-01,3.280000,3.680000,3.000000,3.030000,3.030000,10175000
2016-01-01,3.030000,3.240000,2.430000,2.750000,2.750000,16965000
2016-02-01,2.760000,2.870000,2.210000,2.270000,2.270000,10630000
2016-03-01,2.260000,2.530000,1.880000,2.080000,2.080000,9353500
2016-04-01,2.060000,2.980000,2.030000,2.830000,2.830000,9259000
2016-05-01,2.820000,2.870000,2.250000,2.580000,2.580000,7801300
2016-06-01,2.580000,2.610000,2.130000,2.230000,2.230000,9783200
2016-07-01,2.200000,2.410000,2.050000,2.290000,2.290000,8725000
2016-08-01,2.350000,4.060000,2.300000,3.370000,3.370000,92241800
2016-09-01,3.370000,3.750000,3.200000,3.670000,3.670000,27623100
2016-10-01,3.650000,4.380000,1.950000,2.600000,2.600000,46202500
2016-11-01,2.620000,3.330000,2.400000,2.600000,2.600000,19626700
2016-12-01,2.620000,2.750000,2.280000,2.380000,2.380000,12131400
2017-01-01,2.400000,2.650000,1.940000,2.080000,2.080000,17966200
2017-02-01,2.120000,2.600000,2.040000,2.450000,2.450000,21576100
2017-03-01,2.510000,3.480000,2.430000,3.310000,3.310000,36792200
2017-04-01,3.320000,3.390000,2.820000,2.990000,2.990000,18302700
2017-05-01,2.990000,3.010000,2.270000,2.290000,2.290000,11494700
2017-06-01,2.310000,3.030000,2.290000,2.730000,2.730000,31755100
2017-07-01,2.730000,2.800000,2.300000,2.370000,2.370000,15900300
2017-08-01,2.400000,2.580000,2.140000,2.550000,2.550000,13757300
2017-09-01,2.570000,2.600000,2.280000,2.540000,2.540000,17800400
2017-10-01,2.930000,4.330000,2.850000,3.750000,3.750000,70347800
2017-11-01,3.800000,4.470000,3.620000,4.160000,4.160000,24153800
2017-12-01,4.190000,4.210000,3.220000,3.880000,3.880000,35502100
2018-01-01,3.880000,4.710000,3.820000,4.000000,4.000000,28676300
2018-02-01,4.010000,4.180000,3.490000,3.760000,3.760000,19235900
2018-03-01,3.750000,4.540000,3.510000,3.540000,3.540000,32715100
2018-04-01,3.540000,4.680000,2.630000,3.610000,3.610000,123349200
2018-05-01,3.620000,4.120000,3.220000,3.250000,3.250000,43420900
2018-06-01,3.250000,3.850000,2.800000,2.830000,2.830000,71514600
2018-07-01,2.800000,3.250000,2.730000,2.820000,2.820000,35034200
2018-08-01,2.800000,3.570000,2.560000,3.410000,3.410000,55481600
2018-09-01,3.640000,3.650000,3.020000,3.210000,3.210000,57127400
2018-10-01,3.210000,3.570000,2.730000,2.870000,2.870000,53088400
2018-11-01,2.880000,3.290000,2.580000,2.830000,2.830000,35866800
2018-12-01,2.900000,3.160000,1.960000,2.300000,2.300000,54918100
2019-01-01,2.270000,2.500000,1.970000,2.160000,2.160000,58000000
2019-02-01,2.170000,2.530000,2.130000,2.190000,2.190000,31394000
2019-03-01,2.180000,2.680000,2.000000,2.570000,2.570000,37164300
2019-04-01,2.590000,2.620000,2.170000,2.230000,2.230000,29942200
2019-05-01,2.250000,2.420000,1.980000,2.130000,2.130000,37771700
2019-06-01,2.140000,2.610000,2.000000,2.610000,2.610000,27001100
2019-07-01,2.670000,2.690000,2.200000,2.280000,2.280000,20400400
2019-08-01,2.280000,2.330000,1.690000,1.690000,1.690000,23775300
2019-09-01,1.690000,1.930000,1.600000,1.870000,1.870000,35921100
2019-10-01,1.890000,2.310000,1.560000,2.050000,2.050000,36139700
2019-11-01,2.050000,2.450000,2.040000,2.240000,2.240000,24466900
2019-12-01,2.240000,2.360000,1.970000,2.140000,2.140000,29846100
2020-01-01,2.160000,3.100000,1.980000,2.260000,2.260000,44512400
2020-02-01,2.270000,2.570000,1.900000,2.120000,2.120000,20700000
2020-03-01,2.150000,2.330000,1.230000,1.560000,1.560000,32889300
2020-04-01,1.560000,1.560000,1.360000,1.430000,1.430000,1476700
