Date,Open,High,Low,Close,Adj Close,Volume
2015-05-01,149.800003,172.199997,141.199997,172.199997,172.199997,135200
2015-06-01,169.800003,176.000000,120.199997,127.400002,127.400002,131800
2015-07-01,133.399994,137.399994,83.400002,84.800003,84.800003,37100
2015-08-01,84.400002,130.800003,84.400002,130.199997,130.199997,24200
2015-09-01,127.199997,139.399994,60.400002,61.000000,61.000000,36700
2015-10-01,56.799999,70.320000,54.000000,56.000000,56.000000,22800
2015-11-01,56.400002,96.400002,50.400002,78.800003,78.800003,45900
2015-12-01,79.400002,85.000000,60.400002,60.799999,60.799999,41000
2016-01-01,66.800003,66.800003,40.400002,59.000000,59.000000,21500
2016-02-01,56.619999,64.000000,45.200001,56.799999,56.799999,13900
2016-03-01,59.000000,68.400002,47.400002,55.599998,55.599998,27900
2016-04-01,54.000000,60.200001,42.200001,43.000000,43.000000,22100
2016-05-01,44.200001,44.200001,22.000000,30.200001,30.200001,30200
2016-06-01,31.600000,54.799999,27.400000,51.799999,51.799999,126700
2016-07-01,52.000000,55.000000,42.799999,47.200001,47.200001,22500
2016-08-01,47.000000,50.200001,35.799999,43.400002,43.400002,37900
2016-09-01,44.619999,47.000000,38.000000,39.000000,39.000000,24400
2016-10-01,39.599998,39.720001,32.000000,32.400002,32.400002,9100
2016-11-01,32.080002,32.799999,22.440001,22.600000,22.600000,20800
2016-12-01,23.000000,30.000000,17.200001,18.400000,18.400000,77100
2017-01-01,18.400000,23.600000,16.420000,20.000000,20.000000,50500
2017-02-01,20.000000,23.000000,17.620001,18.559999,18.559999,128500
2017-03-01,18.020000,19.799999,12.900000,13.640000,13.640000,48000
2017-04-01,14.000000,16.959999,13.000000,13.600000,13.600000,50600
2017-05-01,13.600000,17.000000,13.600000,14.000000,14.000000,26500
2017-06-01,14.580000,15.000000,8.420000,9.000000,9.000000,31900
2017-07-01,9.600000,15.560000,8.000000,10.300000,10.300000,381300
2017-08-01,10.400000,12.400000,6.000000,8.200000,8.200000,162300
2017-09-01,8.200000,11.400000,8.000000,8.440000,8.440000,77300
2017-10-01,8.600000,9.800000,5.400000,5.600000,5.600000,658300
2017-11-01,5.700000,6.400000,0.220000,0.226000,0.226000,5395200
2017-12-01,4.400000,5.600000,3.600000,5.500000,5.500000,451300
2018-01-01,5.600000,7.020000,4.280000,5.450000,5.450000,1612800
2018-02-01,5.440000,7.500000,4.099000,4.440000,4.440000,1684800
2018-03-01,4.560000,66.559998,4.350000,24.010000,24.010000,31834300
2018-04-01,24.110001,32.279999,12.390000,12.410000,12.410000,4268500
2018-05-01,12.320000,12.960000,7.310000,11.490000,11.490000,18664700
2018-06-01,11.620000,12.440000,7.690000,8.250000,8.250000,9163200
2018-07-01,8.400000,8.440000,6.250000,6.400000,6.400000,6539100
2018-08-01,6.440000,7.110000,5.320000,6.850000,6.850000,3079700
2018-09-01,6.880000,7.350000,4.460000,4.890000,4.890000,2589000
2018-10-01,4.860000,5.760000,3.673000,4.060000,4.060000,3765400
2018-11-01,4.060000,5.070000,3.500000,4.030000,4.030000,1501000
2018-12-01,4.050000,4.750000,2.645000,3.170000,3.170000,3635500
2019-01-01,2.980000,4.185000,2.930000,3.600000,3.600000,1209900
2019-02-01,3.600000,10.400000,3.408000,8.050000,8.050000,39954900
2019-03-01,7.450000,8.840000,6.500000,7.010000,7.010000,14271600
2019-04-01,6.990000,7.830000,5.859000,6.010000,6.010000,2942100
2019-05-01,6.003000,6.480000,4.590000,5.150000,5.150000,1393100
2019-06-01,5.110000,6.470000,3.030000,3.070000,3.070000,4071500
2019-07-01,3.210000,3.360000,2.150000,2.190000,2.190000,2487000
2019-08-01,2.200000,10.200000,1.820000,7.650000,7.650000,183062500
2019-09-01,7.430000,8.380000,4.640000,4.680000,4.680000,18539900
2019-10-01,4.660000,5.880000,4.020000,4.780000,4.780000,11838500
2019-11-01,4.750000,6.280000,3.850000,4.970000,4.970000,13628000
2019-12-01,5.020000,6.630000,5.010000,5.480000,5.480000,5999900
2020-01-01,5.500000,6.480000,4.770000,5.120000,5.120000,7078200
2020-02-01,5.110000,5.410000,3.880000,4.120000,4.120000,3477100
2020-03-01,4.050000,4.300000,2.300000,2.850000,2.850000,4467900
2020-04-01,2.770000,2.970000,2.637000,2.790000,2.790000,155600
