Date,Open,High,Low,Close,Adj Close,Volume
2015-05-01,1.321000,1.344000,1.250000,1.271000,1.271000,151125
2015-06-01,1.271000,1.293000,1.115000,1.225000,1.225000,99192
2015-07-01,1.225000,1.225000,1.144000,1.170000,1.170000,110158
2015-08-01,1.186000,1.193000,1.066000,1.116000,1.116000,124696
2015-09-01,1.071000,1.116000,0.980000,1.018000,1.018000,265765
2015-10-01,1.036000,1.046000,0.981500,1.020000,1.020000,81720
2015-11-01,1.019000,1.040000,0.963000,1.009000,1.009000,47467
2015-12-01,0.985500,1.008000,0.907500,0.950000,0.950000,44587
2016-01-01,0.950000,0.950000,0.800000,0.879500,0.879500,109578
2016-02-01,0.879500,0.899000,0.540000,0.870000,0.870000,133191
2016-03-01,0.890000,0.890000,0.668000,0.732500,0.732500,178054
2016-04-01,0.732000,0.732500,0.600000,0.628500,0.628500,72023
2016-05-01,0.645000,0.650000,0.607000,0.622500,0.622500,27569
2016-06-01,0.593000,0.636000,0.535500,0.614000,0.614000,53606
2016-07-01,0.604000,0.612000,0.537000,0.586500,0.586500,47229
2016-08-01,0.586500,0.599000,0.558000,0.597000,0.597000,20376
2016-09-01,0.586500,0.634000,0.553000,0.566500,0.566500,102024
2016-10-01,0.590000,0.590000,0.532500,0.572500,0.572500,88339
2016-11-01,0.571000,0.573500,0.530000,0.549000,0.549000,45853
2016-12-01,0.549000,0.580500,0.510000,0.578000,0.578000,123587
2017-01-01,0.583000,1.230000,0.555000,0.899000,0.899000,2111099
2017-02-01,0.950000,1.675000,0.925000,1.294000,1.294000,6568918
2017-03-01,1.305000,1.390000,1.164000,1.319000,1.319000,1418163
2017-04-01,1.299000,1.348000,1.131000,1.179000,1.179000,413577
2017-05-01,1.179000,1.280000,1.131000,1.235000,1.235000,677140
2017-06-01,1.233000,1.235000,1.138000,1.181000,1.181000,136991
2017-07-01,1.225000,1.225000,1.128000,1.128000,1.128000,117259
2017-08-01,1.100000,1.191000,1.100000,1.140000,1.140000,184390
2017-09-01,1.140000,1.550000,1.121000,1.360000,1.360000,1766432
2017-10-01,1.392000,1.424000,1.201000,1.248000,1.248000,1413806
2017-11-01,1.236000,1.340000,1.150000,1.180000,1.180000,665889
2017-12-01,1.187000,1.207000,1.112000,1.149000,1.149000,55890
2018-01-01,1.149000,1.305000,1.100000,1.149000,1.149000,534713
2018-02-01,1.155000,1.170000,1.105000,1.155000,1.155000,74571
2018-03-01,1.155000,1.160000,1.050000,1.080000,1.080000,43882
2018-04-01,1.080000,1.160000,1.020000,1.065000,1.065000,104934
2018-05-01,1.065000,1.095000,0.902000,0.986000,0.986000,325127
2018-06-01,1.010000,1.020000,0.880000,0.920000,0.920000,91999
2018-07-01,0.928000,0.934000,0.882000,0.916000,0.916000,24352
2018-08-01,0.936000,0.938000,0.868000,0.924000,0.924000,26572
2018-09-01,0.936000,0.944000,0.790000,0.854000,0.854000,244505
2018-10-01,0.854000,0.854000,0.660000,0.698000,0.698000,78450
2018-11-01,0.700000,0.756000,0.640000,0.666000,0.666000,64944
2018-12-01,0.726000,0.838000,0.672000,0.782000,0.782000,161077
2019-01-01,0.782000,0.798000,0.716000,0.744000,0.744000,176609
2019-02-01,0.722000,0.768000,0.682000,0.714000,0.714000,121505
2019-03-01,0.714000,0.714000,0.646000,0.646000,0.646000,87725
2019-04-01,0.650000,0.765000,0.650000,0.685000,0.685000,462752
2019-05-01,0.685000,0.685000,0.600000,0.625000,0.625000,85966
2019-06-01,0.625000,0.660000,0.590000,0.655000,0.655000,44908
2019-07-01,0.655000,0.660000,0.610000,0.650000,0.650000,138401
2019-08-01,0.650000,0.650000,0.605000,0.635000,0.635000,32354
2019-09-01,0.635000,0.635000,0.590000,0.630000,0.630000,85369
2019-10-01,0.625000,0.635000,0.580000,0.590000,0.590000,139463
2019-11-01,0.590000,0.605000,0.560000,0.580000,0.580000,134503
2019-12-01,0.605000,0.625000,0.540000,0.595000,0.595000,269883
2020-01-01,0.595000,0.875000,0.595000,0.640000,0.640000,1754384
2020-02-01,0.645000,0.795000,0.600000,0.610000,0.610000,409606
2020-03-01,0.630000,0.680000,0.510000,0.560000,0.560000,106489
2020-04-01,0.555000,0.555000,0.515000,0.535000,0.535000,12811
