Date,Open,High,Low,Close,Adj Close,Volume
2017-09-01,12.100000,12.700000,7.810000,8.900000,8.900000,14282400
2017-10-01,8.960000,9.580000,6.610000,7.240000,7.240000,11293100
2017-11-01,7.130000,9.180000,7.020000,8.690000,8.690000,6044600
2017-12-01,8.520000,9.980000,8.200000,9.660000,9.660000,3613700
2018-01-01,9.790000,14.750000,9.070000,14.430000,14.430000,15741600
2018-02-01,14.200000,14.500000,11.370000,11.840000,11.840000,3765700
2018-03-01,11.790000,12.715000,9.880000,10.490000,10.490000,2590500
2018-04-01,9.980000,11.980000,8.710000,10.380000,10.380000,2013600
2018-05-01,10.360000,10.870000,9.260000,9.410000,9.410000,1284100
2018-06-01,9.450000,10.550000,8.000000,8.080000,8.080000,4803500
2018-07-01,9.000000,12.750000,8.110000,11.750000,11.750000,8384500
2018-08-01,11.790000,15.480000,11.610000,13.050000,13.050000,6093100
2018-09-01,13.010000,14.198000,11.280000,12.700000,12.700000,3171100
2018-10-01,12.720000,13.080000,8.500000,9.000000,9.000000,2802300
2018-11-01,9.030000,10.410000,8.640000,10.000000,10.000000,1309700
2018-12-01,10.350000,11.370000,8.430000,9.070000,9.070000,1417500
2019-01-01,9.380000,9.900000,8.550000,8.910000,8.910000,3083500
2019-02-01,8.800000,9.510000,8.200000,9.430000,9.430000,3127200
2019-03-01,9.460000,10.520000,7.860000,8.760000,8.760000,2919200
2019-04-01,8.860000,10.450000,8.617000,9.590000,9.590000,2357300
2019-05-01,9.511000,10.110000,7.030000,7.170000,7.170000,2172200
2019-06-01,7.240000,8.320000,6.650000,7.600000,7.600000,2484100
2019-07-01,7.830000,8.200000,7.060000,7.990000,7.990000,964000
2019-08-01,8.050000,8.250000,6.710000,7.480000,7.480000,758700
2019-09-01,7.310000,7.711000,6.550000,6.700000,6.700000,739700
2019-10-01,6.700000,6.700000,5.670000,5.985000,5.985000,1289400
2019-11-01,6.000000,6.310000,5.050000,6.270000,6.270000,750100
2019-12-01,6.260000,6.339000,5.470000,5.890000,5.890000,1362100
2020-01-01,5.980000,7.300000,5.915000,6.380000,6.380000,1078200
2020-02-01,6.410000,6.480000,5.487000,5.545000,5.545000,509100
2020-03-01,5.670000,6.950000,3.460000,3.760000,3.760000,1179200
2020-04-01,3.720000,3.800000,2.950000,3.090000,3.090000,109100
