Date,Open,High,Low,Close,Adj Close,Volume
2015-05-01,7.887430,8.041230,7.206350,7.777580,7.777580,198058
2015-06-01,7.593030,7.874250,6.916330,6.986640,6.986640,137795
2015-07-01,7.074520,7.307410,6.810870,6.942700,6.942700,141681
2015-08-01,6.885570,7.711670,6.415400,6.854820,6.854820,247977
2015-09-01,6.749360,6.832850,6.266010,6.621930,6.621930,148442
2015-10-01,6.635110,7.074520,6.283580,6.305550,6.305550,153053
2015-11-01,6.301160,6.661480,5.975990,6.287980,6.287980,171739
2015-12-01,6.305550,6.635110,5.751890,5.896900,5.896900,177301
2016-01-01,5.896900,6.015540,3.973160,4.377420,4.377420,181269
2016-02-01,4.202530,4.833520,3.217370,4.376540,4.376540,134722
2016-03-01,4.228010,4.745640,3.826390,4.041710,4.041710,82606
2016-04-01,3.866820,6.107820,3.481890,4.745640,4.745640,674263
2016-05-01,4.917010,4.917010,3.956460,4.155070,4.155070,193508
2016-06-01,4.240320,4.833520,3.593500,3.955580,3.955580,192846
2016-07-01,3.785090,4.701700,3.665570,4.306230,4.306230,116365
2016-08-01,4.390600,4.640180,4.030280,4.290410,4.290410,47440
2016-09-01,4.183200,4.591850,4.075100,4.131340,4.131340,153834
2016-10-01,4.141010,4.319410,3.878240,4.061040,4.061040,121331
2016-11-01,4.085650,4.217470,3.304370,3.383470,3.383470,94787
2016-12-01,3.357100,5.228990,3.295580,4.763220,4.763220,330378
2017-01-01,4.877460,4.877460,4.063670,4.175290,4.175290,346683
2017-02-01,4.218350,4.424870,4.043460,4.095310,4.095310,90724
2017-03-01,4.130470,4.802760,3.954700,4.351930,4.351930,374579
2017-04-01,4.350170,5.022470,4.138370,4.258770,4.258770,575301
2017-05-01,4.258770,4.380930,3.866820,4.160350,4.160350,165916
2017-06-01,4.136620,4.187590,3.788600,3.909880,3.909880,74508
2017-07-01,3.702480,3.927460,3.541660,3.723570,3.723570,57325
2017-08-01,3.647110,6.929520,3.603170,5.444310,5.444310,2221481
2017-09-01,5.536580,6.230850,4.670940,4.767610,4.767610,1034933
2017-10-01,4.745640,5.062020,4.438050,4.482000,4.482000,238831
2017-11-01,4.627000,4.627000,3.747300,4.125190,4.125190,143838
2017-12-01,4.125190,5.905690,3.752570,5.382790,5.382790,2149439
2018-01-01,5.382790,5.694770,4.420480,4.420480,4.420480,486506
2018-02-01,4.482000,4.833520,3.954700,4.262730,4.262730,374259
2018-03-01,4.365990,4.552300,4.042580,4.209560,4.209560,166380
2018-04-01,4.209560,4.701700,4.130470,4.273270,4.273270,170277
2018-05-01,4.273270,4.394110,3.752570,4.138810,4.138810,191783
2018-06-01,4.095750,4.251300,3.270500,3.460500,3.460500,331096
2018-07-01,3.450000,3.619000,3.000000,3.134000,3.134000,733206
2018-08-01,3.150000,3.150000,2.700000,2.900000,2.900000,156928
2018-09-01,2.949000,2.949000,2.661500,2.788500,2.788500,108136
2018-10-01,2.836500,2.836500,2.500500,2.686500,2.686500,45563
2018-11-01,2.770000,2.770000,2.090000,2.249500,2.249500,85562
2018-12-01,2.240000,2.320000,1.839800,1.990000,1.990000,93028
2019-01-01,1.990000,2.200000,1.862200,1.978000,1.978000,131460
2019-02-01,1.900000,1.940000,1.800000,1.830000,1.830000,73632
2019-03-01,1.810200,1.910000,1.518200,1.564800,1.564800,329314
2019-04-01,1.560000,3.000000,1.400000,2.070000,2.070000,3483761
2019-05-01,2.070000,2.350000,1.450000,1.790000,1.790000,3091144
2019-06-01,1.760000,2.100000,1.635000,1.700000,1.700000,1297781
2019-07-01,1.685000,1.880000,1.665000,1.700000,1.700000,612493
2019-08-01,1.720000,1.720000,1.500000,1.545000,1.545000,327705
2019-09-01,1.540000,1.870000,1.505000,1.780000,1.780000,1532435
2019-10-01,1.770000,1.830000,1.580000,1.635000,1.635000,543175
2019-11-01,1.670000,1.695000,1.405000,1.475000,1.475000,1096738
2019-12-01,1.420000,2.300000,1.350000,1.640000,1.640000,9574478
2020-01-01,1.640000,2.390000,1.595000,2.040000,2.040000,10765805
2020-02-01,2.030000,3.700000,1.985000,2.900000,2.900000,8596081
2020-03-01,3.030000,3.890000,1.665000,2.200000,2.200000,7687881
2020-04-01,2.215000,2.655000,2.165000,2.590000,2.590000,531749
