Date,Open,High,Low,Close,Adj Close,Volume
2017-05-01,12.000000,14.320000,11.500000,13.100000,13.100000,1836200
2017-06-01,13.080000,17.690001,13.080000,16.190001,16.190001,2434100
2017-07-01,16.180000,19.270000,14.810000,18.090000,18.090000,2488600
2017-08-01,18.129999,20.600000,16.100000,19.870001,19.870001,2799500
2017-09-01,20.350000,27.083000,20.049999,26.780001,26.780001,9077100
2017-10-01,26.750000,38.240002,26.580000,31.370001,31.370001,7172600
2017-11-01,32.099998,43.154999,27.350000,29.990000,29.990000,10064400
2017-12-01,30.320000,35.310001,27.459999,33.700001,33.700001,17897500
2018-01-01,34.160000,39.320000,33.520000,36.270000,36.270000,9164400
2018-02-01,36.000000,36.630001,29.660000,34.720001,34.720001,5827700
2018-03-01,34.810001,56.689999,32.009998,49.840000,49.840000,21869000
2018-04-01,49.709999,52.699001,37.426998,39.150002,39.150002,20212100
2018-05-01,39.000000,48.110001,38.849998,44.529999,44.529999,14119600
2018-06-01,44.759998,51.634998,31.000000,31.870001,31.870001,28115400
2018-07-01,31.330000,33.540001,30.229000,30.530001,30.530001,13745700
2018-08-01,30.770000,34.119999,28.400999,32.990002,32.990002,10261600
2018-09-01,33.009998,33.099998,28.600000,28.740000,28.740000,7120400
2018-10-01,28.990000,35.009998,25.840000,28.010000,28.010000,24738500
2018-11-01,28.200001,34.330002,27.910000,34.290001,34.290001,7110300
2018-12-01,35.000000,35.099998,26.860001,29.700001,29.700001,9643300
2019-01-01,29.070000,33.220001,21.040001,24.809999,24.809999,22187500
2019-02-01,24.850000,31.549999,24.850000,29.309999,29.309999,6847300
2019-03-01,29.660000,29.820000,18.270000,19.200001,19.200001,18637100
2019-04-01,19.410000,23.260000,19.400000,21.740000,21.740000,9366100
2019-05-01,21.969999,23.740000,17.010000,17.030001,17.030001,4937400
2019-06-01,17.150000,24.379999,16.937000,22.990000,22.990000,9162900
2019-07-01,23.730000,33.005001,23.049999,30.440001,30.440001,9942100
2019-08-01,30.430000,31.610001,25.920000,28.410000,28.410000,3928200
2019-09-01,28.200001,33.220001,24.250000,25.480000,25.480000,8949700
2019-10-01,25.480000,31.250000,24.389999,29.700001,29.700001,8572100
2019-11-01,29.930000,32.950001,29.840000,30.799999,30.799999,3667200
2019-12-01,31.010000,38.759998,28.469999,37.939999,37.939999,7213100
2020-01-01,38.270000,39.080002,30.059999,30.160000,30.160000,4391300
2020-02-01,30.400000,34.380001,25.400000,26.840000,26.840000,9224900
2020-03-01,26.370001,28.252001,16.420000,24.299999,24.299999,7185200
2020-04-01,23.340000,23.860001,22.190001,23.219999,23.219999,752400
