Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,28.950001,29.600000,26.549999,26.940001,25.081989,4273400
2015-05-01,27.010000,28.070000,26.280001,27.110001,25.240265,3215500
2015-06-01,27.280001,28.799999,26.600000,28.049999,26.250793,4443100
2015-07-01,28.490000,31.230000,28.100000,30.809999,28.833755,4044300
2015-08-01,30.809999,32.380001,28.219999,30.320000,28.375189,4330700
2015-09-01,29.820000,32.500000,29.410000,31.059999,29.197319,4078500
2015-10-01,30.980000,37.910000,30.360001,36.490002,34.301674,5384300
2015-11-01,36.779999,37.230000,33.200001,34.509998,32.440430,4527900
2015-12-01,34.180000,36.049999,33.000000,33.580002,31.702576,4321100
2016-01-01,32.919998,33.259998,29.270000,31.309999,29.559488,4389400
2016-02-01,31.260000,35.000000,30.469999,33.580002,31.702576,4878100
2016-03-01,33.689999,36.919998,33.570000,36.610001,34.720421,4216000
2016-04-01,36.400002,37.279999,33.599998,34.709999,32.918484,3450300
2016-05-01,34.990002,37.369999,34.090000,37.150002,35.232548,3911500
2016-06-01,37.000000,38.669998,35.939999,38.209999,36.390568,4445500
2016-07-01,38.220001,40.759998,35.900002,39.160000,37.295330,3478800
2016-08-01,39.320000,40.000000,37.209999,39.900002,38.000092,3793000
2016-09-01,39.900002,41.299999,37.349998,39.860001,38.107224,3857400
2016-10-01,39.720001,40.849998,36.000000,36.950001,35.325188,5342400
2016-11-01,37.099998,42.549999,34.950001,41.099998,39.292702,5503200
2016-12-01,41.400002,44.000000,39.849998,43.049999,41.334011,6040700
2017-01-01,43.299999,43.950001,39.910000,41.700001,40.037834,3976800
2017-02-01,41.950001,44.450001,38.500000,44.299999,42.534191,4097500
2017-03-01,44.799999,49.049999,44.000000,47.150002,45.438694,8560300
2017-04-01,47.150002,53.750000,44.650002,52.799999,50.883621,6423000
2017-05-01,52.750000,52.900002,48.400002,51.099998,49.245312,4738800
2017-06-01,51.200001,52.500000,48.599998,50.049999,48.388123,4431100
2017-07-01,50.349998,51.950001,48.000000,50.650002,48.968193,3340100
2017-08-01,50.799999,51.750000,49.450001,50.400002,48.726501,3814800
2017-09-01,50.400002,54.049999,46.279999,53.849998,52.225304,4770100
2017-10-01,53.950001,60.200001,53.549999,59.599998,57.801819,3174100
2017-11-01,60.049999,62.400002,57.349998,61.200001,59.353550,3721600
2017-12-01,61.250000,62.250000,57.200001,58.700001,57.104980,3645100
2018-01-01,58.950001,61.299999,56.599998,58.250000,56.667206,3055200
2018-02-01,58.200001,59.900002,55.799999,56.849998,55.305252,3462000
2018-03-01,56.950001,62.000000,56.099998,60.700001,59.236561,3916200
2018-04-01,60.549999,61.849998,57.000000,59.200001,57.772728,3207100
2018-05-01,59.150002,59.349998,53.549999,56.849998,55.479378,5084700
2018-06-01,57.250000,59.599998,54.849998,55.000000,53.846447,3884100
2018-07-01,55.049999,60.299999,54.700001,59.799999,58.545773,2534900
2018-08-01,59.700001,64.349998,58.849998,64.199997,62.853485,3147600
2018-09-01,63.799999,65.930000,61.000000,63.500000,62.350216,3437500
2018-10-01,63.630001,67.169998,56.770000,64.849998,63.675770,5869700
2018-11-01,65.230003,66.959999,61.189999,66.370003,65.168259,3472900
2018-12-01,67.040001,67.040001,56.220001,60.939999,60.024914,4907500
2019-01-01,60.230000,62.590000,58.060001,60.919998,60.005207,3188700
2019-02-01,63.240002,67.720001,60.669998,65.959999,64.969536,2764500
2019-03-01,66.349998,66.750000,62.160000,63.279999,62.519428,3773600
2019-04-01,63.660000,71.510002,62.700001,71.309998,70.452911,4247000
2019-05-01,71.389999,72.650002,68.910004,71.650002,70.788834,3877600
2019-06-01,71.680000,78.500000,70.900002,74.889999,74.201042,5000600
2019-07-01,75.540001,79.169998,73.769997,75.199997,74.508194,3991600
2019-08-01,76.980003,81.349998,75.750000,79.629997,78.897438,5060400
2019-09-01,78.820000,80.650002,73.410004,75.190002,74.684906,16851300
2019-10-01,75.489998,76.830002,65.750000,69.120003,68.655685,6378700
2019-11-01,69.110001,70.230003,64.449997,66.220001,65.775169,7086000
2019-12-01,66.300003,68.150002,64.370003,65.190002,64.972168,5851000
2020-01-01,65.449997,70.889999,64.449997,66.250000,66.028625,4664700
2020-02-01,66.760002,70.320000,54.790001,55.779999,55.593605,4868800
2020-03-01,56.070000,59.400002,37.049999,49.700001,49.700001,11818200
2020-04-01,47.709999,50.320000,47.000000,48.380001,48.380001,676800
