Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,5.750000,5.900000,5.250000,5.650000,5.650000,35200
2015-05-01,5.250000,7.450000,5.250000,6.900000,6.900000,40900
2015-06-01,6.900000,8.000000,6.150000,7.500000,7.500000,88400
2015-07-01,7.250000,8.250000,7.250000,8.250000,8.250000,23000
2015-08-01,7.750000,11.375000,7.500000,9.750000,9.750000,133300
2015-09-01,9.595000,10.000000,7.000000,9.950000,9.950000,45500
2015-10-01,9.000000,10.000000,8.250000,9.700000,9.700000,22500
2015-11-01,9.050000,9.700000,7.000000,7.250000,7.250000,29100
2015-12-01,7.000000,9.250000,6.600000,9.000000,9.000000,37200
2016-01-01,9.250000,9.250000,6.000000,7.500000,7.500000,11100
2016-02-01,7.500000,7.500000,5.050000,6.950000,6.950000,4600
2016-03-01,6.950000,9.400000,5.750000,8.770000,8.770000,106800
2016-04-01,8.850000,9.100000,6.250000,8.250000,8.250000,20200
2016-05-01,8.250000,8.250000,6.750000,7.850000,7.850000,2800
2016-06-01,7.850000,7.850000,6.250000,7.750000,7.750000,6700
2016-07-01,7.750000,7.750000,6.250000,6.500000,6.500000,9200
2016-08-01,6.500000,8.250000,6.250000,6.750000,6.750000,10000
2016-09-01,6.750000,6.750000,6.000000,6.200000,6.200000,26200
2016-10-01,6.190000,8.950000,6.000000,6.320000,6.320000,293800
2016-11-01,6.110000,7.000000,5.400000,6.300000,6.300000,75700
2016-12-01,6.094000,6.850000,5.508000,6.140000,6.140000,171400
2017-01-01,6.140000,6.140000,2.460000,2.864000,2.864000,809500
2017-02-01,3.160000,3.490000,2.460000,2.470000,2.470000,626600
2017-03-01,2.520000,2.880000,1.580000,2.290000,2.290000,795700
2017-04-01,2.290000,2.370000,1.770000,1.850000,1.850000,499800
2017-05-01,1.850000,1.930000,1.140000,1.300000,1.300000,901300
2017-06-01,1.220000,1.815000,1.144000,1.240000,1.240000,2270600
2017-07-01,1.230000,1.650000,1.150000,1.440000,1.440000,1908200
2017-08-01,1.385000,1.530000,1.110000,1.340000,1.340000,815200
2017-09-01,1.330000,2.640000,1.146000,2.500000,2.500000,8282000
2017-10-01,3.050000,5.750000,2.120000,3.570000,3.570000,49914300
2017-11-01,3.530000,7.950000,2.910000,5.730000,5.730000,43635400
2017-12-01,6.200000,7.110000,4.570000,5.650000,5.650000,30006800
2018-01-01,5.750000,6.890000,4.550000,5.180000,5.180000,15664100
2018-02-01,5.110000,5.300000,3.230000,4.280000,4.280000,5956700
2018-03-01,4.180000,4.850000,3.611000,3.830000,3.830000,3808000
2018-04-01,3.860000,5.250000,3.700000,4.500000,4.500000,2775100
2018-05-01,4.530000,4.730000,3.000000,3.730000,3.730000,2753800
2018-06-01,3.850000,5.560000,3.721000,4.570000,4.570000,3661100
2018-07-01,4.500000,5.997000,4.200000,4.350000,4.350000,5494200
2018-08-01,4.210000,5.550000,3.890000,4.340000,4.340000,4561700
2018-09-01,4.290000,4.790000,3.630000,3.730000,3.730000,2643400
2018-10-01,3.680000,3.768000,2.160000,2.610000,2.610000,3865600
2018-11-01,2.650000,3.230000,2.490000,3.030000,3.030000,2733900
2018-12-01,2.820000,3.210000,1.550000,2.040000,2.040000,2690000
2019-01-01,1.990000,3.500000,1.883000,3.410000,3.410000,1416500
2019-02-01,3.100000,4.200000,3.100000,3.270000,3.270000,2533800
2019-03-01,3.380000,3.800000,2.190000,3.400000,3.400000,4866100
2019-04-01,3.410000,5.850000,3.070000,4.850000,4.850000,10445500
2019-05-01,4.840000,5.350000,3.320000,4.360000,4.360000,5136900
2019-06-01,4.090000,4.800000,4.020000,4.660000,4.660000,2958100
2019-07-01,4.690000,5.630000,3.800000,3.950000,3.950000,3001600
2019-08-01,3.920000,4.110000,2.830000,3.210000,3.210000,1543700
2019-09-01,3.075000,3.250000,2.070000,2.300000,2.300000,1745500
2019-10-01,2.300000,2.680000,1.570000,1.710000,1.710000,2919600
2019-11-01,1.710000,1.730000,1.170000,1.280000,1.280000,1725700
2019-12-01,1.250000,2.730000,1.050000,2.490000,2.490000,3531200
2020-01-01,2.440000,2.660000,1.880000,2.240000,2.240000,1477300
2020-02-01,2.200000,3.054000,2.100000,2.880000,2.880000,969600
2020-03-01,2.950000,2.950000,1.510000,2.010000,2.010000,1367300
2020-04-01,1.950000,2.060000,1.835000,2.010000,2.010000,29100
