Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,4.640000,5.890000,4.570000,5.450000,5.450000,31321400
2015-05-01,5.350000,6.730000,5.110000,6.220000,6.220000,29662600
2015-06-01,6.280000,6.990000,6.100000,6.280000,6.280000,25966900
2015-07-01,6.230000,6.400000,5.040000,5.750000,5.750000,33718400
2015-08-01,5.700000,7.230000,5.280000,6.450000,6.450000,41774900
2015-09-01,6.480000,7.070000,5.590000,6.520000,6.520000,45540300
2015-10-01,6.580000,8.020000,6.090000,7.040000,7.040000,46416100
2015-11-01,6.810000,7.020000,4.780000,6.470000,6.470000,33323400
2015-12-01,5.330000,5.920000,4.990000,5.180000,5.180000,32118500
2016-01-01,5.270000,5.390000,3.660000,4.360000,4.360000,26214700
2016-02-01,4.420000,6.180000,4.290000,5.800000,5.800000,34159200
2016-03-01,5.860000,7.250000,5.200000,5.550000,5.550000,44864000
2016-04-01,5.450000,9.610000,5.260000,9.390000,9.390000,51456000
2016-05-01,9.530000,10.060000,8.170000,9.030000,9.030000,48441700
2016-06-01,9.040000,13.040000,8.760000,12.990000,12.990000,81009800
2016-07-01,13.500000,14.930000,12.370000,13.940000,13.940000,47033000
2016-08-01,14.030000,15.840000,11.540000,11.720000,11.720000,57187800
2016-09-01,11.660000,13.770000,11.550000,12.060000,12.060000,52284500
2016-10-01,12.040000,12.140000,10.130000,10.960000,10.960000,33201500
2016-11-01,11.290000,12.900000,9.070000,9.860000,9.860000,46531500
2016-12-01,9.650000,10.490000,7.700000,8.920000,8.920000,40881700
2017-01-01,9.090000,10.690000,8.970000,10.570000,10.570000,38796000
2017-02-01,10.400000,12.250000,10.320000,11.100000,11.100000,47383100
2017-03-01,10.890000,11.310000,9.710000,10.610000,10.610000,48198100
2017-04-01,10.640000,11.490000,9.730000,10.310000,10.310000,41395400
2017-05-01,10.210000,10.720000,8.750000,9.500000,9.500000,45704400
2017-06-01,9.380000,10.230000,9.070000,9.710000,9.710000,56215500
2017-07-01,9.420000,9.960000,8.870000,9.300000,9.300000,30452000
2017-08-01,9.660000,10.710000,8.890000,10.460000,10.460000,43120800
2017-09-01,10.500000,10.920000,9.900000,10.610000,10.610000,18015700
2017-10-01,10.610000,11.400000,9.530000,9.600000,9.600000,22309200
2017-11-01,9.700000,9.800000,8.270000,8.320000,8.320000,19442300
2017-12-01,8.420000,8.840000,7.800000,8.790000,8.790000,14718200
2018-01-01,8.900000,9.540000,7.750000,8.650000,8.650000,26888300
2018-02-01,8.600000,8.910000,7.640000,8.300000,8.300000,24190900
2018-03-01,8.190000,9.790000,8.190000,9.600000,9.600000,19965400
2018-04-01,9.670000,10.460000,9.400000,10.220000,10.220000,14649700
2018-05-01,10.190000,11.440000,10.080000,10.230000,10.230000,15640200
2018-06-01,10.250000,10.850000,9.470000,9.870000,9.870000,13760700
2018-07-01,9.850000,10.800000,9.650000,10.410000,10.410000,11883500
2018-08-01,10.350000,10.940000,8.340000,8.700000,8.700000,16210900
2018-09-01,8.580000,9.280000,8.110000,8.710000,8.710000,12871800
2018-10-01,8.710000,11.050000,8.620000,9.790000,9.790000,19628200
2018-11-01,9.950000,11.300000,9.650000,10.640000,10.640000,15273600
2018-12-01,10.740000,12.410000,10.600000,12.090000,12.090000,20717300
2019-01-01,12.070000,13.950000,11.600000,13.720000,13.720000,18776900
2019-02-01,13.720000,15.170000,13.400000,13.900000,13.900000,15649100
2019-03-01,13.730000,14.630000,12.460000,12.660000,12.660000,26616100
2019-04-01,12.660000,12.670000,11.370000,11.540000,11.540000,15433200
2019-05-01,11.540000,11.740000,10.590000,11.680000,11.680000,17346900
2019-06-01,11.900000,14.130000,11.410000,13.670000,13.670000,24996200
2019-07-01,13.370000,16.780001,12.880000,15.400000,15.400000,28404300
2019-08-01,15.050000,17.559999,14.830000,16.420000,16.420000,26978400
2019-09-01,16.680000,17.320000,13.810000,14.520000,14.520000,26793000
2019-10-01,14.410000,15.760000,13.950000,14.790000,14.790000,21643400
2019-11-01,14.670000,15.700000,13.520000,15.660000,15.660000,17031000
2019-12-01,15.510000,19.420000,15.500000,19.260000,19.260000,28757400
2020-01-01,19.400000,19.410000,17.209999,18.309999,18.309999,22756200
2020-02-01,18.090000,19.340000,15.080000,15.830000,15.830000,33057500
2020-03-01,16.049999,17.590000,9.000000,11.380000,11.380000,51607900
2020-04-01,11.400000,13.560000,11.070000,12.910000,12.910000,3494600
