Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,9.700000,10.150000,9.300000,9.620000,6.425817,2439100
2015-05-01,9.630000,10.740000,9.540000,10.720000,7.160579,2313400
2015-06-01,10.700000,11.330000,10.000000,10.310000,6.886714,2301800
2015-07-01,10.380000,11.170000,9.850000,9.880000,6.599489,1703000
2015-08-01,9.910000,10.000000,7.920000,8.880000,5.931524,2020800
2015-09-01,8.780000,9.050000,7.570000,7.850000,5.243521,1534400
2015-10-01,7.850000,10.200000,7.470000,9.590000,6.405779,2595600
2015-11-01,9.670000,10.500000,9.420000,10.180000,6.799878,2914400
2015-12-01,10.200000,10.200000,8.620000,9.370000,6.258827,2159600
2016-01-01,6.650000,6.920000,5.450000,6.080000,4.061224,3343300
2016-02-01,6.070000,6.350000,5.200000,5.850000,5.539203,1219600
2016-03-01,5.850000,6.370000,5.430000,5.600000,5.302485,1327700
2016-04-01,5.610000,6.060000,5.550000,5.730000,5.425579,1012700
2016-05-01,5.710000,5.750000,4.950000,5.160000,4.885861,1316300
2016-06-01,5.170000,5.330000,4.470000,5.020000,4.753300,2055100
2016-07-01,5.030000,5.800000,5.010000,5.390000,5.103642,1164100
2016-08-01,5.450000,5.950000,4.760000,4.860000,4.601800,2342700
2016-09-01,4.850000,4.980000,4.600000,4.720000,4.501800,2488900
2016-10-01,4.730000,5.030000,4.570000,4.790000,4.568564,1416000
2016-11-01,4.810000,5.250000,4.410000,4.830000,4.606715,1611300
2016-12-01,4.880000,5.060000,4.700000,5.030000,4.797470,2431200
2017-01-01,5.090000,5.500000,5.000000,5.210000,4.969148,2124900
2017-02-01,5.240000,5.570000,5.200000,5.310000,5.064526,2458700
2017-03-01,5.400000,5.610000,4.410000,4.480000,4.272895,3496200
2017-04-01,4.470000,4.750000,4.400000,4.420000,4.215669,1319400
2017-05-01,4.460000,4.580000,4.330000,4.510000,4.301509,1147700
2017-06-01,4.510000,4.590000,4.270000,4.340000,4.139368,1489900
2017-07-01,4.360000,4.430000,3.980000,3.990000,3.805547,1564800
2017-08-01,3.970000,4.870000,3.830000,4.800000,4.578103,2014500
2017-09-01,4.840000,5.490000,4.720000,5.410000,5.159903,2165500
2017-10-01,5.430000,6.000000,5.400000,5.590000,5.331582,1932000
2017-11-01,5.590000,6.660000,5.470000,6.350000,6.056448,3081000
2017-12-01,6.350000,6.390000,5.170000,5.450000,5.198053,2244400
2018-01-01,5.580000,8.220000,5.360000,6.820000,6.504720,6622300
2018-02-01,6.800000,8.420000,6.420000,8.120000,7.744623,3035700
2018-03-01,8.200000,9.390000,6.850000,7.540000,7.191435,13782800
2018-04-01,7.750000,7.750000,6.650000,6.740000,6.428418,5440500
2018-05-01,6.750000,7.290000,6.600000,6.720000,6.409343,2481900
2018-06-01,6.780000,7.480000,6.690000,6.860000,6.542871,2746900
2018-07-01,6.810000,7.150000,6.810000,6.900000,6.581022,1470100
2018-08-01,6.880000,7.380000,6.850000,7.270000,6.933917,1866300
2018-09-01,7.270000,7.270000,6.760000,6.910000,6.590559,1070900
2018-10-01,6.910000,7.240000,6.360000,7.060000,6.733625,2143000
2018-11-01,7.050000,7.330000,6.520000,6.700000,6.390267,1298800
2018-12-01,6.700000,6.770000,4.990000,5.220000,4.978686,1758900
2019-01-01,5.180000,6.040000,5.150000,5.660000,5.398345,1350900
2019-02-01,5.660000,7.080000,5.550000,6.130000,5.846618,2538800
2019-03-01,6.150000,8.390000,6.150000,7.580000,7.229587,14336700
2019-04-01,7.570000,7.570000,5.950000,7.100000,6.771776,7663800
2019-05-01,7.100000,7.170000,6.250000,6.290000,5.999221,3684800
2019-06-01,6.260000,6.910000,6.250000,6.400000,6.104136,1921400
2019-07-01,6.480000,6.700000,6.310000,6.460000,6.161363,1470000
2019-08-01,6.510000,6.580000,6.060000,6.420000,6.123212,1801400
2019-09-01,6.450000,6.680000,6.210000,6.240000,5.951532,2104800
2019-10-01,6.280000,6.770000,5.710000,6.660000,6.352117,3025200
2019-11-01,6.680000,6.920000,6.560000,6.810000,6.495183,1716600
2019-12-01,6.790000,6.940000,6.500000,6.550000,6.435088,1998500
2020-01-01,6.560000,7.000000,6.500000,6.860000,6.860000,2175000
2020-02-01,6.990000,6.990000,5.680000,5.830000,5.830000,4137900
2020-03-01,5.910000,6.700000,3.600000,5.860000,5.860000,4653400
2020-04-01,5.780000,5.820000,5.420000,5.610000,5.610000,227600
