Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,4.930000,4.940000,4.610000,4.700000,4.533721,50400
2015-05-01,4.660000,4.890000,4.630000,4.700000,4.533721,46200
2015-06-01,4.680000,5.120000,4.680000,4.820000,4.649477,294000
2015-07-01,4.910000,5.020000,4.720000,4.930000,4.755585,296100
2015-08-01,4.930000,5.090000,4.700000,4.850000,4.678415,98900
2015-09-01,4.800000,4.940000,4.650000,4.660000,4.495137,338200
2015-10-01,4.660000,5.290000,4.660000,5.280000,5.093202,110900
2015-11-01,5.100000,5.880000,5.100000,5.680000,5.479051,94400
2015-12-01,5.680000,5.850000,5.320000,5.750000,5.546575,73800
2016-01-01,5.750000,5.780000,5.120000,5.530000,5.334358,94200
2016-02-01,5.530000,5.600000,4.990000,5.080000,4.900278,137700
2016-03-01,5.190000,5.350000,5.050000,5.050000,4.871340,109100
2016-04-01,5.050000,6.080000,5.050000,5.740000,5.536929,199400
2016-05-01,5.890000,6.030000,5.660000,5.880000,5.671976,203400
2016-06-01,5.860000,6.150000,5.740000,5.920000,5.710560,94800
2016-07-01,6.000000,6.390000,5.930000,6.340000,6.115701,101900
2016-08-01,6.370000,6.740000,6.130000,6.500000,6.270041,84200
2016-09-01,6.600000,6.850000,6.430000,6.620000,6.385796,54600
2016-10-01,6.550000,6.700000,6.430000,6.500000,6.270041,87000
2016-11-01,6.600000,7.200000,6.250000,6.900000,6.655889,150500
2016-12-01,6.600000,8.070000,6.450000,6.960000,6.713767,414900
2017-01-01,7.950000,7.950000,6.900000,7.050000,6.800583,204700
2017-02-01,7.100000,7.750000,7.000000,7.100000,6.848814,135300
2017-03-01,7.100000,7.500000,7.050000,7.200000,6.945275,184100
2017-04-01,7.100000,7.200000,7.050000,7.100000,6.848814,89500
2017-05-01,7.100000,7.200000,7.000000,7.150000,6.897045,163500
2017-06-01,7.050000,7.750000,7.000000,7.250000,6.993507,202000
2017-07-01,7.250000,7.450000,7.000000,7.200000,6.945275,143200
2017-08-01,7.200000,7.300000,6.850000,6.850000,6.607658,111100
2017-09-01,6.990000,7.300000,6.800000,7.000000,6.752351,502700
2017-10-01,7.000000,7.080000,6.700000,6.950000,6.704120,206700
2017-11-01,7.000000,7.200000,6.850000,7.050000,6.800583,231300
2017-12-01,7.050000,7.380000,6.950000,7.260000,7.003153,220400
2018-01-01,7.250000,8.100000,7.170000,8.030000,7.745911,403200
2018-02-01,8.000000,8.200000,7.140000,7.150000,6.897045,312900
2018-03-01,7.200000,7.850000,7.100000,7.200000,6.945275,453100
2018-04-01,7.300000,7.640000,7.200000,7.550000,7.312741,142600
2018-05-01,7.550000,8.000000,7.350000,7.900000,7.651742,236300
2018-06-01,7.800000,8.800000,7.800000,8.650000,8.378173,690900
2018-07-01,8.600000,8.700000,8.300000,8.600000,8.361498,136100
2018-08-01,8.500000,9.450000,8.500000,9.150000,8.896243,93300
2018-09-01,9.150000,9.860000,8.950000,9.800000,9.528218,329000
2018-10-01,9.730000,9.770000,7.950000,8.190000,7.988917,206300
2018-11-01,8.240000,9.350000,7.980000,9.050000,8.827804,241800
2018-12-01,9.050000,9.100000,7.220000,7.980000,7.784074,181000
2019-01-01,7.830000,8.740000,7.670000,8.300000,8.123116,159200
2019-02-01,8.300000,8.850000,8.150000,8.770000,8.583100,432600
2019-03-01,8.520000,9.940000,8.520000,9.480000,9.277968,876600
2019-04-01,9.790000,9.850000,8.510000,9.260000,9.094088,420100
2019-05-01,9.260000,9.320000,8.410000,8.700000,8.544122,188600
2019-06-01,8.700000,8.780000,8.350000,8.690000,8.534301,223400
2019-07-01,8.650000,8.790000,8.130000,8.420000,8.298018,257400
2019-08-01,8.460000,8.560000,7.820000,7.990000,7.874247,205400
2019-09-01,7.790000,8.050000,7.750000,8.000000,7.884102,115400
2019-10-01,7.940000,8.300000,7.900000,8.300000,8.221384,279500
2019-11-01,8.290000,8.900000,7.440000,8.900000,8.815700,374300
2019-12-01,8.970000,9.500000,8.550000,9.310000,9.221817,184300
2020-01-01,9.320000,9.410000,8.020000,8.250000,8.208750,171900
2020-02-01,8.250000,8.800000,8.000000,8.020000,7.979900,357700
2020-03-01,7.980000,8.340000,4.260000,6.420000,6.387900,453400
2020-04-01,5.980000,6.380000,5.740000,6.060000,6.060000,24700
