Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,4.750000,5.720000,4.530000,5.640000,5.640000,1212800
2015-05-01,5.580000,7.350000,3.360000,3.500000,3.500000,4423800
2015-06-01,3.590000,4.250000,3.010000,3.450000,3.450000,8468700
2015-07-01,3.410000,3.470000,2.260000,2.390000,2.390000,7800200
2015-08-01,2.360000,2.380000,1.110000,1.320000,1.320000,4862300
2015-09-01,1.280000,1.360000,0.840000,0.940000,0.940000,2830500
2015-10-01,0.890000,1.150000,0.860000,0.950000,0.950000,2956100
2015-11-01,0.950000,1.760000,0.680000,1.410000,1.410000,5772300
2015-12-01,1.300000,2.450000,1.020000,1.680000,1.680000,26969500
2016-01-01,1.560000,1.840000,1.000000,1.310000,1.310000,9341200
2016-02-01,1.310000,1.370000,1.060000,1.220000,1.220000,3359300
2016-03-01,1.230000,1.600000,1.200000,1.470000,1.470000,3006700
2016-04-01,1.470000,1.780000,1.390000,1.500000,1.500000,3027600
2016-05-01,1.510000,1.580000,1.120000,1.220000,1.220000,1376600
2016-06-01,1.200000,1.480000,1.160000,1.190000,1.190000,980700
2016-07-01,1.220000,1.230000,0.800000,0.890000,0.890000,2099900
2016-08-01,0.920000,1.140000,0.910000,1.030000,1.030000,2697700
2016-09-01,1.010000,1.020000,0.750000,0.810000,0.810000,1437700
2016-10-01,0.820000,0.900000,0.770000,0.810000,0.810000,1637100
2016-11-01,0.810000,0.940000,0.700000,0.800000,0.800000,1597800
2016-12-01,0.790000,0.880000,0.710000,0.720000,0.720000,1452700
2017-01-01,0.750000,0.890000,0.700000,0.850000,0.850000,2071900
2017-02-01,0.890000,0.930000,0.790000,0.800000,0.800000,1193400
2017-03-01,0.840000,0.840000,0.570000,0.710000,0.710000,782200
2017-04-01,0.700000,0.770000,0.660000,0.720000,0.720000,967600
2017-05-01,0.710000,1.130000,0.650000,1.000000,1.000000,4069300
2017-06-01,1.000000,1.180000,0.910000,0.940000,0.940000,3157500
2017-07-01,0.940000,1.020000,0.840000,0.890000,0.890000,1266900
2017-08-01,0.870000,1.300000,0.840000,1.070000,1.070000,4640400
2017-09-01,1.070000,1.300000,1.050000,1.140000,1.140000,2329800
2017-10-01,1.140000,1.380000,1.110000,1.290000,1.290000,4776700
2017-11-01,1.290000,1.870000,1.290000,1.350000,1.350000,8030400
2017-12-01,1.500000,1.680000,1.360000,1.480000,1.480000,4418300
2018-01-01,1.490000,5.200000,1.490000,2.320000,2.320000,81698700
2018-02-01,2.260000,2.280000,1.810000,2.020000,2.020000,5619200
2018-03-01,2.030000,2.200000,1.670000,1.790000,1.790000,4651100
2018-04-01,1.800000,1.980000,1.540000,1.660000,1.660000,3892000
2018-05-01,1.650000,1.940000,1.600000,1.760000,1.760000,2890300
2018-06-01,1.760000,1.950000,1.260000,1.890000,1.890000,2080095
2018-07-01,1.300000,1.700000,1.140000,1.230000,1.230000,4843400
2018-08-01,1.240000,1.400000,1.100000,1.340000,1.340000,1218500
2018-09-01,1.330000,1.400000,1.180000,1.270000,1.270000,1873400
2018-10-01,1.260000,1.440000,1.100000,1.130000,1.130000,6364700
2018-11-01,1.140000,1.510000,1.050000,1.060000,1.060000,4716700
2018-12-01,1.080000,1.200000,1.000000,1.200000,1.200000,3204400
2019-01-01,1.180000,1.430000,1.010000,1.110000,1.110000,3998300
2019-02-01,1.070000,1.140000,1.020000,1.100000,1.100000,517200
2019-03-01,1.100000,1.110000,0.910000,1.020000,1.020000,1536500
2019-04-01,1.020000,1.100000,0.990000,1.020000,1.020000,813000
2019-05-01,1.020000,1.030000,0.790000,0.810000,0.810000,580900
2019-06-01,0.780000,0.990000,0.640000,0.730000,0.730000,2008400
2019-07-01,0.730000,0.740000,0.640000,0.650000,0.650000,1430300
2019-08-01,0.650000,0.680000,0.460000,0.520000,0.520000,818300
2019-09-01,0.510000,0.620000,0.510000,0.530000,0.530000,280500
2019-10-01,0.530000,0.580000,0.500000,0.520000,0.520000,306100
2019-11-01,0.510000,0.550000,0.430000,0.450000,0.450000,468800
2019-12-01,0.450000,0.680000,0.400000,0.560000,0.560000,2160100
2020-01-01,0.550000,0.810000,0.550000,0.710000,0.710000,988600
2020-02-01,0.740000,0.810000,0.450000,0.510000,0.510000,862300
2020-03-01,0.630000,0.740000,0.340000,0.440000,0.440000,2005500
2020-04-01,0.430000,0.440000,0.400000,0.420000,0.420000,42000
