Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,17.280001,18.920000,15.300000,16.000000,16.000000,2738200
2015-05-01,16.139999,17.430000,13.580000,13.950000,13.950000,3409900
2015-06-01,14.070000,15.510000,12.520000,13.020000,13.020000,5754300
2015-07-01,13.140000,13.320000,11.360000,12.540000,12.540000,3680600
2015-08-01,12.590000,14.740000,11.500000,14.560000,14.560000,4497600
2015-09-01,14.080000,15.000000,10.690000,10.990000,10.990000,4274900
2015-10-01,11.050000,15.290000,10.560000,14.950000,14.950000,3362400
2015-11-01,14.970000,19.180000,14.752000,18.770000,18.770000,4230700
2015-12-01,18.850000,19.750000,15.000000,16.389999,16.389999,4669400
2016-01-01,16.020000,16.959999,12.870000,16.420000,16.420000,4266800
2016-02-01,16.230000,17.879999,13.590000,15.720000,15.720000,3622400
2016-03-01,15.910000,19.000000,15.284000,18.799999,18.799999,4553300
2016-04-01,18.469999,24.760000,18.469999,20.750000,20.750000,6878900
2016-05-01,20.780001,23.049999,15.000000,23.000000,23.000000,8649200
2016-06-01,22.799999,23.990000,21.299999,22.690001,22.690001,6710600
2016-07-01,22.580000,25.590000,21.969999,25.510000,25.510000,4418600
2016-08-01,25.559999,29.000000,23.801001,28.360001,28.360001,5247400
2016-09-01,28.260000,37.140999,28.260000,36.240002,36.240002,4760100
2016-10-01,36.200001,38.919998,24.760000,25.129999,25.129999,13617200
2016-11-01,25.350000,36.740002,24.540001,27.840000,27.840000,11529800
2016-12-01,27.820000,32.980000,26.410000,31.879999,31.879999,6746400
2017-01-01,32.310001,34.549999,27.799999,29.959999,29.959999,5453000
2017-02-01,30.049999,33.910000,28.790001,30.620001,30.620001,4100000
2017-03-01,31.150000,37.180000,29.879999,36.820000,36.820000,5223600
2017-04-01,36.939999,41.200001,35.020000,40.330002,40.330002,4626400
2017-05-01,40.360001,41.480000,34.849998,36.500000,36.500000,4621800
2017-06-01,36.619999,43.439999,35.680000,39.840000,39.840000,4610300
2017-07-01,40.049999,42.610001,31.559999,32.130001,32.130001,4951900
2017-08-01,32.330002,33.528000,23.153000,32.669998,32.669998,9117500
2017-09-01,32.520000,35.470001,29.299999,34.240002,34.240002,4098600
2017-10-01,34.470001,35.900002,28.100000,28.860001,28.860001,3800800
2017-11-01,29.190001,30.049999,26.719999,28.450001,28.450001,3953700
2017-12-01,28.500000,29.150000,25.200001,27.889999,27.889999,3586000
2018-01-01,28.110001,30.290001,26.020000,26.440001,26.440001,2969200
2018-02-01,26.270000,29.940001,22.900000,26.360001,26.360001,6351500
2018-03-01,26.270000,29.590000,23.340000,24.250000,24.250000,5640900
2018-04-01,24.250000,25.378000,21.270000,24.070000,24.070000,5147900
2018-05-01,23.879999,26.000000,22.190001,24.340000,24.340000,4851100
2018-06-01,24.590000,24.809999,22.400000,22.680000,22.680000,4786100
2018-07-01,22.480000,27.290001,22.260000,23.950001,23.950001,3342800
2018-08-01,25.500000,29.990000,24.270000,28.969999,28.969999,6215600
2018-09-01,28.910000,32.790001,26.740000,32.669998,32.669998,4354400
2018-10-01,32.910000,35.480000,24.219999,24.270000,24.270000,5580400
2018-11-01,24.389999,27.700001,23.020000,27.610001,27.610001,5541700
2018-12-01,28.000000,29.450001,21.700001,25.590000,25.590000,4725900
2019-01-01,25.209999,28.629999,24.350000,26.049999,26.049999,3574900
2019-02-01,26.049999,28.440001,23.590000,24.270000,24.270000,3174900
2019-03-01,24.450001,26.240000,21.040001,22.670000,22.670000,6069500
2019-04-01,22.870001,24.770000,21.709999,23.850000,23.850000,3744600
2019-05-01,23.860001,25.379999,16.190001,16.620001,16.620001,7159500
2019-06-01,16.690001,17.620001,15.180000,16.330000,16.330000,6745900
2019-07-01,16.600000,21.879999,16.000000,20.850000,20.850000,5440300
2019-08-01,21.049999,22.209999,19.000000,22.030001,22.030001,5848100
2019-09-01,22.010000,24.340000,18.799999,19.480000,19.480000,3675700
2019-10-01,19.510000,19.900000,15.720000,16.120001,16.120001,6086800
2019-11-01,16.209999,22.000000,16.070000,21.760000,21.760000,6302200
2019-12-01,21.780001,26.469999,20.430000,25.889999,25.889999,6376800
2020-01-01,25.910000,28.375000,23.010000,27.879999,27.879999,5990100
2020-02-01,28.020000,31.540001,22.370001,24.350000,24.350000,12993400
2020-03-01,24.709999,26.540001,16.860001,23.110001,23.110001,9560200
2020-04-01,22.530001,22.850000,20.790001,22.170000,22.170000,537400
