Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,4.110000,4.490000,4.010000,4.050000,4.050000,42300
2015-05-01,4.050000,4.150000,3.510000,3.730000,3.730000,145400
2015-06-01,3.800000,3.810000,3.380000,3.680000,3.680000,61300
2015-07-01,3.630000,3.680000,3.390000,3.400000,3.400000,22400
2015-08-01,3.570000,3.590000,3.060000,3.100000,3.100000,49300
2015-09-01,3.150000,3.260000,2.400000,2.850000,2.850000,30400
2015-10-01,2.860000,2.980000,2.660000,2.760000,2.760000,38400
2015-11-01,2.800000,3.900000,2.700000,3.250000,3.250000,89000
2015-12-01,3.250000,4.500000,2.510000,3.030000,3.030000,229900
2016-01-01,3.030000,3.170000,2.850000,2.890000,2.890000,23400
2016-02-01,2.900000,2.920000,2.410000,2.610000,2.610000,37400
2016-03-01,2.660000,3.000000,2.610000,2.780000,2.780000,25700
2016-04-01,2.780000,2.780000,2.360000,2.750000,2.750000,24500
2016-05-01,2.750000,2.760000,2.450000,2.750000,2.750000,26600
2016-06-01,2.530000,2.750000,2.450000,2.450000,2.450000,60200
2016-07-01,2.450000,7.750000,2.450000,3.330000,3.330000,6997700
2016-08-01,3.280000,3.750000,2.360000,2.410000,2.410000,1046900
2016-09-01,2.410000,3.080000,2.260000,2.650000,2.650000,948500
2016-10-01,2.650000,4.250000,2.100000,2.350000,2.350000,3948500
2016-11-01,2.350000,3.350000,2.300000,2.700000,2.700000,3100200
2016-12-01,2.600000,2.800000,2.150000,2.450000,2.450000,309500
2017-01-01,2.400000,3.150000,2.260000,2.500000,2.500000,791300
2017-02-01,2.590000,2.850000,2.400000,2.550000,2.550000,291000
2017-03-01,2.600000,2.750000,2.250000,2.590000,2.590000,133600
2017-04-01,2.550000,2.690000,2.300000,2.390000,2.390000,135100
2017-05-01,2.400000,4.400000,2.300000,2.850000,2.850000,4663400
2017-06-01,2.800000,5.550000,2.750000,5.200000,5.200000,1438100
2017-07-01,5.400000,7.440000,4.000000,4.150000,4.150000,2595600
2017-08-01,4.100000,9.300000,4.100000,5.250000,5.250000,3387500
2017-09-01,5.250000,5.900000,4.850000,5.350000,5.350000,641200
2017-10-01,5.350000,5.400000,3.800000,4.050000,4.050000,389700
2017-11-01,4.000000,5.650000,3.820000,4.670000,4.670000,1134300
2017-12-01,4.880000,15.400000,4.650000,11.450000,11.450000,3325900
2018-01-01,10.300000,12.600000,8.000000,9.600000,9.600000,2763100
2018-02-01,9.400000,9.750000,6.800000,7.800000,7.800000,608000
2018-03-01,7.850000,7.850000,5.050000,5.250000,5.250000,659900
2018-04-01,5.250000,5.700000,4.450000,4.500000,4.500000,474600
2018-05-01,4.450000,6.000000,4.300000,4.700000,4.700000,807500
2018-06-01,4.650000,4.760000,4.000000,4.400000,4.400000,256000
2018-07-01,4.350000,5.750000,3.700000,3.900000,3.900000,384000
2018-08-01,3.850000,5.950000,3.700000,4.900000,4.900000,1452800
2018-09-01,4.850000,5.150000,4.250000,4.550000,4.550000,241300
2018-10-01,4.550000,4.780000,3.580000,3.980000,3.980000,247700
2018-11-01,3.980000,4.150000,3.300000,3.600000,3.600000,260700
2018-12-01,3.570000,3.750000,2.470000,2.650000,2.650000,453100
2019-01-01,2.680000,2.900000,2.570000,2.760000,2.760000,326400
2019-02-01,2.750000,3.200000,2.510000,2.660000,2.660000,341400
2019-03-01,2.610000,3.480000,2.280000,3.480000,3.480000,491900
2019-04-01,3.400000,5.500000,3.280000,4.320000,4.320000,971900
2019-05-01,4.260000,5.050000,3.210000,4.450000,4.450000,1304700
2019-06-01,4.450000,4.500000,3.480000,4.010000,4.010000,297200
2019-07-01,4.000000,4.010000,2.340000,2.560000,2.560000,374100
2019-08-01,2.550000,2.890000,2.210000,2.420000,2.420000,277700
2019-09-01,2.470000,2.970000,2.230000,2.500000,2.500000,119900
2019-10-01,2.460000,3.250000,2.210000,2.310000,2.310000,313600
2019-11-01,2.380000,2.500000,1.810000,1.960000,1.960000,146100
2019-12-01,1.900000,10.490000,1.850000,5.050000,5.050000,41307500
2020-01-01,5.240000,5.490000,4.350000,4.380000,4.380000,1107800
2020-02-01,4.400000,4.740000,2.920000,3.020000,3.020000,398600
2020-03-01,3.050000,3.160000,1.720000,2.090000,2.090000,303300
2020-04-01,2.150000,2.150000,1.900000,1.970000,1.970000,14100
