Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,31.129999,32.810001,30.430000,30.900000,25.943415,1600800
2015-05-01,30.980000,31.559999,29.730000,30.290001,25.431267,1240700
2015-06-01,30.350000,34.270000,30.020000,33.060001,27.802513,3033200
2015-07-01,33.230000,34.490002,32.040001,32.950001,27.928131,1957900
2015-08-01,32.950001,33.919998,30.090000,31.940001,27.072060,1706600
2015-09-01,31.230000,33.000000,29.718599,32.349998,27.461187,3501500
2015-10-01,32.320000,35.139999,30.980000,33.930000,29.047606,2360600
2015-11-01,34.060001,37.259998,30.427099,36.849998,31.547447,2409000
2015-12-01,37.000000,37.110001,28.340900,34.270000,29.399715,2163900
2016-01-01,27.789900,33.740002,11.420000,12.010000,10.376593,35276300
2016-02-01,31.799999,34.759998,21.550900,33.830002,29.228983,7686700
2016-03-01,33.970001,36.450001,24.168501,35.689999,30.908539,6247400
2016-04-01,35.520000,38.980000,34.290001,38.459999,33.560440,5364800
2016-05-01,38.639999,39.939999,28.222799,39.400002,34.380692,4068000
2016-06-01,38.959999,40.139999,34.820000,37.290001,32.603073,5379600
2016-07-01,37.099998,41.779999,24.463699,41.380001,36.419338,4000100
2016-08-01,41.330002,47.619999,41.119999,46.230000,40.687908,18543900
2016-09-01,46.110001,46.150002,29.069099,44.130001,39.136665,13084500
2016-10-01,43.860001,45.270000,42.369999,42.950001,38.090195,6843600
2016-11-01,43.000000,53.029999,33.989399,51.880001,46.009754,7704400
2016-12-01,52.380001,55.549999,38.929401,54.169998,48.446697,7299500
2017-01-01,38.555500,54.980000,17.070000,17.350000,15.516898,44612400
2017-02-01,49.840000,54.389999,34.717602,53.270000,47.641796,6513100
2017-03-01,54.160000,54.970001,47.520000,51.150002,45.814064,9283100
2017-04-01,51.270000,51.520000,31.844200,47.450001,42.716549,6069800
2017-05-01,47.889999,49.939999,30.505899,44.970001,40.483955,7559900
2017-06-01,45.180000,50.580002,44.500000,48.410000,43.908459,7966200
2017-07-01,48.779999,50.799999,31.765499,48.189999,43.708920,4602800
2017-08-01,48.410000,48.450001,44.660000,45.410000,41.187420,7020300
2017-09-01,45.500000,53.169998,30.801100,52.259998,47.772446,8138800
2017-10-01,52.430000,54.730000,50.389999,52.689999,48.165527,5435600
2017-11-01,53.009998,58.169998,36.174000,56.389999,51.547802,5426900
2017-12-01,56.439999,57.889999,40.917198,53.470001,49.188568,7556500
2018-01-01,40.346500,59.830002,20.410000,21.450001,19.732462,33813400
2018-02-01,58.410000,59.599998,43.790699,55.189999,50.770840,5314400
2018-03-01,55.049999,59.320000,44.892799,44.892799,41.410465,6915500
2018-04-01,54.580002,58.279999,53.299999,54.889999,50.890358,6897000
2018-05-01,54.639999,58.520000,51.978100,56.119999,52.030735,6032600
2018-06-01,56.830002,59.459999,55.669998,55.669998,52.005539,6911700
2018-07-01,55.360001,58.770000,48.573200,56.799999,53.061157,5801700
2018-08-01,56.930000,59.099998,56.000000,57.119999,53.360096,4497200
2018-09-01,49.891800,57.770000,23.570000,23.809999,22.301319,25452700
2018-10-01,53.869999,54.470001,41.970001,46.860001,44.152828,10520600
2018-11-01,47.000000,48.160000,42.806599,47.200001,44.473190,6854600
2018-12-01,47.700001,48.020000,34.619999,36.610001,34.606888,10500600
2019-01-01,38.358700,46.619999,19.180000,22.160000,21.109274,47710900
2019-02-01,44.560001,47.709999,44.080002,45.830002,43.656948,11363900
2019-03-01,46.150002,46.740002,38.389999,41.160000,39.628551,18221400
2019-04-01,41.610001,44.799999,41.509998,43.930000,42.295486,12999500
2019-05-01,43.939999,44.919998,37.770000,37.860001,36.451340,9963400
2019-06-01,37.830002,41.459999,37.560001,41.110001,39.727188,13730100
2019-07-01,41.509998,44.770000,39.950001,42.040001,40.978008,25466700
2019-08-01,42.650002,43.290001,35.959999,38.990002,38.005054,34591846
2019-09-01,38.560001,41.439999,37.189999,38.070000,37.452251,17881900
2019-10-01,38.259998,40.669998,36.049999,39.590000,38.947590,22351800
2019-11-01,40.139999,43.520000,39.990002,42.490002,41.800533,17316600
2019-12-01,42.840000,47.459999,41.279999,46.799999,46.423534,27276400
2020-01-01,46.959999,47.119999,41.020000,42.279999,41.939892,19479200
2020-02-01,42.650002,45.070000,35.990002,36.439999,36.146870,16111000
2020-03-01,36.880001,38.540001,16.959999,22.660000,22.660000,34251800
2020-04-01,21.240000,22.820000,20.270000,22.230000,22.230000,2351400
