Date,Open,High,Low,Close,Adj Close,Volume
2015-05-01,0.860000,0.912000,0.821000,0.900000,0.722278,470794565
2015-06-01,0.912000,0.960000,0.867500,0.915500,0.734717,831603065
2015-07-01,0.920000,1.009000,0.868500,0.945000,0.781111,474090424
2015-08-01,0.947000,1.031000,0.844500,0.893500,0.738542,580177670
2015-09-01,0.884000,0.987500,0.863500,0.917000,0.757967,763763444
2015-10-01,0.922000,1.050000,0.844000,1.023000,0.845583,771672298
2015-11-01,1.020000,1.122000,0.980000,1.090000,0.900963,1367504551
2015-12-01,1.091000,1.100000,0.872000,0.951000,0.786070,1063394570
2016-01-01,0.951000,0.951000,0.778500,0.826500,0.683162,459479263
2016-02-01,0.816000,0.830000,0.634500,0.713500,0.589759,550240399
2016-03-01,0.708000,0.854000,0.702000,0.770000,0.636460,637478034
2016-04-01,0.761500,0.767000,0.671500,0.685000,0.566202,458561769
2016-05-01,0.697000,0.717000,0.641000,0.693500,0.573228,543028475
2016-06-01,0.696000,0.709000,0.532500,0.577000,0.476932,865731633
2016-07-01,0.585000,0.625000,0.502500,0.622500,0.537290,798103061
2016-08-01,0.627000,0.665500,0.587000,0.657000,0.567068,419628493
2016-09-01,0.655500,0.667000,0.592000,0.604000,0.521322,404032050
2016-10-01,0.598000,0.661500,0.554500,0.646000,0.557573,428562171
2016-11-01,0.649500,0.655500,0.545500,0.589000,0.508376,524949149
2016-12-01,0.590000,0.719000,0.565000,0.687000,0.592961,530924210
2017-01-01,0.693000,0.705500,0.645500,0.661500,0.570952,342422752
2017-02-01,0.663000,0.700000,0.616500,0.629000,0.542900,390185829
2017-03-01,0.630000,0.695000,0.624000,0.684000,0.590372,401363647
2017-04-01,0.683000,0.686000,0.618000,0.655500,0.565773,365357639
2017-05-01,0.655500,0.747500,0.655500,0.686500,0.592530,602636274
2017-06-01,0.685500,0.699000,0.640500,0.645000,0.556710,594421214
2017-07-01,0.648000,0.701500,0.628000,0.693500,0.623176,528411425
2017-08-01,0.693000,0.713000,0.633000,0.652500,0.586334,317760399
2017-09-01,0.654000,0.663000,0.622000,0.636000,0.571507,438000231
2017-10-01,0.638500,0.638500,0.595500,0.610500,0.548593,545532000
2017-11-01,0.611000,0.629500,0.538000,0.569000,0.511301,923217952
2017-12-01,0.570000,0.632500,0.565500,0.596000,0.535563,559822189
2018-01-01,0.596000,0.640500,0.592500,0.600000,0.539158,543849572
2018-02-01,0.618600,0.631200,0.560200,0.627000,0.563420,516566238
2018-03-01,0.619400,0.729800,0.614200,0.676400,0.607810,1061369644
2018-04-01,0.676400,0.766000,0.655400,0.713000,0.640699,929190253
2018-05-01,0.713000,0.759000,0.595200,0.599000,0.538259,844170991
2018-06-01,0.615000,0.621200,0.546600,0.559600,0.502854,715910046
2018-07-01,0.552000,0.581000,0.513200,0.570000,0.537520,484684021
2018-08-01,0.571000,0.571000,0.476000,0.478900,0.451611,345126761
2018-09-01,0.478200,0.517000,0.448200,0.463400,0.436994,468181644
2018-10-01,0.458000,0.459400,0.412400,0.446800,0.421340,524587648
2018-11-01,0.446300,0.503800,0.433500,0.497100,0.468774,434253196
2018-12-01,0.503600,0.506800,0.410400,0.417000,0.393238,239492753
2019-01-01,0.417000,0.457500,0.379000,0.427100,0.402763,547967527
2019-02-01,0.429500,0.486000,0.410000,0.479100,0.451799,583824446
2019-03-01,0.480000,0.506400,0.462300,0.506400,0.477544,600504525
2019-04-01,0.510000,0.513200,0.452200,0.464900,0.438409,430095704
2019-05-01,0.464900,0.469300,0.411100,0.418500,0.394653,424170180
2019-06-01,0.416000,0.483800,0.412000,0.456100,0.430110,565976728
2019-07-01,0.459900,0.496500,0.448800,0.480000,0.480000,401738593
2019-08-01,0.480600,0.488500,0.408700,0.463300,0.463300,474165033
2019-09-01,0.463600,0.513200,0.461000,0.501600,0.501600,558591607
2019-10-01,0.502600,0.536800,0.472000,0.518800,0.518800,507082684
2019-11-01,0.518800,0.582000,0.514000,0.559000,0.559000,574624596
2019-12-01,0.558400,0.560600,0.515800,0.545800,0.545800,326553874
2020-01-01,0.545800,0.556000,0.475000,0.475000,0.475000,420874542
2020-02-01,0.473300,0.537600,0.467600,0.503800,0.503800,535764723
2020-03-01,0.508600,0.511600,0.295000,0.360500,0.360500,900043140
2020-04-01,0.354600,0.369000,0.354000,0.367100,0.367100,24891282
