Date,Open,High,Low,Close,Adj Close,Volume
2017-02-01,11.040000,11.680000,9.810000,10.210000,10.210000,135900
2017-03-01,10.340000,10.430000,8.550000,8.550000,8.550000,73950
2017-04-01,8.560000,9.380000,7.900000,8.800000,8.800000,52050
2017-05-01,8.800000,8.800000,8.050000,8.400000,8.400000,17700
2017-06-01,8.200000,8.800000,7.500000,7.695000,7.695000,50850
2017-07-01,7.660000,7.980000,6.960000,7.145000,7.145000,33300
2017-08-01,7.150000,7.895000,6.660000,7.695000,7.695000,73200
2017-09-01,7.600000,8.700000,7.260000,8.300000,8.300000,110700
2017-10-01,8.650000,8.790000,7.715000,8.090000,8.090000,60750
2017-11-01,7.810000,8.440000,7.405000,8.190000,8.190000,30150
2017-12-01,8.160000,8.195000,7.035000,7.500000,7.500000,31950
2018-01-01,7.500000,8.120000,7.225000,7.600000,7.600000,29100
2018-02-01,7.940000,8.000000,7.360000,7.420000,7.420000,17250
2018-03-01,7.400000,7.660000,6.900000,7.020000,7.020000,40650
2018-04-01,7.020000,7.260000,6.820000,7.000000,7.000000,13950
2018-05-01,7.000000,7.000000,5.780000,6.180000,6.180000,27900
2018-06-01,5.980000,6.460000,5.300000,5.500000,5.500000,80700
2018-07-01,5.500000,5.500000,4.860000,5.200000,5.200000,19050
2018-08-01,5.120000,5.280000,4.800000,4.840000,4.840000,15900
2018-09-01,4.840000,6.160000,4.730000,5.780000,5.780000,56700
2018-10-01,5.520000,5.640000,4.750000,4.890000,4.890000,33450
2018-11-01,4.890000,5.240000,3.800000,4.430000,4.430000,30450
2018-12-01,4.430000,4.620000,4.300000,4.440000,4.440000,13050
2019-01-01,4.440000,5.040000,4.300000,4.960000,4.960000,21300
2019-02-01,4.960000,4.960000,4.420000,4.600000,4.600000,7650
2019-03-01,4.500000,4.500000,3.620000,3.980000,3.980000,69150
2019-04-01,3.980000,4.180000,3.860000,4.080000,4.080000,16650
2019-05-01,4.080000,4.080000,3.940000,3.940000,3.940000,2550
2019-06-01,3.940000,4.160000,3.820000,3.820000,3.820000,8100
2019-07-01,3.820000,3.980000,3.640000,3.900000,3.900000,15450
2019-08-01,3.900000,3.980000,3.660000,3.880000,3.880000,1650
2019-09-01,3.800000,4.400000,3.780000,4.280000,4.280000,23550
2019-10-01,4.100000,4.400000,4.000000,4.000000,4.000000,26550
2019-11-01,4.000000,4.200000,3.960000,4.120000,4.120000,7200
2019-12-01,4.120000,4.600000,4.020000,4.580000,4.580000,24000
2020-01-01,4.580000,4.800000,4.200000,4.600000,4.600000,19800
2020-02-01,4.500000,4.660000,3.920000,4.000000,4.000000,9450
2020-03-01,3.980000,3.980000,3.140000,3.260000,3.260000,18600
2020-04-01,3.200000,3.200000,3.200000,3.200000,3.200000,150
