Date,Open,High,Low,Close,Adj Close,Volume
2015-05-01,3.656780,3.785610,3.498220,3.716240,3.389532,67602
2015-06-01,3.648850,3.791560,3.369390,3.617140,3.299144,138236
2015-07-01,3.656780,3.755880,3.468490,3.696420,3.415255,106447
2015-08-01,3.706330,4.013540,3.389210,3.607230,3.332849,220478
2015-09-01,3.607230,3.615160,3.210830,3.270290,3.021538,79711
2015-10-01,3.270290,3.399120,3.052270,3.151370,2.911664,110991
2015-11-01,3.151370,3.369390,3.129570,3.191010,2.948289,104433
2015-12-01,3.218760,3.309930,2.974980,3.121640,2.884195,66091
2016-01-01,3.121640,3.191010,2.826320,3.038400,2.807287,54484
2016-02-01,2.971010,3.129570,2.790650,3.072090,2.838414,74160
2016-03-01,3.200920,3.468490,3.022540,3.072090,2.838414,199789
2016-04-01,3.072090,3.593360,3.072090,3.438760,3.177194,595352
2016-05-01,3.468490,3.476420,3.339660,3.468490,3.204662,119065
2016-06-01,3.383270,3.666690,3.319840,3.369390,3.113100,107457
2016-07-01,3.446690,3.640000,3.250470,3.420000,3.232841,1300486
2016-08-01,3.488000,4.162000,3.370000,4.124000,3.898314,369537
2016-09-01,4.170000,4.480000,3.892000,4.264000,4.030653,898931
2016-10-01,4.300000,4.440000,4.180000,4.410000,4.168663,703386
2016-11-01,4.352000,4.640000,4.012000,4.012000,3.792443,411782
2016-12-01,4.002000,4.590000,3.914000,4.530000,4.282096,616735
2017-01-01,4.500000,5.000000,4.462000,4.672000,4.416325,592746
2017-02-01,4.700000,4.990000,4.660000,4.766000,4.505180,499661
2017-03-01,4.820000,5.500000,4.510000,5.360000,5.066675,1355115
2017-04-01,5.275000,5.475000,5.150000,5.300000,5.009958,465676
2017-05-01,5.300000,5.950000,5.185000,5.940000,5.614933,1432939
2017-06-01,5.890000,6.090000,5.015000,5.150000,4.868166,902089
2017-07-01,5.190000,5.295000,5.020000,5.130000,4.921576,427382
2017-08-01,5.125000,5.550000,5.070000,5.240000,5.027107,776281
2017-09-01,5.240000,5.790000,5.130000,5.465000,5.242966,1035261
2017-10-01,5.535000,5.585000,5.230000,5.400000,5.180606,947282
2017-11-01,5.555000,6.440000,5.490000,6.315000,6.058432,4009112
2017-12-01,6.330000,6.400000,5.720000,5.990000,5.746635,731176
2018-01-01,5.990000,7.450000,5.915000,6.940000,6.658039,3567048
2018-02-01,7.140000,7.450000,6.510000,6.800000,6.523727,4122101
2018-03-01,6.750000,7.340000,6.150000,6.440000,6.178353,1029544
2018-04-01,6.440000,6.600000,6.100000,6.280000,6.024854,1355090
2018-05-01,6.280000,7.180000,5.310000,5.750000,5.516387,4165814
2018-06-01,6.050000,6.090000,5.320000,5.540000,5.314919,689567
2018-07-01,5.510000,5.790000,5.340000,5.680000,5.580991,600072
2018-08-01,5.660000,6.180000,5.520000,5.650000,5.551514,1045754
2018-09-01,5.610000,6.800000,5.570000,6.500000,6.386697,1521031
2018-10-01,6.530000,6.800000,6.000000,6.350000,6.239312,1444089
2018-11-01,6.340000,6.750000,6.120000,6.280000,6.170532,1166936
2018-12-01,6.550000,6.750000,5.860000,6.250000,6.141055,291724
2019-01-01,6.250000,7.550000,6.170000,7.290000,7.162927,929163
2019-02-01,7.300000,8.850000,7.290000,8.690000,8.538523,1947223
2019-03-01,8.790000,10.380000,8.320000,10.000000,9.825688,3287794
2019-04-01,10.060000,11.400000,9.980000,11.360000,11.161982,2236947
2019-05-01,11.360000,13.800000,10.600000,13.080000,12.852000,4062331
2019-06-01,13.000000,14.760000,12.140000,13.160000,12.930605,2214670
2019-07-01,13.180000,13.500000,11.860000,12.340000,12.340000,1395166
2019-08-01,12.000000,12.780000,10.700000,10.840000,10.840000,1226086
2019-09-01,10.820000,13.100000,10.520000,11.980000,11.980000,1790802
2019-10-01,12.000000,13.620000,11.360000,13.200000,13.200000,1268347
2019-11-01,13.200000,13.340000,10.780000,12.620000,12.620000,2366780
2019-12-01,12.440000,12.600000,11.000000,11.600000,11.600000,1508915
2020-01-01,11.600000,12.340000,10.620000,10.800000,10.800000,1750728
2020-02-01,10.800000,14.000000,10.120000,12.260000,12.260000,3239360
2020-03-01,12.400000,12.960000,7.150000,9.220000,9.220000,3066861
2020-04-01,9.020000,9.530000,8.860000,8.890000,8.890000,79937
