Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,19.350000,19.350000,16.620001,16.770000,16.563658,3146600
2015-05-01,16.650000,17.450001,15.430000,17.299999,17.087135,1705200
2015-06-01,17.320000,18.650000,16.750000,18.059999,17.837786,2008300
2015-07-01,18.209999,19.030001,16.120001,17.250000,17.250000,2126400
2015-08-01,17.350000,18.549999,15.170000,15.890000,15.890000,1854700
2015-09-01,15.200000,15.250000,11.000000,13.470000,13.470000,4280200
2015-10-01,11.500000,13.240000,10.830000,11.230000,11.230000,5316100
2015-11-01,11.800000,13.280000,11.260000,11.980000,11.980000,3379300
2015-12-01,12.060000,12.390000,10.740000,11.760000,11.760000,2956800
2016-01-01,11.690000,11.930000,10.190000,10.590000,10.590000,1886200
2016-02-01,10.600000,10.740000,9.200000,9.810000,9.810000,2366700
2016-03-01,9.850000,12.020000,9.810000,11.660000,11.660000,2209400
2016-04-01,11.600000,12.170000,10.950000,11.500000,11.500000,1636600
2016-05-01,11.540000,11.650000,10.750000,11.560000,11.560000,1252200
2016-06-01,11.050000,12.000000,10.370000,11.340000,11.340000,1134700
2016-07-01,11.250000,13.160000,10.510000,12.830000,12.830000,1199200
2016-08-01,12.870000,13.680000,11.760000,13.420000,13.420000,1841500
2016-09-01,13.400000,13.470000,12.300000,13.220000,13.220000,1103700
2016-10-01,13.120000,13.150000,5.760000,6.820000,6.820000,15139400
2016-11-01,6.840000,7.400000,6.520000,6.690000,6.690000,4085500
2016-12-01,6.690000,7.270000,6.640000,6.970000,6.970000,8028600
2017-01-01,6.930000,7.200000,6.280000,6.680000,6.680000,1869800
2017-02-01,6.660000,6.860000,6.020000,6.170000,6.170000,1088400
2017-03-01,6.190000,6.330000,5.200000,5.960000,5.960000,1623300
2017-04-01,5.960000,6.210000,5.330000,5.690000,5.690000,931300
2017-05-01,5.710000,5.940000,5.240000,5.630000,5.630000,1062000
2017-06-01,5.630000,6.200000,5.510000,6.000000,6.000000,1142900
2017-07-01,6.000000,6.130000,5.500000,6.070000,6.070000,845900
2017-08-01,6.000000,6.000000,5.110000,5.380000,5.380000,1281800
2017-09-01,5.370000,5.740000,5.210000,5.610000,5.610000,634700
2017-10-01,5.600000,5.630000,4.220000,5.040000,5.040000,1023800
2017-11-01,5.050000,5.400000,4.730000,4.900000,4.900000,1257500
2017-12-01,4.860000,5.930000,4.590000,5.100000,5.100000,1949200
2018-01-01,5.100000,5.650000,4.980000,5.540000,5.540000,744500
2018-02-01,5.420000,5.750000,5.350000,5.460000,5.460000,456600
2018-03-01,5.460000,6.540000,5.030000,5.150000,5.150000,1161400
2018-04-01,5.140000,5.270000,4.470000,4.610000,4.610000,501800
2018-05-01,4.650000,4.980000,4.450000,4.650000,4.650000,960700
2018-06-01,4.640000,5.250000,4.610000,5.000000,5.000000,704700
2018-07-01,4.950000,5.200000,4.520000,4.680000,4.680000,841600
2018-08-01,4.740000,4.830000,3.780000,3.900000,3.900000,684300
2018-09-01,3.930000,4.370000,3.760000,4.000000,4.000000,1651900
2018-10-01,3.990000,4.260000,2.700000,2.970000,2.970000,2356000
2018-11-01,3.060000,3.990000,2.830000,2.940000,2.940000,1623100
2018-12-01,2.920000,3.010000,2.130000,2.290000,2.290000,1521400
2019-01-01,2.280000,2.890000,2.270000,2.700000,2.700000,506600
2019-02-01,2.710000,3.160000,2.500000,3.040000,3.040000,560200
2019-03-01,2.990000,3.360000,2.400000,2.850000,2.850000,1063000
2019-04-01,2.890000,3.220000,2.680000,2.680000,2.680000,1585200
2019-05-01,2.710000,2.950000,2.110000,2.150000,2.150000,1119000
2019-06-01,2.170000,2.310000,1.570000,1.650000,1.650000,1176400
2019-07-01,1.710000,2.660000,1.580000,2.200000,2.200000,2084500
2019-08-01,2.220000,2.250000,1.300000,1.360000,1.360000,1109300
2019-09-01,1.360000,1.450000,1.190000,1.210000,1.210000,2356700
2019-10-01,1.230000,1.250000,0.630000,0.770000,0.770000,2868100
2019-11-01,0.820000,1.050000,0.770000,1.010000,1.010000,1055800
2019-12-01,1.000000,1.100000,0.910000,1.030000,1.030000,979500
2020-01-01,1.030000,1.790000,1.000000,1.260000,1.260000,5255000
2020-02-01,1.150000,1.670000,0.910000,1.430000,1.430000,8474900
2020-03-01,1.480000,1.890000,0.560000,1.100000,1.100000,29460900
2020-04-01,1.100000,1.100000,0.850000,0.880000,0.880000,2273200
