Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,64.500000,69.940002,63.080002,66.000000,60.135132,86900
2015-05-01,67.849998,67.849998,58.599998,59.389999,54.112511,74600
2015-06-01,60.029999,63.590000,58.119999,58.119999,53.066998,121500
2015-07-01,59.000000,59.000000,54.000000,54.000000,49.305199,51900
2015-08-01,55.490002,58.000000,48.209999,49.240002,44.959045,94200
2015-09-01,48.520000,53.930000,45.650002,45.650002,41.788815,124300
2015-10-01,45.560001,54.230000,45.560001,48.849998,44.718147,120000
2015-11-01,48.990002,52.980000,47.820000,51.810001,47.427788,185000
2015-12-01,51.770000,56.250000,51.740002,54.959999,50.440685,195900
2016-01-01,54.939999,56.200001,53.599998,54.970001,50.449856,275300
2016-02-01,54.779999,55.279999,48.410000,53.180000,48.807049,228700
2016-03-01,53.200001,60.799999,50.389999,60.009998,55.210743,447500
2016-04-01,60.230000,60.939999,53.060001,53.570000,49.285774,363200
2016-05-01,53.820000,55.400002,50.750000,53.490002,49.212177,224200
2016-06-01,52.720001,59.000000,52.720001,58.990002,54.405930,204300
2016-07-01,58.759998,63.930000,57.080002,63.000000,58.104313,128600
2016-08-01,62.910000,64.739998,60.240002,64.129997,59.146488,74300
2016-09-01,63.980000,66.620003,62.320000,66.000000,60.991833,77400
2016-10-01,66.029999,67.820000,64.919998,65.790001,60.797775,40900
2016-11-01,66.389999,76.250000,65.000000,72.550003,67.044830,177500
2016-12-01,73.750000,78.150002,63.599998,75.750000,70.122940,157400
2017-01-01,76.000000,77.370003,72.449997,76.000000,70.354378,118900
2017-02-01,75.610001,77.720001,71.610001,76.160004,70.502472,68900
2017-03-01,79.500000,79.500000,76.019997,78.980003,73.241539,167800
2017-04-01,79.139999,81.989998,77.540001,79.120003,73.371353,143400
2017-05-01,79.269997,81.000000,77.059998,78.419998,72.722214,199800
2017-06-01,78.040001,80.519997,75.750000,78.470001,72.894432,151600
2017-07-01,78.059998,82.989998,76.900002,81.220001,75.449020,121600
2017-08-01,81.080002,83.000000,75.599998,79.949997,74.269264,329000
2017-09-01,79.660004,85.080002,77.730003,84.000000,78.165749,275500
2017-10-01,83.989998,101.400002,82.779999,90.849998,84.539978,674400
2017-11-01,90.760002,90.940002,83.160004,85.349998,79.421989,364900
2017-12-01,83.419998,84.639999,71.930000,77.099998,71.972984,291200
2018-01-01,77.199997,82.779999,74.690002,76.750000,71.646263,193800
2018-02-01,76.169998,80.599998,70.769997,71.209999,66.474663,215000
2018-03-01,71.290001,77.480003,70.559998,73.180000,68.435486,209800
2018-04-01,73.059998,76.500000,70.709999,74.720001,69.875641,157700
2018-05-01,74.639999,80.529999,73.300003,79.000000,73.878151,156200
2018-06-01,79.260002,85.750000,79.260002,83.900002,78.594154,97400
2018-07-01,85.949997,85.949997,74.900002,77.699997,72.786224,82700
2018-08-01,76.500000,80.169998,74.910004,75.889999,71.090698,87500
2018-09-01,76.680000,79.000000,75.099998,78.949997,74.087624,154000
2018-10-01,79.000000,79.269997,74.739998,75.010002,70.390289,83200
2018-11-01,75.220001,77.000000,72.690002,74.680000,70.080597,79300
2018-12-01,74.800003,76.860001,68.599998,71.000000,66.749016,81600
2019-01-01,71.760002,73.860001,68.209999,69.010002,64.878166,72800
2019-02-01,69.099998,74.669998,68.199997,72.000000,67.689140,54000
2019-03-01,72.129997,79.190002,72.129997,77.120003,72.636017,48500
2019-04-01,76.610001,82.820000,76.040001,80.919998,76.215050,103500
2019-05-01,79.540001,84.580002,77.230003,81.660004,76.912033,80100
2019-06-01,81.160004,84.220001,78.089996,80.000000,75.472832,43700
2019-07-01,80.690002,85.849998,80.690002,80.879997,76.303017,37400
2019-08-01,83.010002,84.550003,76.660004,77.169998,72.802963,58800
2019-09-01,78.199997,79.389999,70.720001,76.500000,72.291809,64400
2019-10-01,77.000000,89.809998,73.029999,88.500000,83.631691,161900
2019-11-01,88.360001,104.000000,88.110001,102.870003,97.211212,137200
2019-12-01,103.489998,103.489998,84.750000,90.300003,85.452499,248200
2020-01-01,90.019997,95.220001,86.589996,89.750000,89.584755,74400
2020-02-01,90.690002,90.839996,77.389999,80.550003,80.401695,59400
2020-03-01,81.879997,85.300003,60.990002,73.849998,73.849998,352800
2020-04-01,71.790001,73.000000,63.180000,65.500000,65.500000,32600
