Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,19.799999,20.559999,19.440001,19.510000,16.533756,728100
2015-05-01,19.540001,19.709999,18.770000,19.200001,16.271046,614200
2015-06-01,19.340000,20.920000,18.820000,20.360001,17.254082,1196600
2015-07-01,20.690001,20.879999,19.809999,19.930000,17.067472,796900
2015-08-01,19.879999,20.410000,18.549999,19.350000,16.570770,532000
2015-09-01,19.059999,19.690001,18.790001,19.219999,16.459450,554500
2015-10-01,19.350000,20.200001,18.770000,19.690001,17.040846,711500
2015-11-01,19.600000,21.190001,19.600000,20.879999,18.070738,923200
2015-12-01,20.900000,20.990000,19.490000,20.860001,18.053431,1564200
2016-01-01,20.790001,20.980000,18.639999,19.680000,17.199747,1535400
2016-02-01,19.600000,19.850000,18.430000,19.090000,16.684107,1181200
2016-03-01,19.049999,19.770000,18.820000,19.510000,17.051174,994300
2016-04-01,19.540001,20.309999,18.809999,19.740000,17.428772,846400
2016-05-01,19.760000,20.389999,19.110001,20.190001,17.826082,1015500
2016-06-01,20.139999,21.280001,19.690001,21.020000,18.558905,1687400
2016-07-01,21.059999,22.469999,19.969999,21.090000,18.804800,2644300
2016-08-01,21.160000,23.469999,21.059999,23.340000,20.811003,1315100
2016-09-01,23.389999,23.790001,22.240000,23.360001,20.828836,1486400
2016-10-01,23.440001,24.000000,22.760000,23.750000,21.360641,1008500
2016-11-01,23.700001,28.850000,22.910000,28.549999,25.677736,2459200
2016-12-01,28.549999,31.500000,28.150000,30.900000,27.791317,2473800
2017-01-01,31.000000,31.150000,27.200001,28.150000,25.496271,2570800
2017-02-01,28.250000,28.950001,26.850000,27.850000,25.224556,1683200
2017-03-01,28.250000,28.450001,25.750000,25.900000,23.458385,1907100
2017-04-01,26.049999,30.750000,25.650000,30.299999,27.643185,2176900
2017-05-01,30.450001,30.650000,27.100000,27.549999,25.134314,1562600
2017-06-01,28.700001,30.700001,27.299999,29.950001,27.323872,1853000
2017-07-01,30.250000,30.700001,28.900000,30.500000,28.024754,1235200
2017-08-01,30.700001,30.900000,28.400000,29.150000,26.784317,1481800
2017-09-01,29.000000,32.349998,27.600000,32.000000,29.403023,1737700
2017-10-01,32.099998,32.250000,28.799999,29.299999,27.111397,2202900
2017-11-01,29.450001,31.200001,28.049999,28.100000,26.001038,2773100
2017-12-01,28.200001,28.950001,27.600000,28.049999,25.954771,3308500
2018-01-01,28.250000,29.100000,27.600000,28.000000,26.095234,2547300
2018-02-01,27.850000,28.600000,26.610001,27.400000,25.536051,1946000
2018-03-01,27.400000,28.950001,26.650000,27.700001,25.815641,2759700
2018-04-01,27.799999,29.450001,27.250000,28.750000,26.981916,2329000
2018-05-01,28.700001,30.150000,28.200001,29.100000,27.310387,2021200
2018-06-01,29.049999,29.200001,27.500000,27.500000,25.808788,2394600
2018-07-01,27.500000,28.700001,27.049999,27.299999,25.802797,1778200
2018-08-01,27.400000,29.049999,27.250000,28.500000,26.936987,2157400
2018-09-01,28.400000,28.850000,26.299999,26.450001,24.999416,1730300
2018-10-01,26.590000,26.840000,22.110001,24.959999,23.758736,2902200
2018-11-01,25.070000,26.110001,23.879999,25.500000,24.272751,1501200
2018-12-01,25.860001,25.920000,20.180000,21.570000,20.531889,2103300
2019-01-01,21.469999,24.570000,21.270000,23.490000,22.556398,2850600
2019-02-01,23.620001,26.639999,23.549999,26.510000,25.456369,3011900
2019-03-01,26.629999,26.730000,23.270000,24.459999,23.487846,2688700
2019-04-01,24.719999,25.860001,24.010000,25.219999,24.405958,2030000
2019-05-01,25.230000,25.980000,23.790001,23.879999,23.109211,1347900
2019-06-01,23.760000,26.510000,23.530001,26.260000,25.412388,1823900
2019-07-01,26.680000,27.799999,25.360001,27.459999,26.798094,2127300
2019-08-01,27.459999,27.670000,24.760000,25.309999,24.699919,1742700
2019-09-01,25.160000,26.559999,24.650000,25.510000,24.895102,1914600
2019-10-01,25.709999,26.719999,24.240000,25.750000,25.332956,1563700
2019-11-01,25.910000,26.700001,25.270000,26.110001,25.687126,1494500
2019-12-01,26.250000,27.540001,25.490000,26.780001,26.346275,1210400
2020-01-01,26.910000,26.980000,24.719999,24.840000,24.617119,2038100
2020-02-01,24.959999,26.000000,22.870001,23.400000,23.190041,2105200
2020-03-01,23.309999,23.959999,13.390000,16.320000,16.173567,3723100
2020-04-01,15.940000,16.430000,14.950000,15.650000,15.650000,316800
