Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,23.200001,24.219999,22.209999,22.379999,17.733683,31456
2015-05-01,22.379999,23.820000,21.770000,23.280001,19.256971,21557
2015-06-01,23.320000,24.809999,22.840000,22.910000,18.950911,45426
2015-07-01,22.910000,24.730000,22.000000,23.799999,20.528439,32396
2015-08-01,24.360001,24.709999,21.160000,22.959999,19.803904,12291
2015-09-01,22.959999,22.959999,20.450001,21.120001,18.216835,31050
2015-10-01,21.350000,23.100000,20.650000,21.900000,18.889614,35221
2015-11-01,21.740000,22.340000,19.590000,20.000000,17.250788,62393
2015-12-01,19.900000,20.350000,18.850000,19.709999,17.000650,28123
2016-01-01,19.709999,20.219999,18.150000,20.000000,17.250788,54952
2016-02-01,19.010000,19.030001,16.610001,19.000000,16.388252,44560
2016-03-01,19.160000,19.680000,18.469999,18.469999,16.769585,11109
2016-04-01,18.120001,18.950001,16.770000,16.820000,15.271488,67586
2016-05-01,16.920000,17.969999,16.490000,17.830000,17.119949,74426
2016-06-01,17.750000,17.750000,15.000000,16.809999,16.140568,33503
2016-07-01,17.010000,18.059999,16.360001,17.490000,16.793488,25665
2016-08-01,17.740000,18.100000,16.709999,17.940001,17.225569,32512
2016-09-01,17.510000,18.299999,16.959999,17.930000,17.215965,27944
2016-10-01,17.750000,18.809999,17.750000,18.389999,17.657648,29554
2016-11-01,18.459999,19.990000,17.590000,18.040001,17.321587,41671
2016-12-01,18.040001,18.860001,17.600000,17.940001,17.225569,26540
2017-01-01,18.040001,18.340000,16.969999,17.000000,16.323002,43215
2017-02-01,17.160000,17.200001,16.889999,17.120001,16.438223,6565
2017-03-01,17.120001,17.120001,17.120001,17.120001,16.438223,0
2017-04-01,17.120001,17.120001,17.120001,17.120001,16.438223,0
2017-05-01,17.120001,17.120001,17.120001,17.120001,16.438223,0
2017-06-01,17.120001,20.629999,17.120001,19.610001,18.829063,5640
2017-07-01,19.730000,20.040001,19.330000,19.670000,18.886673,8703
2017-08-01,19.670000,20.290001,18.480000,19.379999,18.608221,10580
2017-09-01,20.100000,21.200001,19.879999,21.180000,20.336540,17422
2017-10-01,21.379999,21.570000,20.180000,21.290001,20.442162,21471
2017-11-01,21.260000,23.469999,21.000000,22.450001,21.555965,16882
2017-12-01,22.450001,22.900000,21.980000,22.500000,21.603973,13525
2018-01-01,22.500000,24.540001,22.270000,22.700001,21.796009,37738
2018-02-01,23.469999,23.469999,20.350000,20.969999,20.134903,23420
2018-03-01,20.730000,21.670000,20.360001,20.879999,20.048487,15194
2018-04-01,20.879999,21.480000,20.740000,21.480000,20.624592,53035
2018-05-01,21.480000,23.440001,21.150000,21.540001,21.133125,30655
2018-06-01,21.540001,21.730000,21.129999,21.150000,20.750490,1589
2018-07-01,21.150000,22.490000,20.559999,22.490000,22.065180,8353
2018-08-01,22.190001,22.580000,21.360001,22.400000,21.976879,9825
2018-09-01,22.440001,22.510000,21.600000,22.219999,21.800280,4349
2018-10-01,22.260000,22.309999,20.940001,21.600000,21.191992,17623
2018-11-01,21.600000,22.030001,21.120001,22.030001,21.613869,4161
2018-12-01,22.030001,22.030001,20.889999,20.900000,20.505213,1317
2019-01-01,20.900000,22.450001,20.900000,22.450001,22.025936,2026
2019-02-01,22.450001,25.790001,22.219999,25.790001,25.302845,36665
2019-03-01,25.600000,26.020000,25.150000,25.820000,25.332277,5869
2019-04-01,26.000000,26.549999,25.559999,25.790001,25.302845,1314
2019-05-01,25.790001,25.920000,24.530001,24.530001,24.530001,879
2019-06-01,24.219999,24.799999,24.190001,24.709999,24.709999,1937
2019-07-01,24.709999,25.969999,24.709999,24.870001,24.870001,3470
2019-08-01,24.870001,25.379999,23.760000,25.379999,25.379999,720
2019-09-01,25.379999,25.379999,24.750000,25.240000,25.240000,930
2019-10-01,25.240000,25.600000,24.840000,24.920000,24.920000,5451
2019-11-01,24.920000,24.959999,24.750000,24.860001,24.860001,1271
2019-12-01,24.950001,25.950001,24.400000,25.950001,25.950001,3441
2020-01-01,25.950001,26.200001,24.450001,24.450001,24.450001,4689
2020-02-01,24.799999,25.680000,23.150000,23.150000,23.150000,3580
2020-03-01,23.250000,23.799999,17.225000,19.770000,19.770000,5120
2020-04-01,19.045000,19.910000,19.045000,19.910000,19.910000,204
