Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,5.200000,5.200000,4.000000,4.100000,4.100000,136200
2019-05-01,4.010000,4.760000,2.830000,3.550000,3.550000,126900
2019-06-01,3.490000,4.450000,2.280000,2.930000,2.930000,359000
2019-07-01,3.280000,3.490000,2.650000,3.170000,3.170000,234800
2019-08-01,3.130000,3.250000,1.770000,2.820000,2.820000,116800
2019-09-01,2.850000,4.400000,2.680000,3.000000,3.000000,381200
2019-10-01,3.150000,3.150000,2.200000,2.300000,2.300000,45100
2019-11-01,2.300000,6.240000,1.170000,1.980000,1.980000,6110500
2019-12-01,1.900000,2.220000,1.500000,1.500000,1.500000,609300
2020-01-01,1.520000,4.150000,1.500000,1.860000,1.860000,9007700
2020-02-01,1.910000,3.470000,1.779000,2.400000,2.400000,2134600
2020-03-01,2.220000,3.000000,1.200000,1.640000,1.640000,1310600
2020-04-01,1.500000,1.600000,1.390000,1.523000,1.523000,30400
