Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,33.119999,34.230000,33.119999,33.970001,23.388056,0
2015-05-01,38.279999,39.650002,37.334999,37.770000,26.004324,0
2015-06-01,37.070000,47.689999,37.070000,47.689999,32.834160,0
2015-07-01,47.689999,47.689999,36.020000,38.160000,26.272835,5
2015-08-01,null,null,null,null,null,null
2015-09-01,33.029999,35.419998,32.764999,34.790001,23.952620,0
2015-10-01,37.855000,43.880001,37.855000,43.880001,30.211006,100
2015-11-01,47.314999,48.154999,41.735001,47.910000,32.985626,250
2015-12-01,48.014999,48.014999,41.540001,44.801998,30.845795,0
2016-01-01,42.591999,43.578999,39.790001,39.790001,27.395079,80
2016-02-01,42.169998,42.169998,35.417000,39.200001,26.988867,150
2016-03-01,39.070000,43.494999,38.486000,43.494999,29.945936,0
2016-04-01,41.130001,45.215000,12.750000,13.950000,9.604456,6902720
2016-05-01,13.990000,14.330000,12.050000,12.420000,8.551064,2106500
2016-06-01,12.420000,14.245000,10.920000,13.720000,9.446104,1311900
2016-07-01,14.000000,16.480000,13.100000,14.810000,10.196559,1011100
2016-08-01,14.590000,20.950001,14.430000,18.190001,12.523661,1592100
2016-09-01,18.059999,19.450001,16.049999,18.540001,12.764633,1364600
2016-10-01,18.580000,19.010000,17.379999,18.200001,12.530546,716100
2016-11-01,18.299999,19.940001,15.680000,17.500000,12.048600,2101400
2016-12-01,17.639999,17.889999,16.170000,16.520000,11.373879,1649000
2017-01-01,16.180000,18.332001,16.000000,17.290001,11.904019,1825100
2017-02-01,17.299999,18.780001,16.309999,18.360001,12.640704,889600
2017-03-01,18.320000,22.969999,18.250000,21.020000,14.472092,4117100
2017-04-01,20.580000,21.790001,15.021000,15.760000,14.324134,3232900
2017-05-01,15.740000,15.930000,9.640000,10.040000,9.125273,4717100
2017-06-01,10.010000,10.940000,8.530000,10.000000,9.088918,3342900
2017-07-01,10.090000,10.780000,9.250000,9.800000,8.907140,1315200
2017-08-01,9.750000,10.184000,9.131000,9.940000,9.034384,808000
2017-09-01,10.000000,11.360000,9.260000,11.050000,10.043253,774800
2017-10-01,11.100000,14.810000,10.980000,12.210000,11.097569,4847300
2017-11-01,12.100000,13.330000,9.800000,9.920000,9.016206,3158300
2017-12-01,9.910000,10.140000,8.540000,9.560000,8.689006,1311700
2018-01-01,9.480000,10.239000,8.580000,9.820000,8.925317,1483000
2018-02-01,9.730000,10.860000,8.510000,9.250000,8.407248,1864600
2018-03-01,9.270000,10.280000,9.020000,9.470000,8.607204,1086600
2018-04-01,9.370000,9.500000,8.500000,8.860000,8.415518,803800
2018-05-01,8.850000,9.920000,8.510000,8.970000,8.520000,1119700
2018-06-01,9.050000,9.440000,7.210000,8.370000,7.950100,1122400
2018-07-01,8.290000,8.540000,7.400000,7.400000,7.028763,615600
2018-08-01,7.420000,8.000000,6.844000,7.300000,6.933780,637200
2018-09-01,7.560000,7.570000,5.010000,5.010000,4.758663,407700
2018-10-01,4.980000,6.550000,3.970000,5.810000,5.518528,1512400
2018-11-01,5.800000,7.470000,5.630000,7.000000,6.648829,878900
2018-12-01,7.000000,7.500000,5.920000,6.100000,5.793980,889100
2019-01-01,5.860000,7.450000,4.900000,6.960000,6.610837,1747100
2019-02-01,6.960000,7.450000,6.380000,6.640000,6.306890,574300
2019-03-01,6.680000,6.890000,5.980000,6.300000,5.983947,508200
2019-04-01,6.220000,6.548000,5.190000,5.940000,5.642007,285700
2019-05-01,5.901000,6.350000,4.320000,4.640000,4.407224,320900
2019-06-01,4.770000,5.241000,3.660000,4.700000,4.464214,1308700
2019-07-01,4.700000,5.090000,4.100000,4.740000,4.502207,859200
2019-08-01,4.630000,5.820000,4.620000,5.560000,5.281070,815400
2019-09-01,5.480000,5.540000,4.780000,5.030000,4.777659,251400
2019-10-01,4.950000,5.030000,4.080000,4.280000,4.065285,223500
2019-11-01,4.280000,4.850000,4.160000,4.850000,4.606689,69000
2019-12-01,5.280000,5.600000,4.600000,5.300000,5.034114,738200
2020-01-01,5.210000,6.800000,5.150000,5.490000,5.214582,1180000
2020-02-01,5.500000,6.870000,5.060000,6.200000,5.888963,465000
2020-03-01,6.100000,6.300000,4.630000,5.970000,5.670502,366700
2020-04-01,5.910000,5.990000,5.500000,5.990000,5.990000,12400
