Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,11.040000,13.520000,10.720000,11.120000,11.120000,6013200
2015-05-01,11.040000,13.920000,10.560000,13.600000,13.600000,5205200
2015-06-01,13.840000,14.320000,12.400000,13.440000,13.440000,7197900
2015-07-01,14.000000,21.650000,12.290000,19.309999,19.309999,22129800
2015-08-01,19.260000,20.780001,15.170000,19.219999,19.219999,10419500
2015-09-01,18.610001,21.030001,12.200000,13.500000,13.500000,9288900
2015-10-01,13.590000,14.140000,10.410000,11.790000,11.790000,10237300
2015-11-01,11.860000,16.559999,11.410000,15.430000,15.430000,6621700
2015-12-01,15.540000,16.080000,13.180000,14.740000,14.740000,8383700
2016-01-01,14.340000,14.600000,9.020000,9.480000,9.480000,6653000
2016-02-01,9.500000,10.870000,7.900000,10.600000,10.600000,5209000
2016-03-01,10.700000,11.170000,8.340000,9.240000,9.240000,6293400
2016-04-01,9.180000,11.980000,9.100000,10.250000,10.250000,2903700
2016-05-01,10.360000,10.630000,8.660000,10.080000,10.080000,2805600
2016-06-01,10.080000,10.850000,7.330000,8.050000,8.050000,3777200
2016-07-01,8.110000,9.230000,7.740000,9.130000,9.130000,2941900
2016-08-01,9.130000,10.050000,8.190000,8.720000,8.720000,3058600
2016-09-01,8.780000,11.590000,7.900000,11.430000,11.430000,4509400
2016-10-01,11.350000,11.540000,7.900000,8.150000,8.150000,3308600
2016-11-01,8.150000,13.700000,7.500000,12.600000,12.600000,5425500
2016-12-01,12.650000,13.450000,11.150000,12.150000,12.150000,4248000
2017-01-01,12.350000,13.400000,7.800000,8.050000,8.050000,5507600
2017-02-01,8.150000,11.130000,7.700000,10.350000,10.350000,7678600
2017-03-01,10.550000,11.400000,8.500000,10.850000,10.850000,5467300
2017-04-01,10.850000,11.380000,10.200000,11.000000,11.000000,2272900
2017-05-01,10.900000,13.830000,10.550000,12.700000,12.700000,5054200
2017-06-01,12.750000,15.400000,12.640000,14.500000,14.500000,6131400
2017-07-01,14.500000,15.200000,11.750000,12.000000,12.000000,4399700
2017-08-01,12.100000,13.150000,10.050000,11.850000,11.850000,7866900
2017-09-01,11.950000,37.549999,11.800000,35.049999,35.049999,49417700
2017-10-01,36.500000,41.799999,35.650002,37.500000,37.500000,42157300
2017-11-01,37.549999,42.599998,35.450001,38.849998,38.849998,17114400
2017-12-01,38.900002,43.349998,32.400002,40.049999,40.049999,14804400
2018-01-01,40.400002,41.299999,33.419998,36.349998,36.349998,13857800
2018-02-01,36.349998,44.700001,34.150002,42.400002,42.400002,11941900
2018-03-01,42.349998,45.849998,37.750000,40.049999,40.049999,8812000
2018-04-01,39.950001,42.200001,36.000000,39.299999,39.299999,10443300
2018-05-01,39.200001,43.200001,36.000000,42.549999,42.549999,11799400
2018-06-01,42.549999,48.750000,41.400002,44.200001,44.200001,13111400
2018-07-01,43.950001,62.750000,42.150002,56.750000,56.750000,19298600
2018-08-01,56.599998,57.450001,45.150002,48.299999,48.299999,19035400
2018-09-01,48.200001,51.150002,44.849998,49.599998,49.599998,10966800
2018-10-01,49.520000,50.130001,38.340000,41.759998,41.759998,13003200
2018-11-01,41.959999,45.860001,38.570000,41.090000,41.090000,11256400
2018-12-01,42.389999,44.970001,33.430000,36.459999,36.459999,12936600
2019-01-01,35.720001,46.799999,35.520000,43.750000,43.750000,8849900
2019-02-01,43.700001,53.430000,42.689999,52.730000,52.730000,8391200
2019-03-01,54.009998,56.500000,50.220001,55.009998,55.009998,10772900
2019-04-01,55.330002,55.980000,35.250000,38.990002,38.990002,28713600
2019-05-01,39.169998,39.590000,36.540001,37.689999,37.689999,11254600
2019-06-01,37.810001,48.790001,37.599998,47.779999,47.779999,12856200
2019-07-01,47.959999,49.740002,46.349998,48.169998,48.169998,8597300
2019-08-01,47.980000,52.139999,42.230000,42.689999,42.689999,13830200
2019-09-01,42.419998,44.169998,39.310001,40.040001,40.040001,9403900
2019-10-01,40.020000,45.400002,38.450001,44.650002,44.650002,6719300
2019-11-01,44.950001,51.849998,40.070000,47.779999,47.779999,9430100
2019-12-01,47.950001,53.810001,45.299999,52.130001,52.130001,11127100
2020-01-01,52.500000,57.220001,48.369999,50.369999,50.369999,11098000
2020-02-01,50.759998,54.160000,18.270000,25.080000,25.080000,37132500
2020-03-01,25.150000,28.000000,16.650000,24.730000,24.730000,29986300
2020-04-01,23.799999,24.500000,22.670000,23.190001,23.190001,1303300
